unit,mean,std,n,individual_ratings
northern,2.1379310344827585,1.355521458201721,29,"[2, 1, 3, 4, 4, 2, 2, 1, 3, 1, 2, 6, 2, 1, 5, 1, 2, 3, 2, 2, 1, 1, 1, 2, 1, 1, 4, 1, 1]"
snail,2.1,1.0618786215460558,30,"[3, 1, 3, 1, 2, 3, 2, 1, 4, 3, 2, 4, 2, 4, 4, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 3, 3, 2]"
younger,2.4,1.2205143065174586,30,"[1, 2, 3, 1, 3, 2, 1, 5, 3, 1, 2, 3, 4, 5, 3, 2, 3, 1, 4, 1, 1, 2, 2, 1, 3, 1, 3, 4, 2, 3]"
somewhat,1.8666666666666667,1.1366415543118706,30,"[2, 1, 3, 1, 1, 4, 1, 2, 1, 1, 1, 4, 2, 4, 4, 2, 1, 2, 2, 1, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1]"
emphasis,3.6551724137931036,1.4705650534249342,29,"[4, 1, 3, 1, 2, 2, 5, 2, 5, 4, 2, 2, 6, 5, 6, 6, 3, 4, 3, 4, 4, 3, 4, 5, 4, 3, 3, 6, 4]"
politicians,3.7666666666666666,1.3565507307349296,30,"[2, 2, 3, 3, 5, 3, 5, 3, 6, 2, 2, 2, 6, 4, 4, 5, 3, 4, 4, 4, 1, 3, 5, 5, 5, 4, 3, 4, 5, 6]"
compatible,2.6206896551724137,1.521601437946413,29,"[3, 2, 3, 1, 6, 2, 5, 1, 5, 1, 1, 2, 4, 5, 5, 3, 3, 3, 2, 1, 1, 2, 4, 1, 3, 2, 3, 1, 1]"
flame,1.9666666666666666,0.889917986664224,30,"[3, 1, 3, 1, 2, 3, 4, 1, 3, 3, 1, 3, 2, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 3]"
support,1.6666666666666667,0.9589266029707681,30,"[2, 1, 3, 1, 3, 2, 2, 1, 3, 4, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1]"
frozen,1.4666666666666666,0.7760791522613608,30,"[4, 1, 3, 2, 1, 3, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
compared,1.8275862068965518,0.9661767627850572,29,"[4, 1, 3, 2, 1, 4, 2, 1, 1, 2, 1, 2, 3, 1, 3, 3, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2]"
interest,1.6896551724137931,1.003687781414906,29,"[1, 3, 1, 1, 2, 3, 1, 2, 1, 1, 2, 4, 1, 4, 1, 4, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1]"
under,1.7,1.1788363637137231,30,"[5, 2, 3, 1, 3, 4, 2, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
sweet,1.5,0.7768193328323317,30,"[2, 2, 3, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 3]"
refers,2.0,1.0170952554312156,30,"[4, 2, 3, 1, 3, 2, 2, 1, 3, 1, 1, 2, 2, 1, 3, 2, 1, 3, 3, 1, 1, 4, 1, 1, 3, 1, 1, 3, 3, 1]"
pub,1.5,0.9001915504970077,30,"[2, 3, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
exact,1.8275862068965518,1.0374751465953078,29,"[4, 2, 3, 2, 1, 3, 2, 1, 2, 3, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2, 1, 1]"
bay,1.3333333333333333,0.6064784348631227,30,"[1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2]"
knees,3.533333333333333,1.5477087254553341,30,"[5, 2, 3, 6, 1, 4, 4, 4, 4, 6, 2, 3, 4, 1, 3, 5, 2, 4, 4, 4, 6, 5, 1, 4, 3, 1, 3, 4, 6, 2]"
managing,3.066666666666667,1.5521583045227219,30,"[1, 1, 3, 1, 5, 2, 4, 6, 2, 1, 1, 4, 3, 2, 4, 4, 2, 3, 3, 4, 3, 5, 3, 6, 3, 3, 2, 1, 6, 4]"
differ,1.6666666666666667,0.9222660747548279,30,"[2, 1, 3, 1, 2, 2, 1, 1, 5, 1, 1, 3, 2, 1, 3, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1]"
