unit,mean,std,n,individual_ratings
a,2.8933839999999993,1.21,22,
aardvark,9.89,3.66,18,
abacus,8.69,3.77,13,
abalone,12.23,3.54,13,
abandon,8.32,2.75,19,
abandoner,11.89,3.36,18,
abandonment,10.27,2.57,22,
abase,14.57,4.29,14,
abasement,15.130969,5.37,12,
abate,14.44,3.57,18,
abatement,15.12,2.78,17,
abattoir,15.17,2.71,6,
abbacy,14.5,0.71,2,
abbess,15.43,2.37,7,
abbey,13.06,3.59,18,
abbot,12.104381,4.7,15,
abbreviate,9.95,2.07,19,
abbreviated,10.5,1.79,22,
abbreviation,9.11,2.37,18,
abdicate,12.6,3.18,15,
abdication,14.94,3.59,16,
abdomen,8.61,2.25,18,
abdominal,10.24,3.6,17,
abduct,11.26,4.03,19,
abduction,11.94,3.99,18,
abductor,11.11,3.56,18,
abeam,13.4,2.88,10,
aberrant,13.31,3.5,13,
aberration,12.69,3.33,13,
abet,12.15,3.31,13,
abettor,15.55,2.98,11,
abeyance,15,2.58,7,
abhor,13.76,3.27,17,
abhorrent,12.14,4.24,14,
abide,9.5,3.11,18,
abiding,10.3,4.01,20,
ability,8.84,3.22,19,
abject,14,4.41,16,
abjuration,17.12,2.59,8,
abjure,14.6,3.66,10,
ablation,13.29,3.45,7,
ablaze,10.83,2.68,18,
able,7.79,3.31,19,
ablution,13.64,3.41,11,
abnormal,10.05,2.61,19,
abnormality,11.58,3.34,19,
aboard,8.66217,1.33,20,
abode,12.06,2.93,17,
abolish,10.42,2.57,19,
abolition,13.28,3.41,18,
abolitionism,11.78,3.17,18,
abolitionist,12.6,3.5,15,
abominable,8.94,3.04,18,
abominate,15,4.24,17,
abomination,11.17,3.45,18,
aboriginal,14.75,4.25,16,
aborigine,12.56,4.18,16,
aborning,13.25,3.77,4,
abort,12.21,3.33,19,
abortion,13.21,3.41,19,
abortionist,15,3.28,19,
abortive,13.93,3.41,14,
abound,11.65,3.12,20,
about,5.070761000000001,1.75,22,
above,4.548568000000001,2,21,
aboveboard,13,3.43,17,
aboveground,8.05,2.37,20,
abovementioned,14.24,2.73,17,
abracadabra,6.89,3.43,19,
abrade,14,4.54,8,
abrasion,11.95,3.72,19,
abrasive,12.22,4.02,18,
abrasiveness,12.06,3.89,18,
abreaction,15.8,4.34,10,
abreast,13.06,2.77,17,
abridge,14.35,3.02,17,
abridged,12.56,2.66,16,
abridgement,12.317521,3.54,17,
abroad,10.15415,3.2,22,
abrogate,15.22,2.99,9,
abrupt,10.95,3.47,22,
abruption,11.82,2.72,17,
abruptness,12.39,3.09,18,
abscess,13.11,3.94,18,
abscond,13.36,1.86,14,
absconder,16.62,3.75,13,
absence,7.7,2.2,20,
absent,6.5,2.18,18,
absentee,11,3.61,17,
absenteeism,13.43,3.61,14,
absentminded,10.84,3.11,19,
absentmindedness,9.61,3.09,18,
absinthe,16.29,3.26,17,
absolute,8.53,3.44,19,
absolutely,7.084934000000001,2.58,21,
absoluteness,12.68,3.65,19,
absolution,11.71,3.14,17,
absolve,12.9,3.02,20,
absolver,13.6,5.05,15,
absorb,8.83,2.33,18,
absorbent,10.32,2.75,19,
absorber,10.33,3.27,18,
absorption,10.94,2.6,18,
abstain,12.95,3.27,19,
abstention,15.19,3.82,16,
abstinence,12.74,2.66,19,
abstract,11.47,3.58,19,
abstraction,13.65,3.52,17,
abstractionist,14.72,3.82,18,
abstruse,14.6,3.34,10,
absurd,10.5,3.1,1901,
absurdist,13,3.22,12,
absurdity,13.21,2.39,19,
abundance,10.45,2.16,20,
abundant,12.84,2.57,19,
abuse,8.61,2.73,18,
abuser,9.94,3.75,18,
abusive,9.58,2.48,19,
abusiveness,10.47,2.34,19,
abut,13.11,1.9,9,
abutment,15.33,2.45,9,
abuzz,13,2.77,14,
abysm,15.25,2.87,4,
abysmal,13.78,3.47,18,
abyss,11,2.43,20,
abyssal,17.27,4.36,11,
ac,10.75,5.12,8,
acacia,14.25,6.2,12,
academe,13.27,3.06,15,
academia,13.74,2.77,19,
academic,9.74,2.98,19,
academician,15.21,2.69,14,
academicism,15,3.71,10,
academy,9.05,2.55,19,
acanthus,15.17,3.76,6,
accede,14.31,1.84,13,
accelerando,14.5,3.51,4,
accelerant,12.84,4.6,19,
accelerate,10.74,3.43,19,
accelerated,10.11,3.6,19,
acceleration,9.84,2.79,19,
accelerator,10.27,2.8,22,
accent,8.6,3,20,
accentuate,13.24,2.25,17,
accept,6.74,2.08,19,
acceptable,9.84,2.67,19,
acceptance,8.56,2.04,18,
acceptant,11.89,4.04,18,
access,9.1,2.36,20,
accessibility,11.05,3.58,19,
accessible,9.94,3.26,18,
accession,12.25,3.09,16,
accessorize,11.39,4.46,18,
accessory,11.15,3.65,20,
accident,5.3,2.18,20,
accidental,6.75,3.11,20,
acclaim,12.11,3.76,18,
acclamation,14,2.7,18,
acclimate,14.24,2.75,17,
