unit,mean,std,n,individual_ratings
A,0.35714285714285715,1.3363062095621219,14,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A CAPPELLA,0.42857142857142855,1.0757057484009542,21,"[0, 0, 1, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
AARDVARK,0.7058823529411765,1.3117119482928092,17,"[0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 5]"
ABACK,0.0,0.0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABACUS,2.473684210526316,2.269812059097786,19,"[5, 0, 0, 2, 5, 4, 5, 1, 2, 5, 5, 5, 0, 3, 5, 0, 0, 0, 0]"
ABANDON,0.7,1.4545753585442767,20,"[0, 0, 2, 0, 5, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
ABANDONED,1.0526315789473684,1.4709665835968129,19,"[3, 0, 0, 0, 0, 0, 1, 2, 0, 3, 2, 2, 0, 5, 0, 0, 0, 2, 0]"
ABANDONEE,0.8823529411764706,1.536324873731809,17,"[0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 2, 0, 0, 5, 0]"
ABANDONER,1.2777777777777777,1.8725746841481166,18,"[0, 2, 5, 0, 3, 0, 0, 0, 0, 4, 1, 5, 0, 0, 0, 0, 3, 0]"
ABANDONMENT,0.42857142857142855,0.9783367810436532,21,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 1]"
ABASEMENT,0.9523809523809523,1.745743121887939,21,"[2, 3, 0, 0, 0, 0, 4, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
ABATEMENT,0.875,1.6420805617960927,8,"[0, 3, 0, 0, 0, 0, 4, 0]"
ABBREVIATE,2.1052631578947367,1.9406395521438364,19,"[1, 1, 3, 2, 2, 4, 1, 4, 0, 4, 0, 0, 0, 0, 0, 3, 5, 5, 5]"
ABBREVIATED,0.8,1.3218806379747876,20,"[3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 4, 0, 0, 4, 0, 0, 0]"
ABBREVIATION,0.4444444444444444,1.0416176459053665,18,"[0, 0, 4, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
ABDICATE,0.8666666666666667,1.5976172734359602,15,"[0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 1]"
ABDOMEN,1.3157894736842106,1.8871681188415435,19,"[0, 0, 5, 2, 0, 1, 0, 5, 0, 0, 0, 2, 0, 2, 0, 5, 0, 3, 0]"
ABDOMINAL,0.47619047619047616,1.2497618820818475,21,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3]"
ABDOMINALLY,0.3684210526315789,0.8306975860878396,19,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0]"
ABDUCT,2.55,1.8488972531299783,20,"[3, 0, 0, 3, 3, 5, 5, 0, 3, 4, 3, 3, 4, 0, 5, 2, 0, 1, 5, 2]"
ABDUCTEE,1.8235294117647058,1.9759584420492962,17,"[0, 2, 5, 0, 0, 1, 2, 0, 5, 3, 5, 0, 1, 3, 0, 0, 4]"
ABDUCTION,2.3333333333333335,2.37346441585572,21,"[5, 0, 0, 4, 5, 0, 4, 0, 0, 5, 0, 0, 4, 5, 5, 2, 0, 5, 5, 0, 0]"
ABDUCTOR,2.0,2.1143765594836976,18,"[0, 5, 0, 0, 0, 5, 4, 0, 1, 0, 2, 4, 5, 2, 4, 4, 0, 0]"
ABHOR,0.2222222222222222,0.6467616667635545,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0]"
ABHORRENCE,0.7058823529411765,1.2631659571466125,17,"[0, 0, 0, 4, 0, 0, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 2]"
ABHORRENTLY,0.08695652173913043,0.2881040655200304,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
ABHORRING,1.0625,1.6520189667999174,16,"[4, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 3, 0, 4, 0, 1]"
ABIDE,0.7894736842105263,1.2727462594467416,19,"[3, 0, 2, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
ABIDING,0.8888888888888888,1.4907119849998596,18,"[0, 1, 0, 0, 4, 1, 2, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5]"
ABIDINGLY,0.6470588235294118,1.1694644324747674,17,"[0, 4, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
ABILITY,2.5454545454545454,1.792239161529848,22,"[3, 5, 0, 4, 5, 5, 5, 5, 3, 2, 1, 1, 2, 2, 4, 3, 0, 2, 0, 2, 2, 0]"
ABJECT,0.4375,0.963932916061417,16,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0]"
ABLAZE,0.5555555555555556,1.1490262999202832,18,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 3, 0]"
ABLE,2.3157894736842106,2.083070158815998,19,"[5, 5, 3, 1, 0, 0, 4, 5, 4, 0, 0, 5, 1, 5, 1, 1, 0, 1, 3]"
ABLY,2.0588235294117645,2.105664628902657,17,"[0, 5, 1, 0, 0, 0, 1, 0, 2, 0, 4, 2, 5, 1, 4, 5, 5]"
ABNORMAL,0.7619047619047619,1.091089451179962,21,"[0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 1, 1, 4, 0, 0, 1, 2, 0, 0, 1]"
ABNORMALITY,1.105263157894737,1.3289401308354825,19,"[2, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 2, 0, 0, 2]"
ABNORMALLY,1.1764705882352942,1.9759584420492964,17,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 5, 5, 0, 0, 1, 3, 0]"
ABOARD,2.1666666666666665,2.007339474206065,18,"[4, 2, 5, 1, 3, 1, 5, 0, 3, 3, 0, 5, 0, 0, 5, 0, 0, 2]"
ABODE,1.3125,2.023816526598529,16,"[0, 5, 2, 5, 1, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0]"
ABOLISH,0.9473684210526315,1.747178176073456,19,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 1, 5, 0, 1, 0, 0]"
ABOLISHABLE,0.5294117647058824,1.3746657347707991,17,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3]"
ABOLISHER,0.7368421052631579,1.5217718205053643,19,"[0, 0, 0, 0, 0, 3, 0, 3, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABOLISHMENT,1.1176470588235294,1.5764815627361644,17,"[1, 3, 1, 0, 0, 5, 0, 4, 0, 0, 0, 1, 2, 0, 2, 0, 0]"
ABOLITION,1.0,1.4142135623730951,14,"[0, 0, 0, 0, 3, 3, 0, 2, 1, 1, 0, 4, 0, 0]"
