unit,mean,std,n,individual_ratings
abattoir,4.2,2.4,25,
abbey,3.125,2.342,32,
abbreviate,3.273,1.582,33,
abdicate,4.194,1.941,31,
abdication,3.846,2.282,26,
abdomen,4.714,2.092,35,
abdominal,3.875,1.9,32,
abduct,4.677,2.468,31,
abducted,5.344,2.922,32,
abduction,5.324,2.575,34,
aberration,4.852,2.505,27,
abide,3.875,1.816,32,
ability,5.471,1.959,34,
able,4.853,2.171,34,
abode,3.897,1.807,29,
abortion,3.914,2.989,35,
abroad,6.548,2.077,31,
abrupt,4.794,2.139,34,
absorb,4.484,1.584,31,
abstract,4.743,2.116,35,
absurd,5.452,1.965,31,
absurdly,4.515,1.956,33,
abundance,4.714,2.373,35,
abundant,5.235,2.402,34,
abuse,4.879,2.783,33,
abuser,5.059,3.217,34,
abyss,6.226,1.963,31,
academic,5.733,2.19,30,
accelerate,6.794,1.491,34,
accent,5.529,1.898,34,
accept,5.182,1.8,33,
acceptance,4.743,2.005,35,
access,4.121,1.805,33,
accident,5.4,2.18,35,
accidental,4.382,1.847,34,
accordion,4.0,2.719,33,
accountant,2.9,1.739,30,
accuse,5.742,1.813,31,
accused,4.765,2.289,34,
ace,5.735,2.091,34,
ache,5.167,1.845,30,
aches,4.063,1.968,32,
achieve,6.424,1.955,33,
achieved,6.143,2.072,35,
achievement,6.333,2.383,33,
acorn,4.364,1.755,33,
acquire,4.419,2.028,31,
acrobat,5.182,2.249,33,
activate,5.242,2.349,33,
active,6.531,1.785,32,
activity,6.086,1.933,35,
actor,5.515,2.204,33,
actress,5.719,2.08,32,
actual,4.121,1.665,33,
actually,4.294,1.948,34,
acute,4.235,2.045,34,
adage,3.118,2.055,17,
adapt,4.188,1.911,32,
add,4.0,1.942,35,
addict,4.857,2.307,35,
addicted,6.094,2.17,32,
addition,3.4,1.87,35,
address,3.206,1.875,34,
address (postal),3.546,1.94,33,
address (speak to),4.0,2.029,34,
adequate,3.778,1.718,36,
adjective,3.636,1.738,33,
adjust,4.364,1.702,33,
admiral,5.029,1.993,35,
admire,6.294,1.871,34,
admired,6.6,1.534,35,
adopt,4.387,1.559,31,
adorable,6.936,1.39,31,
adore,6.516,1.847,31,
adult,5.059,1.909,34,
adultery,5.912,2.672,34,
adults,4.559,2.278,34,
advanced,5.382,1.971,34,
advantage,6.531,1.0,32,
adventure,7.853,1.517,34,
adverb,2.938,1.87,32,
adverse,4.371,2.256,35,
adversity,4.8,2.33,30,
advice,4.088,1.721,34,
advise,4.182,1.585,33,
advisor,3.364,1.823,33,
advisors,3.606,2.074,33,
aeroplane,4.914,2.196,35,
afar,3.781,1.883,32,
affair,5.969,2.391,32,
affect,4.5,2.145,34,
affection,6.824,2.162,34,
affectionate,7.206,1.795,34,
afford,4.853,2.171,34,
affordable,4.774,2.027,31,
afraid,5.514,2.534,35,
after,4.382,1.847,34,
afterlife,5.0,2.361,33,
age,3.514,1.763,35,
aged,2.857,1.659,35,
agent,4.54,1.78,63,
aggression,6.182,2.418,33,
aggressive,6.455,2.105,33,
agile,6.333,1.837,33,
agility,5.939,1.906,33,
agony,5.515,2.476,33,
agree,5.382,1.476,34,
agreement,5.531,2.121,32,
aid,5.219,1.763,32,
aim,4.794,2.069,34,
aim (objective),4.909,2.34,33,
aim (target),5.2,2.214,35,
air,4.813,1.845,32,
airplane,5.265,2.279,34,
airport,5.767,1.856,30,
aisle,3.613,1.826,31,
albatross,4.148,2.401,61,
album,4.031,1.992,32,
alcohol,5.758,2.175,33,
alcoholic,4.686,2.594,35,
alert,6.625,1.949,32,
algebra,2.323,1.654,31,
alien,5.091,2.789,33,
alimony,3.542,1.802,24,
alive,6.758,2.161,33,
all,3.625,1.916,32,
allergy,3.629,2.03,35,
alley,4.125,1.9,32,
alligator,5.656,2.01,32,
allow,4.088,1.853,34,
allowed,4.706,2.163,34,
allure,5.833,2.252,30,
aloft,4.069,1.893,29,
alone,3.824,2.407,34,
aloof,4.4,2.123,30,
aloud,5.457,1.991,35,
altar,3.758,1.97,33,
alter,4.727,1.462,33,
altitude,5.061,2.461,33,
amateur,3.824,1.992,34,
amaze,6.529,2.239,34,
amazing,7.147,1.498,34,
ambassador,4.781,1.833,32,
amber,4.933,1.672,30,
ambition,6.879,2.056,33,
ambulance,5.412,2.328,34,
ammunition,5.818,2.194,33,
amount,3.647,1.939,34,
amphibian,4.086,1.857,35,
amplifier,5.9,2.087,30,
amplify,5.97,2.263,33,
amputate,4.714,2.679,35,
amuse,6.059,1.714,34,
amusement,6.486,2.183,35,
amusing,6.088,2.201,34,
analogue,3.394,1.906,33,
analyst,3.5,2.186,34,
anchor,3.629,1.838,35,
ancient,3.788,2.253,33,
anecdote,5.206,1.811,34,
angel,5.97,2.236,33,
anger,5.636,2.568,33,
angle,3.824,2.036,34,
angry,5.906,2.283,32,
anguish,4.771,2.166,35,
animal,5.323,2.234,31,
animals,5.807,1.991,31,
animosity,6.484,1.682,31,
ankle,3.807,1.595,31,
annoy,4.618,2.485,34,
annoyance,4.457,2.465,35,
annoying,4.235,2.073,34,
answer,4.4,1.808,35,
ant,3.029,1.757,34,
anteater,4.032,2.04,31,
antelope,4.086,2.17,35,
anthem,5.303,2.153,33,
anthropology,4.063,2.344,32,
anticipation,7.303,1.527,33,
anus,4.03,2.431,33,
anxiety,5.265,2.934,34,
anxious,5.686,2.376,35,
apathy,4.793,2.14,29,
ape,4.677,2.054,34,
apex,4.276,2.211,29,
apologize,5.0,1.867,31,
apology,4.5,2.145,34,
appalling,5.364,2.568,33,
appear,4.406,1.783,32,
appearance,5.406,1.598,32,
appeared,5.065,1.795,31,
applause,6.686,1.652,35,
apple,4.677,2.138,34,
Apple (brand),4.849,2.687,33,
apple (fruit),4.636,2.172,33,
appliance,3.364,1.554,33,
applied,3.758,2.06,33,
apply,3.971,1.807,34,
appoint,3.818,2.022,33,
appointment,3.515,2.076,33,
appreciate,5.75,1.436,32,
approval,5.714,2.05,35,
approve,5.061,1.825,33,
apricot,4.188,1.927,32,
apron,3.724,1.76,29,
aptitude,4.5,2.136,32,
arch,4.25,1.62,32,
archaeology,3.529,2.291,34,
archer,4.273,2.019,33,
archery,4.677,2.259,34,
architect,4.242,1.843,33,
archive,3.571,2.129,35,
argue,5.257,2.334,35,
argument,6.313,2.615,32,
arise,5.286,1.798,35,
aristocracy,4.719,2.528,32,
aristocratic,4.133,1.708,30,
arm,3.735,2.119,34,
arm (limb),3.5,1.835,34,
arm (weapon),5.727,2.15,33,
armadillo,4.029,1.886,34,
armed,6.254,1.815,67,
armour,4.5,2.062,32,
armoury,4.719,2.239,32,
arms,4.364,1.997,33,
arms (limbs),3.857,1.944,35,
arms (weapons),5.706,2.561,34,
army,5.712,2.187,66,
aroma,5.531,2.179,32,
arouse,7.688,1.53,32,
aroused,7.943,1.241,35,
array,4.0,2.118,33,
arrest,4.206,2.423,34,
arrested,5.344,2.272,32,
arrive,4.971,2.479,34,
arrogant,4.5,2.359,32,
arrow,4.4,2.345,35,
arrows,4.382,2.015,34,
arse,5.094,2.529,32,
arsehole,4.5,2.465,34,
arson,5.206,2.898,34,
art,6.394,2.187,33,
artist,5.235,2.21,34,
arts,5.206,2.097,34,
ascend,5.677,1.567,34,
ascent,5.343,1.897,35,
ashamed,4.182,2.528,33,
ashes,3.912,2.133,34,
aspect,3.857,2.086,35,
