unit,mean,std,n,individual_ratings
ability,4.52,2.136444228009226,24,
abundance,3.66,2.023067727562039,24,
accident,3.09,1.9725387425622571,20,
accomplishment,5.41,2.1576151256197273,24,
accumulation,2.9,1.828333402392198,24,
acquisition,2.9,1.8545603089125842,24,
acre,1.69,1.2227992865708153,20,
addition,2.59,1.9646497104696512,24,
admiration,4.97,2.200636960132914,24,
advantage,3.59,2.0656828058890007,24,
adventurer,2.68,1.6315344807587617,20,
adversity,4.0,1.804875551825044,24,
advice,3.27,2.0045403009622476,20,
affection,5.82,1.9908883353006925,20,
alley,1.45,0.9341987329938275,20,
alligator,1.93,1.033528818263825,24,
ally,2.36,1.9632996344280855,20,
alphabet,1.91,1.3751033019046572,20,
ambition,5.41,2.091650066335189,24,
ambulance,2.93,1.730956995772027,24,
amount,1.54,1.0357254813546264,20,
amplitude,2.38,1.603145582152712,24,
anger,5.91,1.7580981459830658,20,
animal,2.63,2.013590190318143,20,
ankle,2.24,1.6725275737184377,24,
announcement,3.07,1.828333402392198,24,
annoyance,5.55,1.8090680674665822,20,
anxiety,5.63,1.566698903601281,20,
apology,3.71,2.5144029554194813,20,
appeal,4.75,1.6865480854231354,20,
apple,2.28,1.0801234497346432,24,
appointment,2.62,2.162437597628279,24,
arc,2.0,1.3416407864998738,20,
arrangement,2.69,2.0314758033001374,24,
arrow,2.28,1.4148830126176297,24,
art,3.37,2.377928816122437,20,
article,2.0,1.66332999331662,20,
artist,3.52,2.0426327337160943,24,
aspect,2.9,1.8017247628903037,24,
assault,4.0,2.0,20,
assistance,3.79,1.8999601271733269,24,
assumption,4.21,1.999052806008916,24,
atom,2.0,1.2649110640673518,20,
atrocity,3.73,2.1489955370316194,20,
attempt,4.11,1.6914819275153699,20,
attention,4.55,2.0771119226931267,24,
attitude,4.76,1.9515922015657168,24,
autumn,1.4,1.4987368418812295,24,
availability,3.52,2.1785802994638783,24,
awareness,4.72,1.9704252732787808,24,
baby,4.52,1.8667748886377502,24,
bag,2.11,0.9279607271383368,20,
ball,2.24,1.4949409636666209,24,
ballot,2.27,1.4206272622267313,20,
banana,2.21,0.902437775912522,24,
band,2.27,1.7372915179041823,20,
bandit,3.0,1.61245154965971,20,
bank,2.56,1.6666666666666667,20,
beast,2.46,1.809068067466582,20,
beauty,4.25,2.1499353995462798,20,
beaver,1.86,0.5607084263625253,24,
bed,2.34,1.9742662618621818,24,
bedroom,3.09,2.119176512447486,20,
beetle,1.86,1.0931952056132326,24,
behavior,4.76,1.696140896091459,24,
belief,4.9,2.137773551519374,24,
bell,1.93,0.9293203772845852,24,
benefactor,3.9,1.6207695516000842,24,
bet,2.55,1.8635254955935734,20,
betrayal,5.73,1.7372915179041826,20,
beverage,2.24,1.3905797788016772,24,
bird,2.28,1.0009465217452627,24,
blade,1.97,1.0879853497231113,24,
blood,3.28,2.038456040807118,24,
boat,1.86,1.6759212753623367,24,
body,3.45,2.192877589199206,24,
bolt,1.82,0.9816498172140427,20,
border,1.63,1.0269106361049412,20,
boredom,4.91,1.9725387425622578,20,
bottle,1.9,1.4088465086191913,24,
boulder,2.0,1.4088465086191913,24,
boundary,2.09,1.513574937328539,20,
boy,3.07,1.905434810793016,24,
bracelet,2.28,1.764549903980152,24,
brain,4.55,2.161561584791996,24,
branch,1.89,0.9279607271383368,20,
brawl,3.82,2.2279219832921355,20,
brevity,2.83,1.853027825266561,24,
bridge,2.0,1.8033008455035835,24,
brother,3.89,1.7638342073763935,20,
brute,3.18,1.6011359603844904,20,
bubble,2.1,1.3637626204176756,24,
bullet,2.17,1.5306217789849426,24,
burner,1.73,0.7862453931068963,20,
butter,1.83,0.8992842271563096,24,
butterfly,3.38,1.4387757843304696,24,
cake,2.72,1.8622038100871317,24,
calculation,2.97,1.8017247628903037,24,
calendar,2.34,1.7489174140628028,24,
camera,2.67,1.7320508075688772,20,
candidate,2.82,1.6624188291872672,20,
candy,2.72,1.6860613957691548,24,
capacity,3.0,2.0155644370746373,24,
car,2.31,1.7869476260321169,24,
cat,2.97,1.720531101935467,24,
category,2.52,1.7821718109195768,24,
caterpillar,1.97,1.1406736446663277,24,
cause,3.33,1.8027756377319946,20,
ceiling,1.76,1.5906926259661325,24,
ceremony,3.82,2.442055765873573,20,
chair,1.66,0.8302975005345611,24,
chance,3.56,2.006932429798716,20,
character,3.0,2.037991435435657,24,
charity,4.83,2.3294068694919665,24,
charter,2.27,1.618079669911781,20,
chicken,2.1,1.3946597282404614,24,
chief,2.44,1.4240006242195884,20,
child,4.38,1.8919686716606734,24,
chipmunk,2.24,1.0552897060221726,24,
chlorine,1.73,1.009049958219026,20,
chocolate,3.34,1.7858874374926152,24,
christmas,4.41,2.2194901134351475,24,
church,3.76,1.9947848672643043,24,
circuit,2.0,1.3703203194062976,20,
circumstance,3.17,1.8386630518346254,24,
city,2.66,1.9728267674951734,24,
claim,3.44,2.0682789409984763,20,
clean,3.27,2.370270410350224,20,
clearance,2.38,1.6520189667999174,24,
cliff,2.0,1.1390120652778375,24,
cloth,1.89,1.0540925533894596,20,
clothing,2.62,1.8169029593339219,24,
cocktail,2.34,1.5213132285607522,24,
coffee,2.66,2.0075614636426526,24,
coffin,3.28,1.5,24,
cognition,4.0,2.036596983383623,24,
coincidence,3.17,1.7901244243195653,24,
combination,2.69,1.6347319305771464,24,
comparison,3.76,1.7677669529663689,24,
competence,4.21,2.106986933845091,24,
complication,3.76,1.8698160661445076,24,
composer,3.09,2.0225995873897262,20,
comprehension,4.03,2.1470557712478,24,
conclusion,3.14,1.911884680178967,24,
conference,2.45,1.3684762594679067,20,
confidence,5.14,1.7287672959760556,24,
conscience,4.91,1.814086296433853,20,
consequence,3.9,2.0468009037016617,24,
consideration,4.76,2.1083348305180936,24,
consistency,3.66,2.2352208215771707,24,
construction,2.59,1.494434118097326,20,
contempt,5.82,1.7786613965666322,20,
context,3.03,1.9325756090897155,24,
contract,1.91,1.0444659357341868,20,
convergence,2.9,1.9364916731037085,24,
core,2.64,1.6292775867068985,20,
corn,1.66,1.4847711791873706,24,
corporation,2.55,2.0921027554577565,24,
corpse,3.34,1.648001544571209,24,
correspondent,2.37,1.1200649331826502,20,
costume,2.22,1.2018504251546631,20,
cottage,2.55,1.6634438537400216,24,
coupon,1.97,1.563673801525036,24,
cow,2.03,0.6139168831315355,24,
cowardice,4.69,1.8360860876364489,24,
cranberry,1.93,0.9692233691951198,24,
crime,3.55,1.9164360862620156,20,
crisis,3.8,1.7369644367532269,24,
criticism,4.0,1.9919344944809383,24,
crocodile,1.79,0.6585682358056157,24,
crown,2.45,1.7144660799776528,24,
cucumber,2.21,1.1530591721787111,24,
cup,2.0,1.365150674334655,24,
curfew,2.37,1.5015143870590968,20,
dad,4.28,1.9443001389453818,24,
dagger,2.33,1.6583123951777,20,
damage,2.91,2.0225995873897262,20,
danger,4.38,1.5435594441341602,24,
darkness,3.14,1.5763402186230246,24,
debt,2.8,1.8934696387128243,24,
deceit,4.4,1.9369806244239867,24,
decision,4.21,1.758098145983065,24,
deduction,2.86,2.161561584791996,24,
definition,2.41,2.1083348305180936,24,
degree,2.55,1.5724907862137931,20,
democracy,3.52,1.5262848536709828,24,
denial,4.41,1.9355133999050798,24,
dentist,3.07,1.8698160661445076,24,
deputy,1.73,0.9045340337332908,20,
description,3.17,1.9804919805059764,24,
design,2.55,1.6949121725703882,20,
desk,1.66,1.1035411321301214,24,
despair,5.18,2.5619594773603196,20,
destiny,4.28,2.1558588248601236,24,
determination,4.76,1.9355133999050798,24,
development,3.69,2.012743491763509,24,
diamond,3.07,2.1029380601550023,24,
diet,2.67,1.852925614624973,20,
difference,3.55,1.7757840777834144,24,
dilemma,4.52,1.7842959735459027,24,
dimension,2.93,1.8189865643297427,24,
disagreement,5.4,1.986221477473184,24,
disappointment,5.18,2.4007574562284217,20,
disaster,4.31,1.809068067466582,24,
disgust,6.09,1.5135749373285399,20,
distance,2.24,1.6402671094904606,20,
distraction,3.76,1.820547703136048,24,
distribution,2.38,1.8834405976426452,24,
ditch,1.55,0.9341987329938275,20,
diversity,3.62,1.9325756090897155,24,
division,2.5,1.4298407059684815,20,
doctor,2.76,2.111925015886519,24,
donor,3.36,2.013590190318143,20,
door,2.03,1.6571699131990423,24,
dove,2.34,1.610218317590205,24,
dozen,1.73,1.009049958219026,20,
drama,4.73,2.2401298663653004,20,
drug,2.82,1.6624188291872672,20,
drum,2.07,1.0905933886623096,24,
duck,2.0,1.0,20,
duel,2.67,2.2335820757001272,20,
duration,2.97,1.769908403724825,24,
duty,4.34,1.92077951347726,24,
dynasty,2.72,2.208369067749759,24,
eagle,2.69,1.638203931509176,24,
economy,3.34,2.0620121094198107,24,
edge,2.09,1.0444659357341868,20,
effect,2.45,1.5724907862137931,20,
effort,4.44,1.666666666666667,20,
eight,1.91,1.4459976109624424,20,
electricity,2.09,1.513574937328539,20,
elephant,2.03,1.2484839290964547,24,
emergence,3.41,1.6821252790875756,24,
empire,2.0,1.4142135623730951,20,
empty,3.45,2.381748784554591,20,
enemy,3.54,2.2962419891481978,20,
engagement,3.82,2.040499047693079,20,
entrance,1.82,0.9816498172140427,20,
entree,2.09,1.3751033019046572,20,
envy,5.82,1.7786613965666322,20,
episode,2.59,1.8713348015237519,24,
equality,4.66,1.3720698807188203,24,
error,3.34,1.8560915272625318,24,
escape,3.78,2.2236106773543884,20,
establishment,2.72,1.8652524404666158,24,
event,3.17,2.0018930434905253,24,
evidence,2.93,1.7325974545156009,24,
example,2.66,1.6894279110594408,24,
exception,3.69,1.7227312704838882,24,
exclusion,4.28,2.0454124574794497,24,
explanation,3.9,1.8713348015237519,24,
expression,4.97,1.7521631652262748,24,
extent,2.62,2.0866640042581523,24,
eyeball,2.41,1.5763402186230244,24,
