unit,mean,std,n,individual_ratings
abolishing,4.0000,1.2403,40,"[4, 4, 5, 1, 3, 3, 4, 2, 5, 3, 5, 4, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 4, 3, 4, 3, 2, 5, 5, 3, 5, 4, 4, 5, 5, 4, 4, 5]"
altering,3.6500,1.0266,40,"[3, 5, 4, 1, 3, 5, 4, 4, 4, 4, 3, 3, 5, 3, 3, 5, 3, 3, 4, 5, 3, 5, 5, 3, 2, 3, 5, 1, 3, 3, 5, 4, 4, 3, 4, 4, 4, 4, 4, 3]"
appearing,2.6500,0.8638,40,"[3, 4, 2, 3, 4, 3, 2, 2, 3, 3, 3, 2, 3, 4, 2, 4, 3, 1, 3, 3, 3, 3, 1, 3, 3, 4, 1, 3, 2, 3, 2, 3, 2, 2, 3, 1, 1, 3, 3, 3]"
bleeding,3.4000,0.7779,40,"[3, 4, 3, 2, 5, 3, 4, 4, 4, 3, 3, 5, 3, 3, 3, 4, 3, 3, 3, 3, 2, 3, 4, 3, 3, 3, 4, 3, 4, 3, 5, 4, 5, 3, 3, 2, 4, 3, 4, 3]"
blunting,3.2750,1.0124,40,"[2, 4, 5, 3, 3, 3, 4, 3, 3, 3, 5, 4, 4, 2, 4, 5, 3, 3, 4, 3, 4, 5, 1, 4, 3, 3, 3, 1, 2, 3, 3, 2, 4, 4, 4, 2, 3, 4, 4, 2]"
boiling,3.9231,1.0609,39,"[3, 5, 5, 2, 3, 3, 4, 4, 4, 5, 5, 5, 3, 3, 4, 4, 3, 3, 3, 4, 3, 5, 1, 5, 5, 5, 3, 4, 5, 5, 5, 5, 4, 3, 2, 4, 4, 5, 5]"
burgeoning,2.8500,0.9487,40,"[3, 4, 3, 1, 2, 3, 2, 4, 3, 3, 4, 2, 4, 3, 2, 2, 3, 4, 3, 2, 4, 2, 3, 4, 4, 2, 3, 2, 4, 4, 4, 1, 4, 2, 2, 2, 4, 2, 2, 2]"
corroding,3.8750,1.2848,40,"[5, 1, 4, 1, 5, 3, 4, 4, 5, 3, 5, 5, 2, 5, 3, 4, 5, 5, 1, 3, 3, 5, 5, 5, 5, 4, 2, 4, 5, 5, 5, 5, 4, 5, 4, 2, 3, 3, 5, 3]"
coughing,2.6250,1.1699,40,"[1, 2, 3, 1, 4, 3, 2, 4, 3, 1, 3, 3, 2, 5, 1, 3, 5, 3, 3, 2, 3, 4, 3, 1, 3, 3, 1, 1, 2, 5, 1, 4, 3, 3, 2, 1, 3, 2, 3, 3]"
cracking,3.3500,0.8638,40,"[3, 5, 3, 2, 3, 3, 3, 4, 2, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 5, 4, 4, 4, 5, 4, 4, 4, 3, 2, 4, 4, 4, 3]"
crumbling,3.3500,1.0266,40,"[3, 4, 4, 1, 4, 3, 3, 4, 4, 3, 5, 5, 3, 5, 3, 2, 3, 4, 2, 3, 3, 3, 1, 5, 4, 3, 4, 3, 5, 2, 3, 5, 3, 3, 2, 4, 3, 3, 4, 3]"
crying,2.7000,1.0178,40,"[1, 3, 3, 3, 3, 3, 2, 4, 3, 1, 3, 3, 2, 3, 3, 3, 3, 1, 4, 4, 3, 3, 2, 1, 1, 3, 4, 1, 2, 3, 4, 3, 3, 4, 4, 1, 3, 3, 4, 1]"
decapitating,4.5750,0.7808,40,"[4, 5, 5, 2, 5, 4, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
decomposing,2.9750,1.5440,40,"[4, 2, 3, 1, 1, 3, 2, 4, 2, 2, 5, 5, 1, 5, 3, 1, 5, 3, 2, 1, 3, 2, 3, 5, 5, 2, 1, 5, 5, 4, 1, 5, 5, 3, 1, 4, 2, 2, 1, 5]"
