unit,mean,std,n,individual_ratings
AIDS,3.1212,1.5564,33,"[5, 1, 4, 4, 5, 3, 1, 1, 2, 5, 5, 1, 4, 5, 2, 1, 5, 2, 1, 1, 5, 3, 3, 4, 3, 1, 2, 4, 4, 3, 5, 3, 5]"
Afghanistan,2.9333,1.1427,30,"[4, 2, 3, 2, 3, 4, 3, 1, 2, 2, 1, 3, 4, 1, 4, 4, 4, 2, 5, 3, 3, 5, 1, 3, 4, 3, 3, 2, 4, 3]"
Alan,2.4,0.8944,30,"[4, 3, 2, 2, 3, 1, 3, 3, 3, 3, 1, 2, 2, 3, 3, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 3, 1, 3, 1, 4]"
Alan Turing,2.7241,0.9218,29,"[3, 3, 4, 4, 3, 3, 3, 3, 2, 4, 3, 3, 3, 1, 2, 3, 1, 2, 4, 2, 3, 3, 3, 1, 4, 3, 1, 2, 3]"
Alaska,3.3448,0.9738,29,"[4, 3, 3, 3, 4, 5, 4, 3, 4, 4, 1, 4, 3, 3, 2, 4, 3, 3, 5, 3, 4, 4, 1, 3, 3, 4, 4, 2, 4]"
Albuquerque,3.0,0.8305,30,"[3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 4, 5, 4, 2, 3, 3, 3, 4, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 4]"
Aleve,2.2667,0.9072,30,"[2, 2, 2, 2, 2, 3, 3, 3, 4, 1, 1, 2, 3, 3, 1, 3, 1, 3, 2, 1, 2, 2, 1, 3, 3, 3, 2, 4, 3, 1]"
Alexander Fleming,2.7667,0.9353,30,"[2, 2, 3, 1, 1, 4, 3, 3, 3, 3, 4, 3, 3, 3, 1, 3, 1, 3, 3, 3, 2, 2, 3, 3, 4, 4, 3, 2, 4, 4]"
Alexander Ovechkin,2.5862,1.1501,29,"[1, 3, 3, 3, 4, 1, 1, 3, 2, 3, 1, 4, 3, 3, 1, 5, 2, 3, 5, 3, 3, 1, 2, 1, 3, 3, 3, 2, 3]"
Alexander the Great,4.0,0.7428,30,"[4, 5, 4, 4, 3, 4, 3, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4, 4, 5, 4, 2, 4, 5, 3, 5, 5, 4, 4, 3, 5]"
Alice,2.8,0.9613,30,"[3, 1, 3, 4, 3, 3, 3, 3, 3, 2, 5, 3, 3, 3, 2, 3, 3, 4, 4, 1, 2, 3, 3, 3, 1, 4, 3, 1, 2, 3]"
Alice in Chains,3.5,0.9614,34,"[5, 3, 4, 4, 3, 4, 5, 1, 2, 4, 4, 4, 3, 4, 4, 2, 4, 4, 4, 2, 4, 4, 2, 3, 4, 3, 5, 4, 2, 4, 3, 4, 4, 3]"
All Saints' Day,2.8966,0.9002,29,"[3, 3, 2, 3, 3, 1, 2, 3, 2, 4, 3, 4, 4, 4, 3, 1, 3, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, 1, 3]"
Allan,2.4483,0.9097,29,"[1, 3, 3, 3, 4, 1, 1, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 1, 2, 1, 3, 3, 3, 1, 3]"
Allen Iverson,3.1667,1.0532,30,"[1, 4, 3, 4, 3, 3, 3, 3, 3, 5, 4, 4, 3, 3, 4, 3, 3, 5, 2, 1, 3, 4, 3, 5, 3, 3, 3, 2, 1, 4]"
Alma,2.4333,0.8584,30,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 2, 1, 1, 1, 2, 2, 3, 3, 1, 3, 3, 1, 2, 3]"
Alvin,2.6,0.8944,30,"[1, 2, 3, 1, 2, 2, 3, 3, 3, 3, 4, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 2, 3, 3, 4, 3, 3, 2, 4, 1]"
Ambien,2.2333,1.1351,30,"[3, 3, 3, 1, 3, 1, 2, 3, 3, 1, 1, 1, 2, 3, 2, 1, 3, 1, 5, 1, 4, 1, 4, 3, 3, 1, 3, 2, 1, 2]"
Amedeo Modigliani,2.6,1.0372,30,"[3, 1, 3, 4, 3, 3, 5, 3, 4, 2, 3, 3, 3, 3, 1, 2, 2, 1, 2, 1, 3, 4, 2, 3, 1, 4, 2, 2, 2, 3]"
Anastasia,3.0,1.1339,29,"[1, 1, 2, 3, 3, 2, 4, 3, 2, 4, 3, 4, 1, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 5, 1, 5, 3, 2, 4]"
Andrea,2.9706,0.937,34,"[3, 3, 3, 3, 3, 4, 5, 1, 4, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 5, 3, 3, 3, 3, 3, 4, 4, 3, 1, 3, 3, 2, 3, 3]"
Andrew Johnson,2.6897,1.0725,29,"[1, 1, 3, 4, 4, 1, 1, 3, 3, 3, 2, 3, 3, 3, 2, 5, 3, 3, 4, 3, 3, 1, 2, 1, 3, 3, 3, 4, 3]"
Andy Warhol,3.2333,1.0063,30,"[2, 4, 3, 4, 4, 4, 3, 4, 5, 4, 4, 3, 4, 4, 4, 4, 2, 1, 4, 2, 3, 4, 3, 3, 1, 4, 3, 2, 3, 2]"
Angelica,3.2333,0.7739,30,"[4, 3, 2, 4, 3, 4, 3, 3, 3, 3, 5, 4, 4, 3, 3, 1, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 2]"
Angelina Jolie,3.7931,1.2643,29,"[1, 3, 5, 3, 4, 3, 4, 5, 5, 3, 4, 5, 3, 5, 5, 5, 4, 4, 5, 3, 5, 4, 1, 1, 4, 5, 3, 5, 3]"
Anne Boleyn,2.9333,1.0483,30,"[3, 3, 4, 4, 4, 3, 3, 3, 5, 2, 4, 3, 4, 4, 3, 2, 3, 1, 2, 1, 3, 4, 3, 3, 1, 4, 3, 1, 2, 3]"
Antarctica,3.2143,1.0313,28,"[4, 3, 4, 3, 2, 3, 1, 3, 4, 4, 4, 4, 3, 1, 1, 5, 4, 2, 3, 4, 3, 4, 3, 3, 4, 4, 4, 3]"
Anthony Hopkins,3.1379,1.187,29,"[1, 4, 3, 3, 1, 4, 4, 5, 1, 4, 3, 3, 1, 4, 3, 4, 3, 4, 3, 3, 2, 4, 3, 5, 1, 4, 4, 3, 4]"
Antoinette,2.7,0.9523,30,"[3, 4, 3, 4, 3, 2, 3, 3, 4, 1, 3, 3, 4, 3, 2, 1, 3, 1, 2, 1, 3, 3, 2, 3, 4, 3, 3, 1, 3, 3]"
Ariel,3.303,1.015,33,"[3, 5, 4, 3, 3, 5, 4, 1, 4, 3, 1, 3, 4, 4, 3, 1, 4, 3, 5, 3, 3, 3, 3, 3, 3, 3, 4, 5, 3, 3, 3, 4, 3]"
Aristotle,3.0333,0.9643,30,"[4, 3, 2, 4, 3, 1, 3, 3, 1, 2, 4, 4, 4, 3, 3, 1, 3, 4, 3, 3, 3, 4, 2, 4, 2, 3, 3, 4, 4, 4]"
Arnold Schwazenegger,3.1034,1.1755,29,"[1, 4, 4, 2, 3, 4, 1, 3, 4, 3, 4, 4, 3, 5, 1, 5, 2, 2, 4, 3, 3, 5, 2, 2, 3, 4, 3, 4, 2]"
Arturo,2.5333,0.8996,30,"[3, 3, 2, 3, 4, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 4, 2, 3, 3, 2, 1, 3, 3, 3, 2, 3, 1, 3]"
Ascorbic Acid,2.7931,1.2923,29,"[1, 2, 2, 3, 5, 2, 1, 4, 1, 2, 3, 5, 1, 3, 3, 4, 1, 4, 4, 3, 1, 3, 3, 4, 1, 4, 4, 4, 3]"
Ash Wednesday,2.4667,0.9371,30,"[4, 3, 2, 3, 3, 1, 2, 3, 2, 2, 2, 3, 4, 2, 3, 1, 1, 1, 2, 4, 3, 3, 3, 4, 2, 3, 2, 3, 1, 2]"
Atari,3.5862,0.9826,29,"[5, 3, 5, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 1, 5, 5, 4, 4, 3, 4, 5, 2, 3, 3, 4, 5, 4, 3]"
Aurora,3.2069,0.9016,29,"[4, 3, 3, 4, 4, 1, 1, 3, 4, 3, 2, 5, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3]"
Babe Ruth,3.3667,0.9994,30,"[4, 3, 4, 4, 5, 1, 4, 3, 4, 3, 3, 4, 3, 3, 3, 1, 5, 3, 3, 4, 2, 3, 4, 4, 4, 3, 2, 3, 5, 4]"
Barbados,3.7333,1.0483,30,"[4, 4, 5, 5, 3, 5, 2, 3, 4, 2, 3, 4, 4, 3, 1, 4, 3, 3, 4, 5, 5, 4, 3, 3, 3, 5, 4, 4, 5, 5]"
Barbra Streisand,2.7667,1.04,30,"[3, 2, 2, 4, 3, 1, 4, 3, 3, 1, 2, 3, 3, 4, 1, 3, 1, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 2, 1, 4]"
Barry Sanders,3.0294,1.0294,34,"[3, 3, 4, 3, 3, 3, 5, 1, 4, 4, 3, 4, 1, 4, 4, 3, 4, 3, 3, 4, 3, 3, 2, 3, 4, 4, 1, 3, 1, 3, 3, 3, 1, 3]"
Baton Rouge,3.3793,1.1469,29,"[1, 3, 3, 4, 4, 2, 4, 3, 1, 5, 4, 4, 1, 4, 3, 4, 4, 5, 4, 3, 5, 3, 3, 4, 4, 2, 3, 3, 5]"
Beatrice,2.4138,1.0183,29,"[1, 3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 2, 1, 3, 5, 2, 1, 3]"
Belgium,3.1034,1.2634,29,"[1, 1, 3, 4, 4, 2, 2, 4, 1, 4, 3, 2, 1, 4, 3, 5, 4, 4, 3, 3, 5, 3, 4, 4, 1, 5, 3, 3, 4]"
Ben Bass,2.6207,0.9416,29,"[1, 3, 3, 3, 4, 1, 1, 3, 3, 3, 4, 3, 3, 3, 1, 4, 2, 3, 3, 3, 3, 3, 1, 1, 3, 3, 2, 3, 3]"
Benadryl,1.9667,0.9279,30,"[2, 2, 1, 2, 3, 2, 3, 3, 4, 1, 1, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 1, 2, 1, 3, 1, 2, 4, 1, 2]"
Benito Mussolini,3.3333,1.0933,30,"[4, 3, 4, 5, 3, 1, 4, 3, 4, 4, 4, 4, 2, 4, 3, 4, 1, 4, 3, 4, 3, 5, 5, 4, 3, 3, 3, 3, 2, 1]"
Benjamin Franklin,3.1333,0.9732,30,"[3, 4, 3, 4, 4, 4, 4, 3, 5, 4, 3, 3, 2, 3, 4, 4, 2, 2, 3, 4, 2, 3, 3, 3, 1, 1, 4, 4, 2, 3]"
Bermuda,3.6667,1.1842,30,"[5, 4, 4, 5, 2, 5, 2, 4, 4, 1, 4, 3, 4, 4, 1, 4, 4, 3, 5, 4, 4, 4, 4, 4, 3, 5, 2, 2, 5, 5]"
Bernard,2.4,0.8137,30,"[2, 1, 3, 1, 1, 3, 3, 3, 3, 2, 4, 2, 3, 3, 1, 2, 2, 3, 3, 2, 1, 2, 3, 3, 3, 3, 3, 2, 2, 3]"
