unit,mean,std,n,individual_ratings
abattoir,4.333,1.285,21,
abbey,4.667,1.551,33,
abbreviate,5.235,1.238,34,
abdicate,4.419,2.182,31,
abdication,4.8,1.96,25,
abdomen,5.441,1.666,34,
abdominal,4.667,1.511,33,
abduct,3.065,2.299,31,
abducted,2.871,2.549,31,
abduction,2.886,2.122,35,
aberration,4.852,1.799,27,
abide,4.5,2.345,32,
ability,6.971,1.465,34,
able,6.886,1.953,35,
abode,5.8,1.514,30,
abortion,5.429,2.811,35,
abroad,5.118,1.762,34,
abrupt,4.629,1.822,35,
absorb,5.125,1.166,32,
abstract,4.914,1.888,35,
absurd,4.719,1.546,32,
absurdly,4.697,1.527,33,
abundance,6.2,1.564,35,
abundant,6.094,1.665,32,
abuse,2.5,1.768,32,
abuser,3.743,2.902,35,
abyss,3.433,2.124,30,
academic,5.788,2.384,33,
accelerate,6.794,1.471,34,
accent,5.182,1.678,33,
accept,5.969,1.896,32,
acceptance,5.943,2.097,35,
access,5.794,1.711,34,
accident,3.029,1.524,34,
accidental,4.182,1.8,33,
accordion,5.441,1.648,34,
accountant,4.367,1.643,30,
accuse,4.844,2.048,32,
accused,2.971,1.807,34,
ace,6.129,1.385,31,
ache,3.313,1.261,32,
aches,2.813,1.102,32,
achieve,7.091,1.73,33,
achieved,7.441,1.418,34,
achievement,7.452,1.187,31,
acorn,5.5,1.173,32,
acquire,5.939,1.791,33,
acrobat,5.129,1.497,31,
activate,6.343,1.851,35,
active,6.581,1.13,31,
activity,6.286,1.485,35,
actor,5.618,1.715,34,
actress,5.121,1.665,33,
actual,5.235,1.628,34,
actually,5.177,1.445,34,
acute,4.912,1.56,34,
adage,5.222,1.227,18,
adapt,5.8,1.786,35,
add,5.618,1.237,34,
addict,3.086,2.234,35,
addicted,2.364,1.936,33,
addition,5.629,1.017,35,
address,5.364,1.41,33,
address (postal),5.114,1.489,35,
address (speak to),6.182,2.066,33,
adequate,4.765,1.783,34,
adjective,4.844,1.523,32,
adjust,5.667,1.511,33,
admiral,6.613,2.281,31,
admire,5.875,1.833,32,
admired,6.714,2.159,35,
adopt,5.469,1.561,32,
adorable,5.375,1.996,32,
adore,5.516,2.138,31,
adult,6.091,2.165,33,
adultery,4.412,2.415,34,
adults,5.629,2.179,35,
advanced,6.118,1.922,34,
advantage,7.194,1.49,31,
adventure,7.313,1.828,32,
adverb,5.235,1.031,34,
adverse,3.636,1.534,33,
adversity,4.3,2.084,30,
advice,5.229,2.03,35,
advise,5.813,1.991,32,
advisor,5.147,2.017,34,
advisors,4.774,1.736,31,
aeroplane,4.529,1.44,34,
afar,4.457,1.38,35,
affair,4.441,2.403,34,
affect,5.177,2.203,34,
affection,5.588,2.184,34,
affectionate,6.273,1.78,33,
afford,5.2,2.24,35,
affordable,4.857,1.693,35,
afraid,2.706,1.791,34,
after,4.576,1.156,33,
afterlife,3.455,1.986,33,
age,4.714,1.75,35,
aged,3.849,2.217,33,
agent,5.213,1.728,61,
aggression,5.242,2.753,33,
aggressive,5.909,2.442,33,
agile,5.788,1.919,33,
agility,6.543,1.872,35,
agony,3.091,1.913,33,
agree,6.794,1.549,34,
agreement,5.485,2.258,33,
aid,5.031,1.705,32,
aim,6.829,1.748,35,
aim (objective),5.909,2.021,33,
aim (target),6.714,1.631,35,
air,4.933,1.672,30,
airplane,5.455,2.061,33,
airport,5.531,1.904,32,
aisle,4.71,1.223,31,
albatross,5.29,1.62,62,
album,5.323,0.894,31,
alcohol,4.882,1.967,34,
alcoholic,2.886,2.175,35,
alert,6.194,2.007,31,
algebra,3.871,1.68,31,
alien,4.2,1.6,35,
alimony,4.5,1.658,24,
alive,7.121,2.1,33,
all,5.419,1.409,31,
allergy,2.765,1.516,34,
alley,4.324,1.077,34,
alligator,3.719,1.924,32,
allow,5.727,2.219,33,
allowed,4.914,2.477,35,
allure,4.97,1.899,33,
aloft,5.065,1.216,31,
alone,4.265,2.266,34,
aloof,5.097,1.94,31,
aloud,5.857,1.659,35,
altar,4.968,1.909,31,
alter,4.719,1.824,32,
altitude,5.606,1.922,33,
amateur,3.657,1.82,35,
amaze,6.364,1.772,33,
amazing,6.824,1.599,34,
ambassador,5.871,2.211,31,
amber,4.645,0.863,31,
ambition,7.559,1.63,34,
ambulance,3.429,1.841,35,
ammunition,6.188,2.297,32,
amount,5.484,1.365,31,
amphibian,5.235,1.113,34,
amplifier,5.903,1.489,31,
amplify,6.455,1.689,33,
amputate,3.743,2.322,35,
amuse,6.0,1.572,34,
amusement,6.543,1.556,35,
amusing,6.206,1.779,34,
analogue,5.031,1.287,32,
analyst,5.364,1.473,33,
anchor,5.143,2.257,35,
ancient,4.516,1.563,31,
anecdote,5.546,1.671,33,
angel,5.063,1.87,32,
anger,4.618,2.364,34,
angle,4.818,1.14,33,
angry,5.419,2.38,31,
anguish,3.788,1.838,33,
animal,5.485,1.811,33,
animals,5.576,2.089,33,
animosity,4.484,1.998,31,
ankle,5.0,0.968,32,
annoy,5.382,2.142,34,
annoyance,5.0,2.06,33,
annoying,4.088,1.704,34,
answer,5.8,1.618,35,
ant,4.514,1.962,35,
anteater,5.333,1.407,33,
antelope,5.229,1.514,35,
anthem,5.455,1.395,33,
anthropology,5.344,1.613,32,
anticipation,5.0,2.16,33,
anus,5.0,1.372,34,
anxiety,2.313,1.509,32,
anxious,3.265,1.945,34,
apathy,4.429,1.678,28,
ape,5.03,1.487,33,
apex,5.44,1.627,25,
apologize,5.03,2.037,33,
apology,5.371,2.38,35,
appalling,4.235,1.783,34,
appear,5.172,1.743,29,
appearance,4.688,2.083,32,
appeared,5.323,1.254,31,
applause,6.686,1.635,35,
apple,5.485,1.209,33,
Apple (brand),4.6,2.44,35,
apple (fruit),5.286,1.385,35,
appliance,5.242,1.985,33,
applied,5.742,1.866,31,
apply,5.697,1.696,33,
appoint,5.727,2.219,33,
appointment,4.706,1.871,34,
appreciate,6.161,1.526,31,
approval,4.794,2.18,34,
approve,6.546,1.876,33,
apricot,5.121,1.343,33,
apron,4.344,1.492,32,
aptitude,6.118,1.491,34,
arch,4.903,1.399,31,
archaeology,5.412,1.593,34,
archer,6.088,1.401,34,
archery,6.206,1.51,34,
architect,5.314,1.801,35,
archive,5.0,1.393,33,
argue,5.2,2.388,35,
argument,5.25,2.437,32,
arise,6.171,1.298,35,
aristocracy,4.588,2.557,34,
aristocratic,4.742,2.016,31,
arm,5.774,1.408,31,
arm (limb),5.941,1.909,34,
arm (weapon),6.636,1.872,33,
armadillo,4.939,1.099,33,
armed,5.923,2.719,65,
armour,6.031,2.158,32,
armoury,5.636,2.012,33,
arms,5.636,1.322,33,
arms (limbs),6.5,1.377,34,
arms (weapons),4.147,2.51,34,
army,4.424,2.594,66,
aroma,5.235,1.395,34,
arouse,6.5,1.854,32,
aroused,5.667,2.671,33,
array,5.161,1.526,31,
arrest,4.057,2.704,35,
arrested,3.063,2.164,32,
arrive,5.647,1.551,34,
arrogant,5.452,2.434,31,
arrow,5.455,1.777,33,
arrows,5.353,1.588,34,
arse,5.667,2.055,33,
arsehole,4.971,2.107,34,
arson,5.088,2.381,34,
art,5.938,1.694,32,
artist,6.0,1.82,32,
arts,5.743,1.778,35,
ascend,6.818,1.113,33,
ascent,5.818,1.696,33,
ashamed,2.818,1.641,33,
ashes,4.677,1.81,34,
aspect,5.469,1.414,32,
aspirin,4.656,1.428,32,
ass,5.242,1.724,33,
ass (donkey),5.559,2.061,34,
ass (insult),4.188,2.113,32,
assassin,3.529,2.118,34,
assassinate,6.273,2.609,33,
assault,3.75,2.305,32,
asshole,5.629,2.38,35,
assist,6.182,1.336,33,
assistant,4.771,2.474,35,
assuring,6.032,1.943,31,
asteroid,4.353,2.028,34,
asthma,3.031,1.944,32,
astonish,5.206,1.324,34,
astonished,4.857,1.884,35,
astronaut,5.063,1.435,32,
astronomer,5.438,1.435,32,
astronomy,5.086,1.888,35,
athletic,6.219,1.556,32,
athletics,5.677,2.082,34,
atmosphere,4.839,1.568,31,
atom,4.324,1.567,34,
atomic,4.394,2.719,33,
atoms,4.152,2.062,33,
atrocious,4.5,1.989,34,
atrocity,3.903,2.234,31,
attack,4.147,2.724,34,
