unit,mean,std,n,individual_ratings
ability,1.9,0.9944289260117531,20,
abundance,2.4,2.065591117977289,20,
accident,2.6,1.7126976771553508,20,
accomplishment,1.9,1.1972189997378646,20,
accumulation,2.0,1.5634719199411433,20,
acquisition,2.0,1.1547005383792515,20,
acre,2.3,1.4944341180973264,20,
addition,1.7,0.9486832980505139,20,
admiration,2.0,0.9428090415820634,20,
advantage,2.1,1.3703203194062976,20,
adventurer,2.7,1.8027756377319946,20,
adversity,1.9,1.1972189997378646,20,
advice,2.0,0.9428090415820634,20,
affection,2.4,1.6465452046971292,20,
alley,2.0,1.0540925533894598,20,
alligator,4.9,1.7919573407620817,20,
ally,2.5,1.9578900207451218,20,
alphabet,2.1,1.286683937707919,20,
ambition,2.6,1.7126976771553508,20,
ambulance,3.6,2.4585451886114367,20,
amount,1.8,0.9189365834726815,20,
amplitude,2.0,1.4907119849998598,20,
anger,3.4,2.2211108331943574,20,
animal,3.2,1.8135294011647256,20,
ankle,2.1,1.1972189997378646,20,
announcement,2.0,1.247219128924647,20,
annoyance,2.2,1.3165611772087666,20,
anxiety,1.9,0.7378647873726217,20,
apology,1.8,1.2292725943057183,20,
appeal,2.2,1.8135294011647258,20,
apple,6.0,1.0540925533894598,20,
appointment,1.7,0.9486832980505139,20,
arc,3.8,2.097617696340303,20,
arrangement,3.0,2.0,20,
arrow,3.2,1.4757295747452435,20,
art,4.7,2.4060109910158114,20,
article,2.2,1.3165611772087666,20,
artist,3.5,2.4608038433722332,20,
aspect,1.9,1.286683937707919,20,
assault,1.6,0.6992058987801009,20,
assistance,2.1,1.3703203194062976,20,
assumption,1.9,1.1972189997378646,20,
atom,1.7,0.9486832980505139,20,
atrocity,2.0,1.247219128924647,20,
attempt,2.3,1.5670212364724212,20,
attention,1.9,1.1972189997378646,20,
attitude,1.8,1.2292725943057183,20,
autumn,5.4,1.71269767715535,20,
availability,1.9,1.1972189997378646,20,
awareness,1.8,0.9189365834726815,20,
baby,3.1,1.7919573407620817,20,
bag,4.3,1.8885620632287057,20,
ball,2.5,1.8408935028645435,20,
ballot,1.7,0.6749485577105531,20,
banana,6.1,0.8755950357709117,20,
band,1.8,1.2292725943057183,20,
bandit,2.9,1.6633299933166201,20,
bank,2.3,1.2516655570345725,20,
beast,2.1,1.5238839267549946,20,
beauty,3.3,2.1108186931983415,20,
beaver,4.2,1.9321835661585915,20,
bed,2.1,1.5951314818673865,20,
bedroom,2.6,1.7763883459298973,20,
beetle,3.2,1.873795909674026,20,
behavior,1.8,1.2292725943057183,20,
belief,1.8,1.2292725943057183,20,
bell,4.3,1.6363916944844767,20,
benefactor,2.0,1.247219128924647,20,
bet,1.6,0.6992058987801009,20,
betrayal,1.9,1.1972189997378646,20,
beverage,2.7,1.70293863659264,20,
bird,4.7,1.946506842754191,20,
blade,3.4,2.011080417199781,20,
blood,6.0,0.816496580927726,20,
boat,3.1,2.1317702607092643,20,
body,2.8,1.8135294011647256,20,
bolt,2.9,1.7919573407620817,20,
border,2.6,1.9550504398153574,20,
boredom,1.8,0.9189365834726815,20,
bottle,3.6,2.118699810942761,20,
boulder,2.8,1.6865480854231354,20,
boundary,2.3,1.766981104093143,20,
boy,4.2,2.043961295567452,20,
bracelet,2.8,1.9321835661585915,20,
brain,3.8,2.250925735484551,20,
branch,2.7,1.4181364924121764,20,
brawl,1.8,1.2292725943057183,20,
brevity,2.3,1.4944341180973264,20,
bridge,2.4,1.6465452046971292,20,
brother,2.5,1.35400640077266,20,
brute,1.8,0.632455532033676,20,
bubble,4.1,2.1832697191750423,20,
bullet,3.0,1.8257418583505538,20,
burner,2.6,1.5055453054181622,20,
butter,4.8,1.873795909674026,20,
butterfly,4.7,1.8287822299126935,20,
cake,3.8,1.8135294011647256,20,
calculation,1.6,0.6992058987801009,20,
calendar,1.9,1.286683937707919,20,
camera,4.5,1.90029237516523,20,
candidate,1.8,0.9189365834726815,20,
candy,3.9,2.024845673131659,20,
capacity,1.6,0.6992058987801009,20,
car,4.1,2.1317702607092643,20,
cat,4.0,2.1081851067789197,20,
category,2.5,1.7159383568311668,20,
caterpillar,3.7,2.2135943621178655,20,
cause,2.2,1.0327955589886446,20,
ceiling,2.6,2.1705094128132942,20,
ceremony,2.4,1.9550504398153572,20,
chair,3.4,1.577621275493231,20,
chance,2.1,0.875595035770913,20,
character,2.4,1.9550504398153572,20,
charity,2.3,1.2516655570345725,20,
charter,1.8,1.2292725943057183,20,
chicken,4.2,1.8135294011647256,20,
chief,2.4,1.2649110640673518,20,
child,2.6,1.5055453054181622,20,
chipmunk,4.8,1.4757295747452435,20,
chlorine,2.6,1.837873166945363,20,
chocolate,5.3,1.9465068427541916,20,
christmas,6.0,0.816496580927726,20,
church,2.5,1.90029237516523,20,
circuit,2.0,1.247219128924647,20,
circumstance,1.9,1.1972189997378646,20,
city,3.5,2.273030282830976,20,
claim,2.6,1.5055453054181622,20,
clean,2.7,1.946506842754191,20,
clearance,1.6,0.6992058987801009,20,
cliff,2.7,1.567021236472421,20,
cloth,3.8,1.6193277068654823,20,
clothing,3.4,2.547329756605707,20,
cocktail,3.1,1.7288403306519922,20,
coffee,4.8,2.097617696340303,20,
coffin,2.8,1.5491933384829666,20,
cognition,2.0,1.247219128924647,20,
coincidence,2.0,1.0540925533894598,20,
combination,2.2,1.6193277068654826,20,
comparison,1.8,0.9189365834726815,20,
competence,2.3,1.636391694484477,20,
complication,1.9,1.1972189997378646,20,
composer,2.0,1.1547005383792515,20,
comprehension,1.9,1.1972189997378646,20,
conclusion,1.6,0.6992058987801009,20,
conference,1.8,0.9189365834726815,20,
confidence,1.9,1.1972189997378646,20,
conscience,1.8,0.9189365834726815,20,
consequence,2.6,1.9550504398153574,20,
consideration,2.5,1.7795130420052185,20,
consistency,1.6,0.6992058987801009,20,
construction,3.2,2.250925735484551,20,
contempt,1.6,0.6992058987801009,20,
context,1.8,0.9189365834726815,20,
contract,1.6,0.6992058987801009,20,
convergence,1.8,0.9189365834726815,20,
core,1.8,0.7888106377466155,20,
corn,4.6,2.4129281427805145,20,
corporation,1.7,0.6749485577105531,20,
corpse,2.4,1.776388345929897,20,
correspondent,1.9,1.1972189997378646,20,
costume,3.3,2.0027758514399734,20,
cottage,2.8,1.6865480854231354,20,
coupon,3.0,2.0,20,
cow,4.4,1.837873166945363,20,
cowardice,2.1,1.1972189997378646,20,
cranberry,6.2,0.7888106377466171,20,
crime,1.9,0.9944289260117531,20,
crisis,1.9,1.1972189997378646,20,
criticism,2.7,2.1108186931983415,20,
crocodile,4.7,2.0575065816014617,20,
crown,4.6,2.0655911179772892,20,
cucumber,5.9,0.9944289260117519,20,
cup,2.2,1.5491933384829668,20,
curfew,2.1,1.286683937707919,20,
dad,2.6,1.577621275493231,20,
dagger,2.7,1.494434118097326,20,
damage,1.9,1.1972189997378646,20,
danger,2.5,1.8408935028645435,20,
darkness,3.9,2.4244128727957577,20,
debt,1.7,0.6749485577105531,20,
deceit,1.9,1.286683937707919,20,
decision,2.0,1.4907119849998598,20,
deduction,1.5,0.5270462766947299,20,
definition,2.2,1.3984117975602022,20,
degree,1.6,0.9660917830792958,20,
democracy,1.8,0.7888106377466155,20,
denial,1.6,0.6992058987801009,20,
dentist,1.9,0.9944289260117531,20,
deputy,2.2,1.8135294011647258,20,
description,3.0,1.8856180831641267,20,
design,2.8,2.043961295567452,20,
desk,3.0,1.9436506316151,20,
despair,1.8,0.632455532033676,20,
destiny,2.4,1.9550504398153572,20,
determination,2.0,1.4142135623730951,20,
development,1.9,1.286683937707919,20,
diamond,4.4,2.270584848790187,20,
diet,1.8,1.2292725943057183,20,
difference,2.3,1.4181364924121764,20,
dilemma,1.9,1.1972189997378646,20,
dimension,2.0,1.4142135623730951,20,
disagreement,1.6,0.6992058987801009,20,
disappointment,1.9,1.5238839267549946,20,
disaster,1.9,1.286683937707919,20,
disgust,1.6,0.6992058987801009,20,
distance,2.0,1.5634719199411433,20,
distraction,1.9,1.286683937707919,20,
distribution,2.2,1.8135294011647258,20,
ditch,2.3,1.5670212364724212,20,
diversity,1.9,1.1972189997378646,20,
division,1.7,0.9486832980505139,20,
doctor,3.0,1.8856180831641267,20,
donor,2.3,1.5670212364724212,20,
door,3.6,1.5055453054181622,20,
dove,4.6,2.4129281427805145,20,
dozen,1.8,0.9189365834726815,20,
drama,2.2,1.8135294011647258,20,
drug,2.5,1.7795130420052185,20,
drum,3.8,1.4757295747452435,20,
duck,4.3,1.567021236472421,20,
duel,1.8,0.7888106377466155,20,
duration,1.7,0.6749485577105531,20,
duty,2.2,1.2292725943057183,20,
dynasty,2.3,1.766981104093143,20,
eagle,3.1,2.2335820757001272,20,
economy,3.0,1.8257418583505538,20,
edge,1.9,1.1972189997378646,20,
effect,2.2,1.8135294011647258,20,
effort,2.0,0.9428090415820634,20,
eight,1.9,1.4491376746189437,20,
electricity,3.1,2.0789954839350235,20,
elephant,4.4,2.118699810942761,20,
