unit,mean,std,n,individual_ratings
ability,1.64,1.8040358795061298,21,
abundance,1.64,1.8040358795061298,21,
accident,1.64,1.8040358795061298,21,
accomplishment,1.64,1.8040358795061298,21,
accumulation,1.64,1.8040358795061298,21,
acquisition,1.64,1.8040358795061298,21,
acre,2.64,2.062654952856986,21,
addition,1.64,1.8040358795061298,21,
admiration,1.64,1.8040358795061298,21,
advantage,1.64,1.8040358795061298,21,
adventurer,2.09,1.9255628288353013,21,
adversity,1.64,1.8040358795061298,21,
advice,1.91,1.9211738835693897,21,
affection,2.0,1.8973665961010275,21,
alley,2.91,2.4271195048676715,21,
alligator,3.55,2.423371055519,21,
ally,2.45,2.06705763652765,21,
alphabet,1.64,1.8040358795061298,21,
ambition,2.0,2.04939015319192,21,
ambulance,2.73,2.0538212722098823,21,
amount,1.64,1.8040358795061298,21,
amplitude,1.64,1.8040358795061298,21,
anger,1.64,1.8040358795061298,21,
animal,4.64,1.804035879506129,21,
ankle,2.82,2.2723636072680717,21,
announcement,1.73,1.7939291563999449,21,
annoyance,2.0,2.04939015319192,21,
anxiety,2.0,1.8973665961010275,21,
apology,1.64,1.8040358795061298,21,
appeal,1.73,1.7939291563999449,21,
apple,6.27,1.2720777563426768,21,
appointment,1.64,1.8040358795061298,21,
arc,1.64,1.8040358795061298,21,
arrangement,1.64,1.5015143870590968,21,
arrow,1.91,1.9211738835693897,21,
art,2.55,2.296241989148198,21,
article,1.64,1.8040358795061298,21,
artist,2.55,2.018099916438052,21,
aspect,1.64,1.8040358795061298,21,
assault,1.64,1.8040358795061298,21,
assistance,1.64,1.8040358795061298,21,
assumption,1.64,1.8040358795061298,21,
atom,1.73,1.7939291563999449,21,
atrocity,1.64,1.8040358795061298,21,
attempt,1.82,1.7786613965666325,21,
attention,1.64,1.8040358795061298,21,
attitude,1.91,1.9211738835693897,21,
autumn,4.36,2.3779288161224366,21,
availability,1.64,1.8040358795061298,21,
awareness,1.64,1.8040358795061298,21,
baby,5.0,2.04939015319192,21,
bag,1.55,0.6875516509523286,21,
ball,3.09,2.165850662190053,21,
ballot,2.0,1.8973665961010275,21,
banana,5.82,1.7786613965666322,21,
band,2.45,2.06705763652765,21,
bandit,2.27,1.9021518914592015,21,
bank,1.55,0.6875516509523286,21,
beast,3.36,2.2922795323750234,21,
beauty,3.0,2.280350850198276,21,
beaver,3.27,2.3276988246295565,21,
bed,4.18,2.040499047693079,21,
bedroom,4.0,2.23606797749979,21,
beetle,3.27,2.0538212722098823,21,
behavior,1.64,1.8040358795061298,21,
belief,1.64,1.8040358795061298,21,
bell,2.36,2.062654952856986,21,
benefactor,1.91,1.9211738835693897,21,
bet,1.64,1.8040358795061298,21,
betrayal,1.64,1.8040358795061298,21,
beverage,4.64,2.335496832484569,21,
bird,4.09,2.3432688900143512,21,
blade,2.36,2.062654952856986,21,
blood,4.91,2.508168473390313,21,
boat,3.64,2.2033033051637383,21,
body,3.73,2.5725827135743993,21,
bolt,1.64,1.8040358795061298,21,
border,1.64,1.8040358795061298,21,
boredom,1.64,1.8040358795061298,21,
bottle,3.55,2.3393860888547815,21,
boulder,3.0,2.4899799195977463,21,
boundary,1.64,1.8040358795061298,21,
boy,4.09,2.467976720090587,21,
bracelet,2.82,1.9908883353006928,21,
brain,2.55,2.018099916438052,21,
branch,2.18,2.0404990476930793,21,
brawl,2.18,1.9908883353006928,21,
brevity,1.64,1.8040358795061298,21,
bridge,2.55,2.018099916438052,21,
brother,2.64,2.2482316283126735,21,
brute,1.64,1.8040358795061298,21,
bubble,2.91,2.0225995873897262,21,
bullet,2.0,1.8973665961010275,21,
burner,2.55,2.339386088854782,21,
butter,5.82,1.7786613965666322,21,
butterfly,2.82,2.1362669223756576,21,
cake,6.27,1.1908743922772957,21,
calculation,1.64,1.8040358795061298,21,
calendar,2.0,1.8973665961010275,21,
camera,1.64,1.5015143870590968,21,
candidate,2.36,1.9116865471476894,21,
candy,5.82,1.8340219092574555,21,
capacity,1.91,1.9211738835693897,21,
car,4.36,2.248231628312673,21,
cat,4.82,2.2279219832921355,21,
category,1.73,1.7939291563999449,21,
caterpillar,3.0,2.1447610589527217,21,
cause,2.09,2.0225995873897262,21,
ceiling,2.36,1.689540012709215,21,
ceremony,2.45,2.1616492020508957,21,
chair,2.91,2.3432688900143512,21,
chance,1.45,0.9341987329938275,21,
character,1.64,1.8040358795061298,21,
charity,1.64,1.8040358795061298,21,
charter,1.73,1.555050423035156,21,
chicken,6.18,0.7507571935295476,21,
chief,1.73,1.7939291563999449,21,
child,4.64,1.9632996344280853,21,
chipmunk,3.18,2.088931871468374,21,
chlorine,5.27,1.9021518914592017,21,
chocolate,6.64,0.504524979109513,21,
christmas,3.82,2.442055765873573,21,
church,3.55,2.2962419891481978,21,
circuit,2.36,1.5015143870590968,21,
circumstance,1.64,1.8040358795061298,21,
city,3.0,2.4083189157584592,21,
claim,1.73,1.7939291563999449,21,
clean,4.55,1.9164360862620156,21,
clearance,1.64,1.8040358795061298,21,
cliff,2.55,2.018099916438052,21,
cloth,2.55,1.809068067466582,21,
clothing,4.18,2.2279219832921355,21,
cocktail,5.91,1.0444659357341883,21,
coffee,5.55,2.2962419891481987,21,
coffin,3.64,2.2033033051637383,21,
cognition,1.55,1.507556722888818,21,
coincidence,1.64,1.8040358795061298,21,
combination,1.64,1.8040358795061298,21,
comparison,1.64,1.8040358795061298,21,
competence,1.64,1.8040358795061298,21,
complication,1.64,1.8040358795061298,21,
composer,2.0,1.8973665961010275,21,
comprehension,1.64,1.8040358795061298,21,
conclusion,1.64,1.8040358795061298,21,
conference,1.64,1.8040358795061298,21,
confidence,1.64,1.8040358795061298,21,
conscience,1.64,1.8040358795061298,21,
consequence,1.64,1.8040358795061298,21,
consideration,1.64,1.8040358795061298,21,
consistency,1.64,1.8040358795061298,21,
construction,2.55,2.1616492020508957,21,
contempt,1.73,1.7939291563999449,21,
context,1.64,1.8040358795061298,21,
contract,1.64,1.8040358795061298,21,
convergence,1.64,1.8040358795061298,21,
core,1.64,1.8040358795061298,21,
corn,5.27,2.2401298663653004,21,
corporation,1.73,1.7939291563999449,21,
corpse,5.27,1.5550504230351565,21,
correspondent,1.73,1.7939291563999449,21,
costume,1.82,1.8340219092574557,21,
cottage,3.18,2.482667187449088,21,
coupon,1.91,1.9211738835693897,21,
cow,5.18,1.7786613965666322,21,
cowardice,1.91,1.9211738835693897,21,
cranberry,5.82,1.2504544628399559,21,
crime,1.64,1.8040358795061298,21,
crisis,1.27,0.46709936649691397,21,
criticism,1.64,1.8040358795061298,21,
crocodile,3.36,2.377928816122437,21,
crown,2.91,2.256304299271065,21,
cucumber,5.55,1.8635254955935738,21,
cup,3.45,1.634847782739198,21,
curfew,1.64,1.8040358795061298,21,
dad,3.45,2.2962419891481978,21,
dagger,2.0,2.04939015319192,21,
damage,1.91,1.9211738835693897,21,
danger,1.45,1.2135597524338357,21,
darkness,1.36,0.9244162777371755,21,
