unit,mean,std,n,individual_ratings
the,6.634615384615385,2.339049774193325,26,"[5.5, 11.5, 6.5, 3.5, 6.0, 5.0, 3.5, 3.5, 5.0, 10.5, 8.0, 6.0, 5.0, 7.0, 6.5, 6.0, 4.5, 10.0, 9.0, 11.0, 6.5, 8.0, 6.5, 8.5, 3.5, 6.0]"
and,5.749444444444444,2.351572732604825,30,"[7.5, 8.5, 8.5, 5.0, 5.983333333333333, 4.5, 9.5, 3.5, 12.5, 9.5, 3.5, 4.0, 8.0, 6.0, 3.5, 8.0, 4.5, 4.0, 4.5, 5.0, 4.0, 4.0, 3.5, 4.5, 6.5, 8.0, 4.0, 4.0, 3.5, 4.5]"
a,6.39625,3.1806598434088618,20,"[5.5, 3.5, 6.5, 6.0, 5.5, 5.0, 4.0, 5.0, 6.925, 4.0, 17.0, 7.0, 4.5, 4.0, 11.0, 9.0, 4.0, 7.0, 8.5, 4.0]"
to,6.721666666666667,3.274501365918527,30,"[7.0, 7.0, 9.0, 16.0, 9.0, 8.5, 4.0, 6.0, 5.0, 5.0, 3.5, 5.5, 13.5, 5.0, 9.5, 5.5, 4.0, 4.0, 7.0, 7.15, 4.0, 4.0, 3.5, 3.5, 5.0, 14.5, 4.0, 6.0, 9.0, 7.0]"
I,5.192708333333333,1.5673204627551491,24,"[4.5, 5.0, 7.5, 4.5, 4.5, 4.5, 4.5, 7.5, 4.0, 5.0, 3.5, 4.0, 6.0, 5.0, 3.5, 9.5, 3.5, 5.0, 5.0, 6.5, 4.0, 5.625, 8.0, 4.0]"
you,5.1095999999999995,1.108814983063751,25,"[4.0, 5.0, 6.0, 5.0, 6.0, 3.5, 5.0, 4.0, 5.5, 4.5, 5.0, 5.5, 7.0, 3.5, 5.5, 5.0, 4.0, 6.0, 5.5, 6.5, 6.0, 3.5, 5.24, 3.5, 7.5]"
he,5.047831632653062,1.667233843200069,28,"[5.0, 6.5, 8.5, 4.5, 4.0, 3.5, 5.0, 6.0, 3.5, 6.0, 4.5, 3.5, 4.5, 4.5, 6.5, 9.0, 5.0, 4.5, 3.5, 5.339285714285714, 3.5, 3.5, 5.0, 3.5, 9.5, 4.0, 5.0, 4.0]"
of,8.403846153846153,4.1976641856376045,26,"[12.0, 14.5, 11.5, 4.5, 8.0, 10.0, 8.0, 18.0, 18.0, 3.5, 6.0, 13.5, 4.5, 4.0, 5.0, 10.0, 9.5, 5.0, 11.0, 4.0, 5.5, 7.5, 5.5, 8.0, 7.0, 4.5]"
in,6.224965706447188,2.9853044083762494,27,"[6.5, 7.5, 12.5, 5.5, 4.0, 6.0, 6.5, 4.0, 5.0, 13.0, 5.0, 5.0, 4.5, 12.5, 5.0, 4.0, 3.5, 4.0, 11.0, 4.0, 3.5, 6.574074074074074, 10.5, 4.0, 4.0, 6.5, 4.0]"
it,5.334705075445816,1.2862238502367098,27,"[4.0, 4.0, 7.5, 6.5, 7.5, 5.5, 5.0, 5.0, 4.5, 6.0, 5.5, 6.5, 4.0, 7.0, 7.0, 5.0, 3.5, 4.0, 4.0, 5.0, 6.5, 5.0, 4.0, 3.5, 5.0, 7.5, 5.537037037037037]"
that,6.566530612244898,3.0266125400640207,35,"[6.0, 10.5, 4.0, 5.5, 9.5, 8.5, 6.0, 5.5, 5.0, 11.0, 4.5, 14.0, 11.5, 7.0, 5.0, 4.0, 11.5, 5.5, 6.0, 6.0, 8.5, 14.5, 3.5, 6.5, 6.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.5, 4.0, 3.5, 3.5, 6.828571428571428]"
his,5.892751479289941,1.997455282559819,26,"[5.0, 11.0, 5.0, 6.5, 8.0, 3.5, 5.0, 8.0, 4.0, 9.0, 5.0, 3.5, 4.0, 5.0, 7.5, 5.5, 3.5, 6.5, 3.5, 3.5, 8.0, 8.5, 6.211538461538462, 6.5, 5.5, 6.0]"
for,8.277777777777779,4.36404305602864,27,"[11.5, 14.5, 16.0, 5.5, 8.0, 13.0, 8.0, 17.5, 18.0, 3.5, 3.5, 3.5, 6.0, 10.5, 4.5, 5.0, 9.5, 8.0, 4.5, 11.0, 4.0, 5.0, 7.0, 6.0, 8.5, 6.5, 5.0]"
she,5.1646090534979425,1.8756120546768127,27,"[5.5, 8.5, 9.5, 3.5, 4.0, 3.5, 5.0, 6.0, 3.5, 6.5, 5.0, 4.0, 4.5, 3.5, 4.5, 6.5, 9.5, 4.5, 4.5, 5.444444444444445, 3.5, 3.5, 5.0, 8.5, 4.5, 3.5, 3.5]"
on,6.9794921875,3.7183273459921633,32,"[6.5, 4.5, 3.5, 15.5, 7.5, 4.5, 6.0, 5.0, 4.5, 5.5, 7.0, 5.5, 11.0, 7.34375, 18.0, 15.5, 4.0, 9.5, 6.5, 4.0, 4.5, 5.5, 11.0, 4.0, 3.5, 5.0, 4.5, 4.5, 7.0, 11.0, 5.5, 6.0]"
my,6.075,3.2455435032639675,20,"[10.0, 13.0, 4.0, 10.5, 7.5, 3.5, 4.0, 3.5, 12.5, 4.0, 3.5, 4.5, 5.5, 6.0, 3.5, 9.5, 3.5, 3.5, 6.0, 3.5]"
with,6.061288088642659,1.8921278572194082,38,"[10.5, 10.0, 10.5, 4.0, 6.5, 6.0, 6.328947368421052, 3.5, 7.5, 5.0, 6.5, 7.0, 5.0, 6.5, 4.0, 5.5, 4.0, 4.5, 6.5, 3.5, 4.5, 7.0, 7.0, 6.0, 7.0, 6.5, 7.0, 5.5, 4.0, 9.5, 7.0, 6.0, 3.5, 8.0, 5.5, 5.0, 3.5, 5.0]"
but,6.679063360881543,2.2490223827112947,33,"[5.5, 9.0, 11.5, 6.0, 5.5, 4.0, 10.5, 7.5, 7.0, 10.5, 7.0, 6.5, 5.0, 9.5, 10.0, 6.0, 9.5, 8.0, 6.0, 3.5, 4.5, 9.0, 5.5, 6.909090909090909, 6.5, 4.5, 4.0, 3.5, 4.5, 4.0, 5.0, 6.5, 8.0]"
they,6.356401384083045,2.6129789206126453,34,"[8.5, 6.0, 6.5, 5.0, 4.5, 12.5, 8.5, 4.5, 5.0, 8.0, 7.5, 7.0, 5.0, 7.5, 6.617647058823529, 4.5, 5.5, 13.5, 5.5, 4.0, 6.0, 10.5, 4.0, 9.5, 3.5, 3.5, 4.5, 5.5, 4.0, 3.5, 5.0, 3.5, 6.5, 11.0]"
all,6.360041623309053,2.634190424683159,31,"[8.0, 4.5, 5.5, 4.0, 4.0, 5.0, 6.5, 12.0, 4.0, 13.5, 7.5, 12.0, 7.0, 6.0, 7.5, 4.5, 6.0, 6.5, 8.5, 6.661290322580645, 3.5, 3.5, 4.0, 5.5, 4.0, 6.0, 4.5, 3.5, 5.5, 8.0, 10.0]"
her,7.4393939393939394,3.9956178647628606,33,"[8.0, 8.5, 5.5, 4.0, 4.0, 5.5, 6.0, 13.0, 4.0, 16.5, 9.0, 13.5, 10.5, 4.5, 16.5, 6.0, 4.5, 9.5, 6.0, 8.5, 15.5, 4.0, 4.0, 5.0, 4.5, 4.0, 4.0, 4.5, 4.5, 3.5, 6.5, 9.0, 13.0]"
so,6.317474048442906,2.4226367856241864,34,"[6.5, 4.0, 9.5, 4.0, 5.0, 11.5, 3.5, 4.0, 4.0, 10.0, 6.0, 6.897058823529412, 13.0, 4.0, 6.5, 4.5, 4.0, 4.5, 7.0, 7.0, 6.897058823529412, 9.0, 4.5, 5.5, 8.0, 6.0, 5.0, 7.5, 10.0, 3.5, 8.0, 6.5, 4.5, 4.5]"
be,5.808080808080808,1.7500601240272968,33,"[8.0, 5.5, 7.0, 8.0, 4.5, 4.5, 8.5, 5.0, 6.0, 6.5, 4.0, 5.0, 4.5, 4.0, 6.5, 8.5, 8.0, 10.5, 5.0, 8.0, 4.5, 4.0, 6.5, 6.333333333333333, 5.5, 5.5, 6.333333333333333, 3.5, 4.0, 3.5, 5.0, 3.5, 6.0]"
we,6.209104938271604,2.3850304398272586,36,"[6.0, 4.0, 3.5, 9.5, 5.0, 5.0, 13.0, 4.5, 3.5, 4.0, 8.0, 3.5, 5.0, 6.763888888888889, 6.5, 4.0, 7.0, 4.5, 4.5, 4.0, 6.5, 7.5, 6.763888888888889, 9.0, 5.0, 6.0, 10.0, 6.0, 4.5, 11.0, 10.5, 4.0, 8.5, 6.5, 5.0, 5.0]"
at,6.822222222222222,2.473880153533823,30,"[9.5, 7.583333333333333, 8.0, 10.0, 10.5, 7.5, 7.5, 5.0, 6.0, 5.5, 4.0, 8.0, 9.0, 4.5, 5.5, 7.0, 6.0, 4.0, 3.5, 4.0, 5.5, 7.583333333333333, 6.0, 6.5, 8.0, 5.0, 9.0, 15.0, 4.0, 5.5]"
up,4.93278463648834,0.9421813585853085,27,"[6.5, 5.592592592592593, 7.0, 6.0, 4.5, 5.0, 4.0, 5.5, 5.5, 4.5, 5.592592592592593, 3.5, 4.0, 5.5, 3.5, 4.0, 4.5, 4.5, 3.5, 5.5, 4.5, 5.5, 4.5, 5.0, 6.5, 4.5, 4.5]"
me,5.431213017751479,1.6482927609937714,26,"[5.5, 3.5, 6.5, 7.0, 9.5, 5.711538461538462, 5.5, 5.0, 3.5, 5.0, 5.5, 4.5, 4.5, 3.5, 3.5, 4.5, 4.0, 9.5, 7.0, 5.0, 7.5, 5.5, 6.0, 5.5, 3.5, 5.0]"
as,8.35,4.3946479989281,30,"[18.0, 6.0, 14.0, 3.5, 13.5, 9.0, 7.5, 6.5, 6.0, 3.5, 5.5, 4.0, 7.5, 5.5, 15.0, 9.0, 10.0, 13.0, 5.0, 9.5, 18.0, 3.5, 5.5, 5.0, 4.5, 8.0, 4.5, 6.5, 16.0, 7.5]"
this,6.808539944903582,3.588494541640257,33,"[6.5, 8.5, 7.0, 4.5, 6.5, 8.5, 3.5, 4.5, 6.5, 6.0, 6.5, 7.5, 11.5, 8.5, 17.0, 6.0, 4.5, 4.0, 3.5, 4.5, 7.0, 15.0, 4.0, 3.5, 3.5, 10.5, 16.0, 4.0, 7.181818181818182, 4.5, 3.5, 5.0, 5.5]"
one,4.8264,0.8544534315377676,25,"[5.0, 5.0, 5.0, 4.0, 4.0, 5.5, 6.5, 5.0, 4.0, 3.5, 5.0, 4.5, 6.5, 5.16, 4.0, 5.0, 4.0, 5.5, 3.5, 6.0, 4.5, 4.0, 4.5, 6.0, 5.0]"
when,6.009512485136742,1.813377627397314,29,"[6.0, 8.5, 9.5, 4.0, 5.0, 6.0, 7.0, 3.5, 5.0, 8.5, 5.5, 4.5, 6.0, 4.5, 5.0, 6.5, 9.5, 4.5, 6.5, 3.5, 6.275862068965517, 4.5, 4.0, 6.5, 9.5, 5.0, 7.0, 4.5, 8.0]"
what,6.392777777777778,3.4986962085386035,30,"[12.0, 7.0, 6.5, 3.5, 6.5, 4.5, 6.5, 15.5, 4.0, 12.0, 4.5, 4.5, 5.0, 3.5, 3.5, 4.0, 5.0, 4.5, 4.5, 4.5, 5.5, 3.5, 15.0, 4.0, 4.0, 8.0, 4.0, 6.783333333333333, 6.5, 13.0]"
like,6.180555555555555,2.62448029624854,36,"[10.0, 6.5, 4.5, 4.0, 5.0, 4.0, 6.5, 5.0, 4.0, 5.5, 8.0, 4.5, 5.5, 12.5, 6.0, 15.0, 6.0, 4.0, 4.0, 5.5, 7.0, 5.5, 8.0, 8.5, 6.5, 7.0, 3.5, 5.5, 4.5, 3.5, 4.0, 5.5, 5.0, 12.0, 6.0, 4.5]"
your,5.6962890625,2.048630424544273,32,"[7.0, 8.0, 3.5, 12.0, 4.5, 6.5, 4.5, 5.5, 4.5, 6.390625, 4.0, 5.0, 5.0, 6.0, 3.5, 4.0, 5.0, 3.5, 6.5, 6.5, 3.5, 10.0, 6.390625, 5.5, 5.0, 7.5, 10.0, 5.0, 4.0, 3.5, 5.0, 5.5]"
have,5.865013774104683,1.4432035095222435,33,"[5.5, 6.5, 8.0, 5.5, 7.0, 8.0, 6.045454545454546, 9.0, 4.5, 5.0, 5.5, 5.0, 5.5, 6.5, 6.5, 4.5, 4.0, 4.0, 5.5, 5.0, 6.0, 6.0, 6.0, 10.5, 4.0, 4.5, 6.0, 5.0, 4.5, 5.0, 7.0, 6.0, 6.0]"
out,5.60205078125,1.6727155539585967,32,"[8.5, 8.0, 7.5, 4.5, 10.5, 5.0, 3.5, 5.5, 5.0, 5.0, 7.0, 5.5, 4.5, 5.0, 7.0, 7.5, 4.0, 6.0, 5.0, 5.0, 5.765625, 4.5, 3.5, 4.5, 4.0, 4.5, 4.0, 4.0, 4.5, 8.5, 6.0, 6.0]"
not,5.368622448979592,1.6055931261668015,28,"[7.0, 4.5, 4.0, 6.5, 3.5, 9.0, 3.5, 7.5, 7.5, 6.5, 4.5, 3.5, 5.0, 4.0, 5.0, 5.0, 8.5, 4.5, 7.5, 6.0, 5.0, 5.0, 3.5, 4.0, 5.910714285714286, 3.5, 4.5, 5.910714285714286]"
little,6.476586888657648,2.8287699842553033,31,"[11.5, 7.5, 5.0, 5.0, 4.5, 7.5, 8.0, 4.5, 6.0, 4.0, 13.5, 6.0, 4.0, 6.5, 5.5, 13.0, 5.0, 8.5, 3.5, 4.0, 4.0, 11.0, 7.0, 4.0, 6.774193548387097, 3.5, 10.5, 6.0, 3.5, 7.0, 4.5]"
do,5.265432098765432,1.113494594550164,27,"[5.0, 5.833333333333333, 7.0, 4.0, 5.0, 4.5, 6.0, 6.5, 6.0, 5.0, 7.0, 3.5, 6.0, 5.5, 5.5, 5.5, 5.833333333333333, 4.5, 3.5, 4.5, 4.0, 5.0, 3.5, 4.0, 7.5, 6.0, 6.0]"
then,7.7004081632653065,3.2747194297388034,35,"[8.014285714285714, 6.0, 4.0, 12.0, 5.5, 13.5, 4.5, 6.0, 9.5, 7.0, 7.0, 6.5, 4.5, 4.5, 11.0, 6.5, 10.5, 7.0, 11.0, 4.5, 4.0, 12.5, 4.5, 6.0, 4.5, 10.5, 7.5, 11.5, 17.0, 5.0, 5.5, 8.5, 4.0, 8.0, 11.5]"
can,6.1728515625,3.1613907788647433,32,"[3.5, 4.0, 9.5, 4.0, 7.5, 16.0, 11.0, 8.5, 6.0, 4.5, 5.5, 5.0, 3.5, 4.0, 5.0, 4.0, 5.0, 4.0, 5.5, 8.5, 4.0, 6.0, 6.5, 3.5, 16.0, 6.0, 6.5, 4.5, 5.0, 6.53125, 4.5, 4.0]"
there,6.728650137741046,3.0417524319872955,33,"[11.5, 9.0, 11.5, 5.5, 4.5, 8.5, 7.0, 5.0, 6.0, 4.5, 14.0, 4.0, 4.0, 8.0, 7.0, 12.5, 7.0, 4.5, 3.5, 3.5, 4.5, 11.5, 7.0, 3.5, 7.045454545454546, 4.0, 12.0, 6.0, 3.5, 5.5, 7.5, 3.5, 5.5]"
no,5.5776,2.7972684294980823,25,"[4.0, 5.5, 5.0, 4.0, 13.5, 4.0, 3.5, 7.0, 7.5, 4.5, 4.0, 4.0, 4.0, 3.5, 7.5, 3.5, 4.0, 13.0, 4.5, 4.0, 5.94, 6.5, 3.5, 3.5, 9.5]"
day,5.21484375,1.6599025837987038,32,"[7.0, 7.5, 7.5, 5.5, 5.0, 3.5, 3.5, 6.0, 5.5, 3.5, 4.0, 3.5, 5.0, 7.0, 10.0, 6.0, 3.5, 3.5, 6.5, 6.0, 5.5, 6.0, 4.0, 3.5, 3.5, 5.375, 7.5, 6.5, 4.0, 3.5, 4.5, 3.5]"
just,6.633308984660336,2.858313380772289,37,"[10.0, 12.0, 5.5, 12.0, 7.216216216216216, 10.0, 8.0, 4.0, 7.0, 5.0, 4.0, 5.0, 6.0, 3.5, 6.5, 12.0, 4.5, 4.5, 6.0, 4.5, 4.5, 9.5, 7.5, 5.5, 4.0, 3.5, 15.5, 7.0, 8.0, 6.5, 5.0, 3.5, 7.216216216216216, 6.5, 3.5, 6.0, 5.0]"
now,6.349480968858131,2.23687396916336,34,"[5.5, 5.0, 9.5, 4.5, 7.0, 12.5, 4.0, 3.5, 3.5, 8.0, 4.5, 6.9411764705882355, 10.5, 4.0, 4.5, 4.5, 4.5, 4.5, 7.0, 7.5, 6.9411764705882355, 9.0, 5.0, 6.0, 7.0, 6.5, 7.5, 8.0, 10.5, 3.5, 8.0, 6.0, 5.5, 5.0]"
from,5.7759183673469385,1.946091510183748,35,"[4.5, 9.0, 6.0, 4.0, 5.0, 3.5, 6.5, 9.0, 4.5, 4.0, 6.5, 5.5, 6.0, 9.5, 4.0, 6.0, 4.5, 4.5, 4.0, 4.5, 6.0, 3.5, 3.5, 6.5, 9.0, 6.1571428571428575, 7.0, 3.5, 7.0, 10.0, 5.5, 5.5, 4.0, 4.5, 9.5]"
him,5.760145681581686,1.538080290653731,31,"[6.0, 5.5, 9.5, 5.0, 7.0, 7.5, 6.064516129032258, 8.0, 4.5, 6.0, 4.5, 6.0, 5.0, 4.5, 7.0, 6.0, 4.5, 5.5, 5.0, 5.0, 6.0, 6.0, 10.5, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.5, 6.5]"
see,6.02,3.0395997543536333,25,"[11.0, 10.5, 4.5, 4.0, 5.0, 5.0, 4.0, 9.0, 5.5, 5.5, 13.5, 7.0, 3.5, 4.5, 3.5, 7.5, 6.5, 3.5, 3.5, 4.5, 3.5, 4.5, 4.0, 4.0, 13.0]"
