unit,mean,std,n,individual_ratings
AIDS,4.3667,0.9643,30,"[4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 4, 5, 2, 2, 2, 5, 5, 3, 4, 5]"
Afghanistan,4.4,0.855,30,"[3, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 3, 5, 4, 3, 5, 4, 3, 5, 5, 3, 5, 5, 5]"
Alan,2.9667,1.6291,30,"[3, 2, 5, 1, 5, 4, 5, 5, 5, 2, 5, 1, 5, 1, 5, 4, 2, 4, 3, 1, 5, 3, 1, 2, 2, 1, 1, 1, 2, 3]"
Alan Turing,2.1,1.2959,30,"[4, 2, 1, 1, 5, 1, 3, 1, 2, 2, 1, 4, 1, 1, 2, 1, 1, 1, 2, 1, 4, 3, 2, 1, 2, 4, 2, 5, 2, 1]"
Alaska,4.9667,0.1826,30,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Albuquerque,4.0345,1.149,29,"[3, 4, 5, 5, 5, 4, 5, 2, 5, 5, 5, 5, 5, 3, 5, 3, 3, 3, 5, 4, 5, 3, 3, 5, 1, 3, 5, 5, 3]"
Aleve,4.4333,1.04,30,"[1, 5, 5, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5]"
Alexander Fleming,2.4667,1.1666,30,"[2, 5, 1, 2, 3, 3, 2, 5, 4, 2, 3, 3, 1, 3, 2, 2, 3, 2, 4, 2, 1, 1, 3, 3, 1, 3, 1, 2, 4, 1]"
Alexander Ovechkin,2.0667,1.4606,30,"[2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 5, 2, 1, 1, 2, 1, 1, 3, 2, 5, 5, 1, 5, 2, 5, 1, 2, 1, 2, 1]"
Alexander the Great,4.2,0.9248,30,"[5, 5, 5, 3, 5, 5, 5, 5, 3, 4, 5, 5, 3, 4, 3, 5, 4, 4, 5, 5, 3, 3, 5, 5, 4, 2, 5, 4, 4, 3]"
