unit,mean,std,n,individual_ratings
ABJECT,3.4333,1.3817,30,"[4, 5, 3, 3, 4, 3, 1, 5, 5, 1, 4, 5, 5, 1, 5, 3, 3, 2, 3, 5, 3, 5, 2, 5, 2, 4, 2, 3, 2, 5]"
ABROAD,4.5517,0.8275,29,"[5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 2, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
ACCURACY,4.7,0.6513,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 5]"
ADDITION,4.8214,0.548,28,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5]"
AHAB,2.3333,1.3476,30,"[2, 2, 2, 2, 3, 2, 1, 1, 1, 1, 2, 5, 4, 1, 1, 5, 4, 2, 1, 4, 1, 5, 3, 4, 2, 1, 2, 3, 1, 2]"
ALASKA,4.7333,0.5833,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 4, 3, 5]"
ALBANIAN,3.9655,1.1797,29,"[4, 5, 3, 5, 4, 4, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 3, 3, 5, 2, 1, 2, 3, 2, 5]"
ALBUQUERQUE,4.5,0.7768,30,"[5, 5, 5, 5, 4, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 3, 3, 4, 4, 3, 5]"
ALIBIS,3.7667,1.5241,30,"[4, 2, 5, 5, 5, 5, 1, 4, 5, 3, 3, 5, 5, 5, 1, 5, 3, 5, 3, 5, 5, 5, 5, 5, 3, 1, 2, 1, 2, 5]"
ANONYMOUS,4.7586,0.5766,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 4, 3, 5]"
ANTOINETTE,3.5333,1.306,30,"[5, 5, 2, 3, 3, 4, 4, 5, 5, 2, 5, 5, 4, 5, 1, 5, 4, 3, 3, 5, 3, 3, 3, 4, 1, 4, 2, 3, 1, 4]"
APTITUDE,4.5333,0.7303,30,"[4, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 3, 4, 4, 3, 5]"
AXE,4.6333,0.7184,30,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 3, 5, 3, 4, 4, 5]"
BAG,4.8966,0.3099,29,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5]"
BAKEDU,1.3667,0.8087,30,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1]"
