unit,mean,std,n,individual_ratings
aardvark,3.571428571428572,1.8277470669267508,14,
aback,3.7,1.4181364924121764,10,
abandon,3.8,1.932183566158592,10,
abandoned,4.2,1.5491933384829668,10,
abase,2.5,2.068278940998476,10,
abash,3.5454545454545454,2.583162262175428,11,
abate,2.8,1.6865480854231356,10,
abbey,2.4,1.6465452046971292,10,
abdomen,3.272727272727273,1.6787441193290351,11,
abdominal,3.6,2.0110804171997807,10,
abduct,4.1,2.1317702607092643,10,
abduction,4.1,1.728840330651992,10,
abide,3.2,1.4757295747452437,10,
abiding,3.4,1.577621275493231,10,
ability,3.083333333333333,1.378954368902449,12,
abject,3.3,2.0027758514399734,10,
able,2.9375,1.8786076404259264,16,
ably,3.090909090909091,1.9211738835693897,11,
abnormal,3.090909090909091,2.3001976199685736,11,
abnormality,3.0,1.5811388300841898,9,
aboard,4.0,2.280350850198276,11,
abode,3.4,2.0110804171997807,10,
abolish,3.0,0.9534625892455924,12,
abolition,3.4,2.0110804171997807,10,
abominable,4.0,2.0,11,
abominate,2.727272727272727,1.954016841836789,11,
abomination,4.8,1.932183566158592,10,
abort,3.8,1.932183566158592,10,
abortion,4.461538461538462,1.853617391992597,13,
abound,4.0,1.699673171197595,10,
about,2.0,1.1547005383792517,10,
above,3.8,1.9888578520235063,10,
abrasion,4.7,1.2516655570345725,10,
abrasive,4.0,2.0548046676563256,10,
abridge,3.9,2.378141197564929,10,
abroad,3.4166666666666665,1.880924981991251,12,
abrupt,4.9,1.7919573407620817,10,
abscess,3.647058823529412,2.148871112659745,17,
absence,3.2,1.398411797560202,10,
absent,2.230769230769231,1.2351684199496948,13,
absently,2.7,1.4944341180973264,10,
absinthe,2.5,1.4337208778404378,10,
absolute,3.1,2.0248456731316584,10,
absolutely,4.8,1.4757295747452437,10,
absolution,3.2,1.7511900715418265,10,
absolutism,3.0,1.8856180831641267,10,
absolve,2.8461538461538463,1.4632243987255136,13,
absorb,4.7,1.888562063228706,10,
absorbent,4.454545454545454,1.9679246105293955,11,
abstinence,3.9,2.4698178070456938,10,
abstract,3.2,1.398411797560202,10,
abstracted,2.8,1.8737959096740264,10,
abstraction,2.7,2.057506581601462,10,
abstractionism,3.6,2.3190036174568114,10,
abstractive,3.4375,2.032035104683644,16,
absurd,4.0,2.0,13,
absurdity,3.4444444444444446,2.5055493963954847,9,
abundance,4.4,1.7126976771553504,10,
abundant,3.2,1.5491933384829668,10,
abuse,2.7,1.766981104093143,10,
abusive,4.5,2.3213980461973533,10,
abut,2.6,1.429840705968481,10,
abysmal,3.3,1.8287822299126937,10,
abyss,4.9,1.728840330651992,10,
academic,2.7,1.766981104093143,10,
academy,2.5454545454545454,1.572490786213793,11,
accelerate,4.4,1.577621275493231,10,
accent,3.363636363636364,1.6292775867068985,11,
accept,3.6,2.5473297566057065,10,
acceptable,3.0,2.10818510677892,10,
acceptance,2.7,1.4181364924121764,10,
access,3.2,1.4757295747452437,10,
accessible,4.3,1.766981104093143,10,
accessory,3.9,2.330951164939612,10,
accident,3.7,1.766981104093143,10,
accidental,3.0,1.9436506316151,10,
acclaim,2.3,1.3374935098492586,10,
acclimate,3.75,1.164964745021435,8,
accommodate,2.7,1.70293863659264,10,
accommodating,2.4545454545454546,1.3684762594679063,11,
accommodation,3.090909090909091,1.9211738835693897,11,
accommodative,3.0,1.563471919941143,10,
accompany,4.1,1.7919573407620817,10,
accomplice,2.6,2.0110804171997807,10,
accomplish,3.6,2.065591117977289,10,
accomplished,3.7,2.1628170930011112,10,
accomplishment,3.4545454545454546,2.46429041972071,11,
accord,2.1,1.100504934614612,10,
accordance,2.090909090909091,0.9438798074485388,11,
accordant,2.5,2.1213203435596424,10,
according,2.6,1.429840705968481,10,
accordingly,2.75,1.288057028664069,12,
accordion,3.909090909090909,1.9725387425622571,11,
accordionist,2.0,1.247219128924647,10,
account,3.363636363636364,1.5666989036012806,11,
accountability,3.0,2.0,10,
accountable,3.1818181818181817,1.7215215257545762,11,
accountancy,2.8,1.8737959096740264,10,
accountant,3.8181818181818175,1.7215215257545762,11,
accounting,2.8181818181818183,1.5374122295716148,11,
accrue,3.2666666666666666,1.7511900715418265,15,
accumulate,3.2,1.8135294011647256,10,
accuracy,3.7,1.2516655570345725,10,
accurate,3.1,2.330951164939612,10,
accursed,2.909090909090909,1.9725387425622571,11,
accusation,3.25,1.9598237397554636,12,
accusative,2.9166666666666665,1.831955405041456,12,
accuse,3.875,1.927865832122834,16,
accused,2.923076923076923,1.4411533842457842,13,
accustom,2.8,1.932183566158592,10,
ace,3.9,1.5951314818673863,10,
acetify,3.363636363636364,1.9116865471476892,11,
ache,5.8,1.0327955589886444,10,
achieve,2.636363636363636,1.9632996344280853,11,
achievement,3.5454545454545454,2.0670576365276494,11,
aching,5.2,1.1352924243950937,10,
achy,6.0,1.044465935734187,12,
acid,4.3,2.5841396591085743,10,
acidic,5.1,1.3703203194062976,10,
acidify,4.230769230769231,1.9644272343292228,13,
acidity,4.545454545454546,1.572490786213793,11,
acknowledge,2.6666666666666665,2.015094553763188,12,
acknowledged,2.7,1.3374935098492586,10,
acknowledgment,3.4,2.4129281427805145,10,
acne,2.7,1.946506842754191,10,
acorn,3.0,1.4907119849998598,10,
acoustic,4.3,1.946506842754191,10,
acoustics,2.9,1.3703203194062976,10,
acquaint,2.272727272727273,1.7939291563999449,11,
acquaintance,1.7,0.6749485577105528,10,
acquire,3.6,1.9550504398153572,10,
acquisitive,3.7,2.1628170930011112,10,
acquit,2.909090909090909,1.2210278829367869,11,
acre,3.1818181818181817,1.7215215257545762,11,
acrid,3.9,1.9692073983655909,10,
acrobat,4.727272727272728,1.6787441193290351,11,
acrobatic,4.2,1.7511900715418265,10,
acrobatics,4.3,1.888562063228706,10,
acronym,2.727272727272727,2.2401298663653004,11,
across,3.7,1.8287822299126937,10,
acrylic,3.1,2.183269719175042,10,
act,3.0,2.0548046676563256,10,
acting,3.5454545454545454,1.6348477827391985,11,
action,4.4,1.837873166945363,10,
active,4.454545454545454,2.114882330704777,11,
activism,3.0,1.61245154965971,11,
activist,4.5,2.3687784005919825,10,
activity,3.6,1.429840705968481,10,
actor,4.076923076923077,2.139374459257443,13,
actress,3.8181818181818175,2.1825756260978366,11,
actual,2.4,1.07496769977314,10,
actuality,3.25,1.6583123951777,12,
actualization,2.8,1.6865480854231356,10,
actualize,3.357142857142857,1.864945569720998,14,
actually,3.2,1.8135294011647256,10,
acupuncture,3.1,2.5582111805799856,10,
acupuncturist,3.0,1.699673171197595,10,
acute,3.8,2.043961295567452,10,
ad,3.692307692307693,2.3939025107069902,13,
adage,3.1818181818181817,1.8877596148970777,11,
adamant,3.0,1.699673171197595,10,
adapt,3.4,1.837873166945363,10,
adaptable,4.7,1.636391694484477,10,
adaptation,2.7,1.3374935098492586,10,
adapter,3.1818181818181817,1.7215215257545762,11,
add,4.1,2.0248456731316584,10,
addict,2.0,1.558387444947959,15,
addicted,3.2,2.043961295567452,10,
addiction,4.4,2.1186998109427604,10,
addictive,4.4,1.8973665961010275,10,
addition,3.727272727272727,1.7939291563999449,11,
additive,4.454545454545454,1.8090680674665816,11,
address,3.0,1.563471919941143,10,
adept,3.083333333333333,1.5050420310248864,12,
adequacy,2.1666666666666665,1.3371158468430429,12,
adequate,2.8,1.1352924243950937,10,
adhere,3.8,1.932183566158592,10,
adherence,3.5,2.1213203435596424,10,
adhesive,2.7,2.213594362117865,10,
adjective,2.1,1.1972189997378648,10,
adjoin,3.6666666666666665,2.1461734799546397,12,
adjust,2.8,1.932183566158592,10,
adjustable,3.2,1.6193277068654826,10,
adjustment,3.3,1.4944341180973264,10,
administer,4.0,1.5491933384829668,11,
administrable,2.727272727272727,1.9021518914592013,11,
administration,3.1538461538461537,2.034951016861497,13,
admirable,4.3,1.766981104093143,10,
admiral,2.6,1.3498971154211057,10,
admiration,3.5454545454545454,1.8090680674665816,11,
admire,4.0,2.0,11,
admiring,2.4,1.3498971154211057,10,
admissible,2.4,1.07496769977314,10,
admission,3.0,1.8856180831641267,10,
admit,3.5,2.068278940998476,10,
admittance,3.1,1.449137674618944,10,
admittedly,3.090909090909091,1.6403990645294488,11,
admonish,3.6,1.7126976771553504,10,
adolescence,2.3,1.8287822299126937,10,
adolescent,2.9,1.728840330651992,10,
adopt,3.090909090909091,1.3751033019046572,11,
adoptable,3.5,1.509230856356236,10,
adoption,2.9,1.728840330651992,10,
adoptive,2.9,1.5951314818673863,10,
adorable,3.928571428571429,2.302650169304448,14,
adoration,3.3,2.0027758514399734,10,
adore,3.5,1.8408935028645437,10,
adorn,2.9,1.728840330651992,10,
adrenaline,3.4,2.063284482843521,15,
adult,2.6,1.837873166945363,10,
adulterer,3.272727272727273,2.3276988246295565,11,
adulterous,3.636363636363636,2.062654952856986,11,
adultery,3.2,2.201009869229224,10,
advance,4.235294117647059,1.7863864281247313,17,
advanced,2.727272727272727,1.7372915179041823,11,
advancement,3.4,2.6749870196985173,10,
advantage,3.909090909090909,1.868397465987655,11,
advantageous,3.8,2.043961295567452,10,
advent,2.636363636363636,1.2862913567871994,11,
adventure,3.909090909090909,2.21153998175685,11,
adventurer,5.090909090909091,1.2210278829367869,11,
adventuresome,3.6,1.837873166945363,10,
adventurous,3.8333333333333335,2.167249338901664,12,
adverb,2.4,1.6465452046971292,10,
adversary,3.6,1.3498971154211057,10,
adverse,2.8,1.8737959096740264,10,
adversity,2.727272727272727,1.954016841836789,11,
advertise,2.363636363636364,1.2862913567871994,11,
advertisement,4.090909090909091,2.21153998175685,11,
advice,4.1,1.1972189997378648,10,
advisable,3.4,2.065591117977289,10,
advise,2.8181818181818183,1.9908883353006928,11,
advised,3.909090909090909,1.9211738835693897,11,
advisedly,2.7,1.888562063228706,10,
adviser,3.9,1.5951314818673863,10,
advisory,2.7,1.5670212364724212,10,
aerial,3.3076923076923075,2.0970064133034736,13,
aerobic,4.0,1.247219128924647,10,
aerosol,3.7,1.70293863659264,10,
aesthetical,3.9,1.5238839267549948,10,
aesthetically,2.9,2.1317702607092643,10,
aestheticism,3.3,1.8287822299126937,10,
affable,3.4166666666666665,1.5050420310248864,12,
affair,2.7,1.4944341180973264,10,
affect,3.4,1.837873166945363,10,
affecting,3.25,1.864744681524183,12,
affection,3.1,2.0789954839350235,10,
affectionate,3.5384615384615383,1.8980421761815789,13,
affective,3.5454545454545454,2.621588692515909,11,
affiliate,2.6923076923076925,1.8432134703923733,13,
affirmation,3.2,2.0976176963403037,10,
afflict,2.727272727272727,2.2401298663653004,11,
affliction,3.636363636363636,1.9116865471476892,11,
affluent,3.8461538461538463,1.5191090506254998,13,
afford,3.1666666666666665,1.8504708655481243,12,
affordable,4.2,2.14993539954628,10,
affront,2.2,1.3165611772087666,10,
afloat,4.363636363636363,1.689540012709215,11,
afore,2.4545454545454546,1.5075567228888185,11,
afraid,3.6,2.270584848790187,10,
African,4.7,2.6687491868330797,10,
after,2.8,1.7511900715418265,10,
afterbirth,4.454545454545454,2.1616492020508957,11,
afterlife,5.1,1.728840330651992,10,
aftermath,3.117647058823529,1.8331105033922688,17,
afternoon,3.6,2.5473297566057065,10,
aftershave,4.7,1.888562063228706,10,
aftertaste,4.1,1.9692073983655909,10,
again,1.8461538461538465,0.9870962335856492,13,
against,3.0,2.160246899469287,10,
age,3.3,2.057506581601462,10,
ageless,3.5,2.6352313834736494,10,
agency,3.1,1.5951314818673863,10,
agenda,2.5,1.8408935028645437,10,
agent,3.3,1.4181364924121764,10,
agglomerate,2.769230769230769,2.006400016357911,13,
aggravate,4.2,2.14993539954628,10,
aggravation,4.3,1.5670212364724212,10,
aggregate,1.9,0.7378647873726218,10,
aggression,3.3,1.766981104093143,10,
aggressive,3.9166666666666665,1.97522534195852,12,
aggressor,4.1,1.5951314818673863,10,
aggrieve,2.9,1.9692073983655909,10,
aggrieved,2.9,1.286683937707919,10,
agile,3.909090909090909,2.0225995873897262,11,
agility,3.0,1.563471919941143,10,
agitate,3.636363636363636,1.9632996344280853,11,
agitation,3.7,1.946506842754191,10,
agnostic,4.2,2.14993539954628,10,
ago,2.9,2.183269719175042,10,
agonistic,3.2,1.4757295747452437,10,
agonize,4.4,1.429840705968481,10,
agonizing,4.1,1.7919573407620817,10,
agony,3.3,1.5670212364724212,10,
agree,3.8181818181818175,2.315952582337636,11,
agreeable,4.1,2.183269719175042,10,
agreed,3.6,2.0110804171997807,10,
agreement,4.090909090909091,1.9211738835693897,11,
agriculture,3.6,2.1705094128132942,10,
ahead,4.083333333333333,2.1933093855190746,12,
ahem,6.0,1.772810520855837,15,
aid,4.454545454545454,1.6348477827391985,11,
aide,3.4,1.6465452046971292,10,
ailing,2.909090909090909,1.6403990645294488,11,
ailment,4.727272727272728,1.618079669911781,11,
aim,3.857142857142857,1.8752289237539816,14,
aimless,3.0,2.10818510677892,10,
air,3.3,2.406010991015812,10,
airborne,3.8181818181818175,2.1362669223756576,11,
aircraft,3.9,2.5582111805799856,10,
airfield,3.588235294117647,2.265469695488437,17,
airflow,3.8,2.3944379994757297,10,
airlift,4.454545454545454,1.916436086262016,11,
airline,3.1,2.330951164939612,10,
airplane,3.3,2.0027758514399734,10,
airport,4.3,2.057506581601462,10,
airstrip,3.727272727272727,2.2401298663653004,11,
airway,4.6,1.6465452046971292,10,
aisle,3.272727272727273,1.6787441193290351,11,
alarm,4.6,1.429840705968481,10,
alarming,5.1,2.0789954839350235,10,
alas,2.2,1.2292725943057183,10,
albeit,4.0,1.8257418583505536,10,
albino,3.363636363636364,2.1105794120443453,11,
album,2.1,1.3703203194062976,10,
alcohol,3.090909090909091,1.5782614139961386,11,
alcoholic,3.5,1.5811388300841898,10,
alcoholism,4.4,2.5473297566057065,10,
alcove,4.4,1.8973665961010275,10,
ale,2.6,1.577621275493231,10,
alert,4.230769230769231,1.589226549501683,13,
alfalfa,3.2,1.8135294011647256,10,
algae,1.9,1.286683937707919,10,
algebra,2.6,1.776388345929897,10,
alias,2.8,1.6865480854231356,10,
alien,3.9,2.1317702607092643,10,
alienable,3.4545454545454546,2.018099916438052,11,
alienate,4.2,1.7511900715418265,10,
alienation,3.4,2.1705094128132942,10,
align,4.3,2.0027758514399734,10,
alike,4.090909090909091,2.0714509627092528,11,
alive,3.7,1.946506842754191,10,
alkaline,2.4,1.6465452046971292,10,
all,3.4,2.3664319132398464,10,
allegation,2.5454545454545454,1.8090680674665816,11,
allege,2.888888888888889,1.536590742882148,9,
alleged,2.5454545454545454,1.3684762594679063,11,
allegedly,2.6,1.837873166945363,10,
allegiance,2.727272727272727,1.009049958219026,11,
allegorical,2.1,1.1972189997378648,10,
allegory,1.9090909090909087,0.8312094145936335,11,
allergic,3.1,2.2335820757001272,10,
allergy,2.636363636363636,1.5015143870590966,11,
alleviate,3.1,1.9692073983655909,10,
alley,3.363636363636364,2.248231628312673,11,
alliance,3.3,1.888562063228706,10,
allied,3.4,1.776388345929897,10,
allies,3.7,1.888562063228706,10,
alligator,3.5454545454545454,1.8090680674665816,11,
allocable,2.2,1.7511900715418265,10,
allocate,3.333333333333333,2.015094553763188,12,
allow,4.1,2.2335820757001272,10,
allowable,3.8,1.6193277068654826,10,
allowance,3.8,2.043961295567452,10,
allude,3.727272727272727,1.8488325554743508,11,
allure,3.2,1.6193277068654826,10,
alluring,4.1,1.728840330651992,10,
allusion,4.6,1.776388345929897,10,
allusive,2.8,1.8135294011647256,10,
ally,3.9,1.911950719959998,10,
almighty,4.909090909090909,1.9725387425622571,11,
almond,3.083333333333333,2.108783937953269,12,
almost,3.3076923076923075,2.0568833780186058,13,
aloe,4.3,2.359378449224852,10,
aloha,4.2,2.14993539954628,10,
alone,3.3,1.888562063228706,10,
along,2.636363636363636,2.062654952856986,11,
aloof,4.8,1.1352924243950937,10,
aloud,4.5,1.509230856356236,10,
alpaca,3.5454545454545454,2.2074254852038093,11,
alpha,4.454545454545454,2.423371055519,11,
alphabet,2.8,2.3944379994757297,10,
alphabetical,3.0625,2.1437894797142123,16,
already,3.083333333333333,1.781640374554423,12,
also,3.2,1.6193277068654826,10,
altar,2.5,1.6499158227686108,10,
alter,2.9,1.9692073983655909,10,
alteration,2.7,1.3374935098492586,10,
altercation,3.7,1.8287822299126937,10,
alternate,3.9166666666666665,1.781640374554423,12,
alternative,4.2727272727272725,2.2843339988236875,11,
although,2.9,1.728840330651992,10,
altitude,3.1,1.728840330651992,10,
altruism,2.333333333333333,1.6696942198734437,12,
altruistic,2.8,2.043961295567452,10,
aluminum,3.5,2.068278940998476,10,
always,2.6153846153846154,1.894661866862684,13,
am,2.230769230769231,1.8776690404970269,13,
amaretto,2.0,1.61245154965971,11,
amass,3.0,2.0,10,
amateur,2.25,1.6583123951777,12,
amateurish,2.8,2.043961295567452,10,
amateurism,2.090909090909091,1.8140862964338524,11,
amaze,3.5,1.7837651700316894,12,
amazed,3.9,2.1317702607092643,10,
amazement,3.0,1.4907119849998598,10,
amazing,4.545454545454546,2.1616492020508957,11,
ambassador,3.4,1.6465452046971292,10,
amber,3.4545454545454546,2.2074254852038093,11,
ambience,3.7,2.057506581601462,10,
ambient,3.4285714285714284,1.398586413506136,14,
ambiguity,3.3,1.8287822299126937,10,
ambiguous,2.3,1.5670212364724212,10,
ambition,3.363636363636364,1.6292775867068985,11,
ambitious,3.2,1.8737959096740264,10,
amble,2.7,1.946506842754191,10,
ambulance,2.3,1.1595018087284057,10,
ambush,4.2727272727272725,1.2720777563426766,11,
