word,mean,std,n
abattoir,6.76,0.427,25
abbey,5.177,1.339,34
abbreviate,5.543,1.13,35
abdicate,6.233,0.844,30
abdication,6.407,0.913,27
abdomen,5.457,1.179,35
abdominal,5.706,1.446,34
abduct,5.03,1.218,33
abducted,5.29,1.3,31
abduction,5.114,1.389,35
aberration,6.414,1.067,29
abide,5.697,1.267,33
ability,4.061,1.278,33
able,3.588,1.24,34
abode,6.226,0.906,31
abortion,6.118,0.993,34
abroad,3.857,1.476,35
abrupt,5.371,1.289,35
absorb,4.688,1.044,32
abstract,5.829,1.383,35
absurd,5.281,1.231,32
absurdly,5.455,1.104,33
abundance,6.114,0.949,35
abundant,6.143,0.93,35
abuse,5.177,1.271,34
abuser,5.657,1.013,35
abyss,6.182,0.869,33
academic,4.939,1.278,33
accelerate,5.152,1.158,33
accent,4.059,1.136,34
accept,4.235,1.031,34
acceptance,4.8,1.283,35
access,4.515,1.234,33
accident,2.882,1.345,34
accidental,3.324,1.277,34
accordion,4.265,1.379,34
accountant,5.313,1.379,32
accuse,4.563,1.144,32
accused,4.6,1.074,35
ace,3.912,1.337,34
ache,3.781,1.243,32
aches,4.0,1.369,32
achieve,4.515,1.077,33
achieved,4.571,1.294,35
achievement,4.455,1.208,33
acorn,3.061,1.099,33
acquire,5.829,0.91,35
acrobat,4.177,1.07,34
activate,4.576,1.016,33
active,3.581,1.071,31
activity,3.4,1.02,35
actor,3.371,0.865,35
actress,3.412,1.088,34
actual,3.941,1.259,34
actually,3.824,1.248,34
acute,5.765,1.139,34
adage,6.136,1.254,22
adapt,4.743,1.13,35
add,2.353,0.836,34
addict,5.4,1.02,35
addicted,4.969,1.237,32
addition,3.371,1.044,35
address,3.371,1.123,35
address (postal),3.059,1.056,34
address (speak to),4.8,1.09,35
adequate,5.571,1.42,35
adjective,4.182,0.968,33
adjust,4.294,1.125,34
admiral,4.906,1.355,32
admire,4.667,1.172,33
admired,4.657,1.308,35
adopt,4.25,0.968,32
adorable,4.281,1.586,32
adore,4.219,1.192,32
adult,2.706,0.824,34
adultery,6.147,1.033,34
adults,2.314,0.919,35
advanced,4.882,1.345,34
advantage,4.727,0.993,33
adventure,2.941,1.056,34
adverb,4.647,0.967,34
adverse,5.765,1.395,34
adversity,6.226,0.941,31
advice,4.657,1.013,35
advise,4.571,1.271,35
advisor,5.441,1.193,34
advisors,5.677,1.228,31
aeroplane,2.343,1.12,35
afar,5.118,1.132,34
affair,5.618,1.0,34
affect,4.485,1.209,33
affection,4.706,1.318,34
affectionate,4.97,1.403,33
afford,4.314,1.43,35
affordable,4.771,1.311,35
afraid,2.6,0.962,35
after,2.257,0.805,35
afterlife,4.697,1.337,33
age,1.971,0.747,34
aged,4.371,1.79,35
agent,4.788,1.273,66
aggression,5.152,1.077,33
aggressive,4.636,1.123,33
