word,mean,std,n
abattoir,5.455,1.9,22
abbey,5.906,1.508,32
abbreviate,3.286,1.733,35
abdicate,3.367,1.853,30
abdication,3.292,1.62,24
abdomen,6.606,0.649,33
abdominal,5.735,1.12,34
abduct,4.441,1.718,34
abducted,4.813,1.285,32
abduction,4.912,1.805,34
aberration,3.208,1.802,24
abide,2.485,1.131,33
ability,2.941,1.305,34
able,3.182,1.766,33
abode,4.464,2.096,28
abortion,5.364,1.738,33
abroad,4.559,1.459,34
abrupt,2.829,1.298,35
absorb,3.188,1.356,32
abstract,1.714,1.578,35
absurd,2.065,0.878,31
absurdly,2.515,1.306,33
abundance,3.229,1.774,35
abundant,3.0,1.435,34
abuse,3.419,1.476,31
abuser,4.667,1.735,33
abyss,3.177,1.74,34
academic,4.03,1.566,33
accelerate,4.5,1.685,34
accent,3.6,1.694,35
accept,3.313,1.722,32
acceptance,2.794,1.43,34
access,3.455,1.616,33
accident,4.343,1.567,35
accidental,2.941,1.282,34
accordion,6.5,0.947,34
accountant,5.813,1.014,32
accuse,2.344,0.888,32
accused,3.088,1.463,34
ace,3.219,1.536,32
ache,3.515,1.52,33
aches,3.813,1.685,32
achieve,2.879,1.43,33
achieved,2.5,1.266,34
achievement,2.879,1.387,33
acorn,6.724,0.581,29
acquire,3.059,1.434,34
acrobat,5.875,1.111,32
activate,3.677,1.761,34
active,3.75,1.323,32
activity,3.97,1.167,33
actor,5.7,1.187,30
actress,6.031,1.311,32
actual,3.118,1.827,34
actually,2.677,1.156,34
acute,3.235,1.61,34
adage,3.588,1.458,17
adapt,3.114,1.282,35
add,4.286,1.485,35
addict,4.4,1.694,35
addicted,3.515,1.617,33
addition,3.677,1.827,34
address,5.059,1.327,34
address (postal),5.581,1.454,31
address (speak to),4.114,1.652,35
adequate,2.5,1.399,34
adjective,3.594,1.765,32
adjust,3.094,1.378,32
admiral,5.706,1.486,34
admire,2.71,1.507,31
admired,2.882,1.388,34
adopt,3.645,1.449,31
adorable,2.258,0.717,31
adore,2.344,1.019,32
adult,4.933,1.413,30
adultery,4.029,1.689,34
adults,5.457,1.662,35
advanced,2.765,1.214,34
advantage,2.879,1.409,33
adventure,2.912,1.541,34
adverb,3.314,1.686,35
adverse,2.455,1.519,33
adversity,2.484,1.103,31
advice,2.353,1.185,34
advise,3.697,1.507,33
advisor,5.353,1.326,34
advisors,4.71,1.708,31
aeroplane,6.706,0.62,34
afar,3.0,1.566,31
affair,3.394,1.434,33
affect,2.412,1.166,34
affection,3.118,1.952,34
affectionate,3.471,1.819,34
afford,3.576,1.688,33
affordable,3.2,1.369,35
afraid,2.686,1.368,35
after,3.314,1.489,35
afterlife,2.303,1.642,33
age,3.971,1.871,34
aged,3.441,1.594,34
agent,4.672,1.3,64
aggression,3.548,1.682,31
aggressive,3.03,1.114,33
agile,3.606,1.669,33
agility,3.515,1.617,33
agony,3.152,1.76,33
agree,3.118,1.641,34
agreement,3.171,1.521,35
aid,4.364,1.534,33
aim,2.677,1.509,34
aim (objective),3.294,1.84,34
aim (target),4.677,1.604,34
air,4.25,1.458,32
airplane,6.706,0.787,34
airport,6.5,0.885,30
aisle,5.719,1.038,32
albatross,6.453,1.172,64
album,5.936,1.105,31
alcohol,6.412,0.809,34
alcoholic,4.5,1.595,34
alert,3.182,1.403,33
algebra,4.394,1.969,33
alien,4.324,2.068,34
alimony,4.391,1.763,23
alive,4.333,2.156,33
all,3.313,1.878,32
allergy,4.882,1.451,34
alley,6.125,1.293,32
alligator,6.546,1.047,33
allow,2.971,1.485,34
allowed,2.971,1.404,35
allure,2.581,1.409,31
aloft,3.379,1.424,29
alone,3.371,1.725,35
aloof,2.138,1.008,29
aloud,3.8,1.67,35
altar,5.875,1.218,32
alter,3.906,2.112,32
altitude,4.03,1.547,33
amateur,3.229,1.725,35
amaze,2.353,0.936,34
amazing,2.781,1.596,32
ambassador,5.267,1.263,30
amber,5.188,1.648,32
ambition,2.294,1.563,34
ambulance,6.771,0.42,35
ammunition,5.97,0.87,33
amount,3.912,1.738,34
amphibian,6.364,0.731,33
amplifier,5.563,1.144,32
amplify,3.879,1.771,33
amputate,5.177,1.706,34
amuse,2.879,1.122,33
amusement,3.771,1.514,35
amusing,2.677,1.089,31
analogue,3.914,1.461,35
analyst,4.714,1.631,35
anchor,6.471,0.848,34
ancient,3.788,1.754,33
anecdote,3.265,2.034,34
angel,3.382,2.262,34
anger,3.647,1.813,34
angle,4.212,1.683,33
angry,3.613,1.538,31
anguish,2.559,1.117,34
animal,6.424,1.207,33
animals,6.406,1.169,32
animosity,2.219,1.34,32
ankle,6.733,0.629,30
annoy,2.5,0.978,34
annoyance,2.971,1.505,34
annoying,3.324,1.744,34
answer,3.941,1.798,34
ant,6.629,0.865,35
anteater,6.742,0.506,31
antelope,6.4,1.101,35
anthem,4.576,1.326,33
anthropology,2.968,1.713,31
anticipation,2.229,1.017,35
anus,5.906,1.234,32
anxiety,2.618,1.261,34
anxious,2.657,1.492,35
apathy,2.0,0.984,31
ape,6.576,0.854,33
apex,4.25,1.993,28
apologize,3.531,1.854,32
apology,3.059,1.392,34
appalling,2.412,1.061,34
appear,2.75,1.146,32
appearance,2.546,1.157,33
appeared,2.7,1.215,30
applause,5.6,1.126,35
apple,6.824,0.452,34
Apple (brand),5.943,1.264,35
apple (fruit),6.765,0.597,34
appliance,5.353,1.453,34
applied,2.727,1.483,33
apply,3.177,1.774,34
appoint,3.636,1.494,33
appointment,4.886,1.635,35
appreciate,3.344,1.265,32
approval,3.314,1.368,35
approve,3.097,1.489,31
apricot,6.5,1.091,34
apron,6.452,0.711,31
aptitude,2.818,1.29,33
arch,5.375,1.536,32
archaeology,4.829,1.665,35
archer,6.25,0.901,32
archery,5.706,1.249,34
architect,6.0,1.095,35
archive,5.429,1.44,35
argue,4.086,1.61,35
argument,3.788,1.387,33
arise,3.143,1.624,35
aristocracy,4.088,1.991,34
aristocratic,4.3,1.716,30
arm,6.727,0.445,33
arm (limb),6.694,0.7,36
arm (weapon),5.758,1.349,33
armadillo,6.559,0.914,34
armed,4.746,1.69,63
armour,6.273,0.827,33
armoury,5.788,1.225,33
arms,6.647,0.478,34
arms (limbs),6.743,0.498,35
arms (weapons),6.235,0.972,34
army,6.103,1.017,68
aroma,3.514,1.746,35
arouse,2.879,1.451,33
aroused,2.677,1.49,34
array,2.97,1.623,33
arrest,4.765,1.535,34
arrested,4.807,1.255,31
arrive,4.177,1.581,34
arrogant,3.25,1.275,32
arrow,6.412,0.878,34
arrows,6.033,0.983,30
arse,6.0,1.206,33
arsehole,4.794,1.795,34
arson,4.714,1.578,35
art,4.382,2.156,34
artist,5.546,1.707,33
arts,3.543,1.762,35
ascend,3.8,1.564,35
ascent,4.029,1.444,35
ashamed,2.727,1.081,33
ashes,5.686,1.6,35
aspect,2.6,1.438,35
aspirin,5.903,1.467,31
ass,6.382,0.908,34
ass (donkey),6.813,0.39,32
ass (insult),2.807,1.378,31
assassin,5.697,1.66,33
assassinate,4.971,1.74,34
assault,4.118,1.875,34
asshole,4.647,1.984,34
assist,3.441,1.376,34
assistant,5.4,1.377,35
assuring,2.29,0.957,31
asteroid,6.029,1.2,34
asthma,5.457,1.25,35
astonish,2.6,1.176,35
astonished,2.5,1.243,34
astronaut,6.424,1.045,33
astronomer,5.333,1.274,30
astronomy,4.394,1.455,33
athletic,4.546,1.777,33
athletics,5.412,1.593,34
atmosphere,3.645,2.025,31
atom,5.485,1.579,33
atomic,4.576,2.016,33
atoms,5.364,1.839,33
atrocious,2.212,1.148,33
atrocity,3.194,1.654,31
attack,4.441,1.752,34
attacker,5.697,1.243,33
attempt,3.629,1.587,35
attendant,5.829,1.363,35
attention,3.229,1.375,35
attic,6.4,0.712,30
attitude,2.788,1.343,33
attract,3.029,1.502,35
attraction,2.629,1.569,35
attractive,2.875,1.916,32
attribute,2.735,1.4,34
auction,5.314,1.652,35
auctioneer,5.7,1.13,30
audience,5.697,1.141,33
auditorium,6.455,0.891,33
aunt,5.677,1.45,34
authentic,3.182,1.507,33
author,5.576,1.181,33
autopsy,5.353,1.57,34
autumn,4.686,1.817,35
avalanche,6.033,0.836,30
avenge,2.455,1.258,33
avenue,5.375,1.139,32
award,5.618,1.435,34
awarded,3.156,1.228,32
aware,2.629,1.071,35
away,3.086,1.538,35
awe,2.529,1.538,34
awesome,2.061,0.983,33
awful,2.206,1.255,34
awkward,2.844,1.277,32
axe,6.412,1.061,34
axle,5.929,1.438,28
baboon,6.571,0.838,35
baby,6.607,0.673,28
background,3.485,1.579,33
bacon,6.559,0.914,34
bacteria,5.618,1.351,34
bad,2.771,1.943,35
badge,6.529,0.606,34
badger,6.667,0.876,33
bag,6.607,0.618,28
baggage,5.621,1.271,29
bail,3.912,1.579,34
bait,4.807,1.446,31
bake,5.171,1.298,35
baker,6.286,1.03,35
bald,5.879,1.297,33
ball,6.6,0.712,30
ball (dance),5.543,1.645,35
ball (sphere),6.029,1.502,35
balloon,6.031,1.38,32
ballroom,6.559,0.881,34
bamboo,6.514,0.806,35
ban,3.576,1.724,33
banal,2.632,1.179,19
banana,6.6,0.835,35
band,5.781,1.053,32
band (music),5.559,1.479,34
band (ribbon),6.364,0.81,33
bandage,5.971,1.276,35
bandit,5.226,1.408,31
bandits,5.353,1.234,34
bang,4.353,1.764,34
banjo,6.486,0.77,35
bank,5.714,1.343,35
bank (money),6.152,1.258,33
bank (rely),3.152,1.725,33
bank (river),5.788,1.472,33
banker,6.235,0.842,34
bankrupt,4.606,1.65,33
banks,5.571,1.517,35
banks (money),5.938,1.519,32
banks (river),5.906,1.548,32
banner,5.967,1.14,30
bar,6.265,0.949,34
bar (legal),4.571,1.761,35
bar (metal),6.588,0.844,34
bar (musical),5.177,1.599,34
bar (pub),6.371,0.796,35
bare,3.938,1.435,32
barely,2.971,1.54,35
barge,5.688,1.59,32
barge (boat),6.486,1.025,35
barge (push),4.606,1.536,33
bark,4.941,1.781,34
bark (dog),5.057,1.53,35
bark (tree),6.063,1.321,32
barley,6.412,0.974,34
barn,6.546,0.7,33
barnacle,6.2,1.275,30
baroque,4.042,1.814,24
barrage,4.533,1.893,30
barrel,6.636,0.688,33
barrier,5.735,1.559,34
basement,5.971,1.15,34
basket,6.2,1.166,35
basketball,6.576,0.818,33
bass,5.0,1.799,34
bass (fish),6.171,1.32,35
bass (guitar),6.257,0.966,35
bassoon,6.667,0.609,27
bastard,4.281,1.94,32
bastards,3.303,1.784,33
bat,6.69,0.649,29
bat (animal),6.714,1.03,35
bat (club),6.152,1.5,33
bath,6.586,0.891,29
bathroom,6.686,0.622,35
battered,4.875,1.364,32
battery,6.406,0.931,32
battle,5.387,1.21,31
bayonet,6.033,1.516,30
bazooka,6.0,1.571,30
beach,6.516,0.666,31
bead,6.281,0.943,32
beagle,6.419,0.908,31
beak,6.441,1.063,34
beaker,6.394,1.043,33
bean,6.743,0.498,35
bear,6.483,1.072,60
beard,6.485,0.989,66
beast,4.646,1.621,65
beat,4.2,1.564,35
beat (hit),5.242,1.393,33
beat (mix),4.849,1.351,33
beat (rhythm),4.472,1.724,36
beaten,3.879,1.32,33
beautician,5.594,1.221,32
beautiful,2.515,1.743,33
beauty,2.727,1.728,33
beaver,6.793,0.483,29
become,2.188,1.21,32
bed,6.657,0.715,35
bee,6.844,0.441,32
beef,6.471,0.696,34
beehive,6.353,1.135,34
beer,6.629,0.897,35
beet,5.429,1.591,28
beetle,6.677,0.629,34
befall,2.625,1.023,32
beg,3.647,1.551,34
beggar,5.844,1.439,32
begin,3.0,1.213,34
beginning,3.152,1.579,33
behalf,2.706,1.466,34
behave,3.188,1.074,32
behaviour,3.143,1.676,35
behind,4.177,1.774,34
beige,4.273,1.863,33
belfry,5.438,1.171,16
belief,2.824,1.977,34
believe,2.258,1.191,31
bell,6.647,0.762,34
belly,6.0,1.031,32
belong,2.188,1.333,32
belt,6.621,0.552,29
bench,6.6,0.962,35
bend,4.6,1.357,35
beneficial,2.8,1.369,35
benefit,3.6,1.497,35
bereavement,3.364,1.685,33
berry,6.588,0.647,34
best,2.647,1.453,34
betray,2.742,1.759,31
betrayal,2.265,1.379,34
beverage,6.343,0.924,35
beware,2.406,1.296,32
bicycle,6.818,0.458,33
bid,3.485,1.559,33
bigot,4.031,1.96,32
bike,6.546,0.7,33
billion,4.088,1.915,34
binder,5.323,1.838,31
biology,5.182,1.359,33
bird,6.633,0.836,30
birth,5.849,1.158,33
birthday,5.057,1.672,35
biscuit,6.229,1.197,35
bishop,6.0,1.477,33
bison,6.214,1.264,28
bit,4.324,1.509,34
bit (bite),5.029,1.581,34
bit (horse bridal),6.0,1.564,27
bit (small amount),3.618,1.663,34
bitch,4.273,1.943,33
bitchy,2.667,1.385,33
bitter,3.0,1.572,34
bizarre,2.129,0.975,31
black,5.371,2.071,35
blackmail,3.588,1.801,34
blacksmith,6.455,0.988,33
blade,6.5,0.978,34
blame,2.543,1.61,35
bland,2.563,1.223,32
blank,3.914,1.962,35
blasphemy,2.546,1.373,33
blaze,5.059,1.552,34
blazes,4.452,1.643,31
bleak,2.429,1.379,35
blend,3.719,1.328,32
blender,6.533,0.67,30
bless,2.032,1.204,31
blessed,2.059,1.434,34
blessing,2.722,1.677,36
