word,mean,std,n
abattoir,2.382,1.799,34
abbey,3.324,1.81,34
abbreviate,5.121,1.838,33
abdicate,3.971,2.077,35
abdication,3.097,2.022,31
abdomen,4.636,1.738,33
abdominal,4.807,1.635,31
abduct,4.364,1.936,33
abducted,5.406,1.73,32
abduction,4.441,1.802,34
aberration,2.485,1.94,33
abide,4.226,1.679,31
ability,6.0,1.015,33
able,6.206,1.158,34
abode,3.303,1.766,33
abortion,4.938,1.784,32
abroad,6.03,1.141,33
abrupt,5.235,1.373,34
absorb,5.033,0.948,30
abstract,4.771,1.79,35
absurd,4.793,1.562,29
absurdly,4.25,1.969,32
abundance,4.559,1.63,34
abundant,5.094,1.739,32
abuse,5.303,1.359,33
abuser,4.441,1.752,34
abyss,3.242,1.907,33
academic,6.2,0.833,30
accelerate,6.091,1.334,33
accent,5.875,1.386,32
accept,6.194,1.06,31
acceptance,5.543,1.401,35
access,5.469,1.224,32
accident,6.235,0.909,34
accidental,5.906,1.1,32
accordion,3.794,1.43,34
accountant,4.655,1.917,29
accuse,5.035,1.45,29
accused,5.125,1.615,32
ace,4.393,1.698,28
ache,6.039,0.854,26
aches,5.655,1.153,29
achieve,5.75,1.022,28
achieved,6.029,1.2,34
achievement,6.2,1.137,30
acorn,4.484,1.916,31
acquire,5.121,1.387,33
acrobat,4.455,1.892,33
activate,5.515,1.48,33
active,6.484,0.757,31
activity,5.75,1.0,32
actor,6.065,1.435,31
actress,5.846,1.433,26
actual,6.242,0.889,33
actually,6.235,1.238,34
acute,4.182,1.946,33
adage,2.088,1.837,34
adapt,5.324,1.47,34
add,6.265,0.949,34
addict,5.273,1.523,33
addicted,5.727,1.523,33
addition,5.412,1.665,34
address,5.839,1.568,31
address (postal),6.094,1.128,32
address (speak to),4.857,1.71,35
adequate,5.281,1.772,32
adjective,5.613,1.287,31
adjust,5.897,1.241,29
admiral,3.969,1.896,32
admire,6.1,0.978,30
admired,5.571,1.154,35
adopt,4.867,1.586,30
adorable,5.63,1.024,27
adore,5.179,1.283,28
adult,6.552,0.674,29
adultery,5.0,1.688,33
adults,6.546,0.82,33
advanced,6.094,1.1,32
advantage,5.893,1.047,28
adventure,5.576,1.256,33
adverb,5.0,1.391,31
adverse,4.743,1.778,35
adversity,4.161,2.018,31
advice,6.094,1.308,32
advise,5.677,1.228,31
advisor,5.281,1.463,32
advisors,5.781,1.386,32
aeroplane,6.25,0.829,32
afar,4.125,1.965,32
affair,5.688,1.57,32
affect,5.559,1.355,34
affection,5.882,1.051,34
affectionate,6.121,1.094,33
afford,5.706,1.466,34
