word,mean,std,n
abattoir,5.391,1.17,23
abbey,3.303,1.193,33
abbreviate,3.971,0.954,34
abdicate,5.167,1.186,30
abdication,4.571,1.015,28
abdomen,4.6,1.02,35
abdominal,4.242,1.129,33
abduct,5.0,1.0,30
abducted,4.546,1.499,33
abduction,4.686,1.008,35
aberration,4.32,0.786,25
abide,4.147,1.115,34
ability,4.206,1.231,34
able,3.647,0.871,34
abode,3.567,1.023,30
abortion,2.618,1.237,34
abroad,3.882,0.582,34
abrupt,4.6,0.962,35
absorb,3.793,0.713,29
abstract,3.771,0.959,35
absurd,4.1,0.746,30
absurdly,4.0,1.206,33
abundance,3.6,0.932,35
abundant,3.882,1.323,34
abuse,5.061,1.347,33
abuser,5.571,1.05,35
abyss,4.424,1.371,33
academic,4.303,1.267,33
accelerate,4.882,1.182,34
accent,3.853,0.912,34
accept,3.273,0.93,33
acceptance,3.171,0.878,35
access,3.941,0.765,34
accident,4.114,0.747,35
accidental,3.939,1.099,33
accordion,4.147,0.912,34
accountant,4.9,1.076,30
accuse,4.167,0.898,30
accused,4.656,0.922,32
ace,4.433,1.116,30
ache,3.903,1.027,31
aches,3.867,0.957,30
achieve,4.032,0.897,31
achieved,4.029,1.341,35
achievement,3.906,1.1,32
acorn,3.714,0.7,28
acquire,4.161,0.846,31
acrobat,3.531,1.299,32
activate,4.156,1.228,32
active,4.156,1.093,32
activity,4.03,1.0,33
actor,5.588,1.216,34
actress,1.303,0.627,33
actual,4.118,1.157,34
actually,3.088,1.095,34
acute,3.618,0.971,34
adage,4.053,1.146,19
adapt,3.824,0.785,34
add,4.114,0.708,35
addict,4.886,1.063,35
addicted,4.969,0.984,32
addition,3.8,0.709,35
address,4.0,0.686,34
address (postal),4.0,0.612,32
address (speak to),3.824,0.954,34
adequate,4.056,1.246,36
adjective,3.727,0.93,33
adjust,3.882,0.9,34
admiral,5.97,0.937,33
admire,3.088,1.463,34
admired,3.324,1.49,34
adopt,2.786,0.86,28
adorable,2.3,0.936,30
adore,2.69,1.117,29
adult,4.156,0.905,32
adultery,4.324,1.408,34
adults,4.343,0.754,35
advanced,4.031,1.045,32
advantage,4.69,0.875,29
adventure,4.794,0.832,34
adverb,4.03,0.834,33
adverse,4.353,1.082,34
adversity,4.5,1.148,30
advice,3.0,1.095,35
advise,3.25,1.173,32
advisor,4.171,1.404,35
advisors,4.032,1.332,31
aeroplane,5.114,1.036,35
afar,3.75,0.901,32
affair,4.235,1.816,34
affect,3.618,1.0,34
affection,1.771,0.68,35
affectionate,2.147,1.088,34
afford,4.457,1.051,35
affordable,3.941,0.802,34
afraid,3.353,1.108,34
after,4.059,0.639,34
afterlife,3.879,0.807,33
age,3.914,1.079,35
aged,4.429,1.226,35
agent,4.836,0.995,61
aggression,5.969,0.81,32
aggressive,6.033,0.875,30
agile,3.303,1.467,33
agility,4.086,1.381,35
agony,4.063,1.298,32
agree,3.647,0.936,34
agreement,3.5,1.118,32
aid,3.71,1.083,31
aim,4.265,0.851,34
aim (objective),4.235,1.086,34
aim (target),4.743,1.104,35
air,3.621,0.887,29
airplane,5.091,1.264,33
airport,4.407,0.681,27
aisle,3.345,0.8,29
albatross,4.678,0.947,59
album,4.148,0.89,27
alcohol,4.576,0.818,33
alcoholic,5.229,1.173,35
alert,4.308,0.722,26
algebra,4.625,0.82,32
alien,4.857,1.175,35
alimony,4.154,1.634,26
alive,3.455,1.183,33
all,4.0,0.433,32
allergy,4.0,1.057,34
alley,4.424,0.653,33
alligator,4.971,1.581,34
allow,3.882,0.832,34
allowed,3.914,1.079,35
allure,2.879,1.32,33
aloft,3.897,0.803,29
alone,3.886,0.666,35
aloof,4.063,1.248,32
aloud,3.941,1.162,34
altar,4.107,1.448,28
alter,3.5,0.885,30
altitude,4.871,1.008,31
amateur,4.286,0.848,35
amaze,3.206,1.324,34
amazing,3.324,1.254,34
ambassador,5.258,0.949,31
amber,2.857,0.99,28
ambition,4.485,1.438,33
ambulance,4.556,0.896,36
ammunition,5.781,1.023,32
amount,4.125,0.927,32
amphibian,4.0,0.875,34
amplifier,4.552,0.894,29
amplify,4.485,1.131,33
amputate,4.818,0.796,33
amuse,3.853,0.974,34
amusement,3.629,1.098,35
amusing,4.088,0.981,34
analogue,4.382,0.728,34
analyst,4.484,1.012,31
anchor,5.343,1.013,35
ancient,4.303,1.243,33
anecdote,4.088,0.781,34
angel,1.758,0.78,33
anger,4.914,1.251,35
angle,4.3,0.936,30
angry,5.344,1.107,32
anguish,3.857,1.397,35
animal,3.97,0.937,33
animals,3.824,1.339,34
animosity,4.036,1.21,28
ankle,3.621,0.887,29
annoy,4.485,1.184,33
annoyance,4.4,1.335,35
annoying,4.242,1.074,33
answer,3.909,0.668,33
ant,4.206,0.932,34
anteater,4.594,0.785,32
antelope,3.743,1.295,35
anthem,4.455,1.131,33
anthropology,4.375,1.053,32
anticipation,3.257,1.078,35
anus,4.656,1.215,32
anxiety,3.147,1.167,34
anxious,3.056,0.78,36
apathy,3.308,1.408,26
ape,5.618,0.94,34
apex,4.103,1.213,29
apologize,3.333,1.005,33
apology,3.265,1.093,34
appalling,4.177,0.821,34
appear,3.759,0.678,29
appearance,2.938,0.966,32
appeared,3.75,0.829,28
applause,3.914,0.692,35
apple,3.424,0.954,33
Apple (brand),4.647,1.21,34
apple (fruit),3.212,0.946,33
appliance,4.4,1.2,35
applied,4.156,0.833,32
apply,4.029,0.654,35
appoint,4.265,1.093,34
appointment,3.625,1.111,32
appreciate,2.938,0.966,32
approval,3.343,1.17,35
approve,3.606,0.952,33
apricot,3.206,1.132,34
apron,2.0,0.981,27
aptitude,4.455,0.956,33
arch,4.143,0.742,28
archaeology,4.943,1.241,35
archer,5.177,0.89,34
archery,4.6,1.398,35
architect,5.143,0.96,35
archive,4.057,0.893,35
argue,4.206,1.41,34
argument,4.727,1.332,33
arise,3.8,0.888,35
aristocracy,4.061,1.922,33
aristocratic,4.688,1.53,32
arm,4.265,0.851,34
arm (limb),4.306,0.938,36
arm (weapon),5.909,1.138,33
armadillo,4.529,1.091,34
armed,5.892,0.93,65
armour,5.941,1.162,34
armoury,5.879,0.913,33
arms,4.912,1.095,34
arms (limbs),4.257,0.691,35
arms (weapons),5.912,1.197,34
army,6.328,0.83,64
aroma,2.75,1.173,32
arouse,4.0,1.344,31
aroused,4.229,1.64,35
array,3.636,1.202,33
arrest,5.364,1.068,33
arrested,5.455,0.891,33
arrive,3.514,1.204,35
arrogant,5.844,0.972,32
arrow,5.086,1.296,35
arrows,4.824,1.097,34
arse,5.235,1.733,34
arsehole,5.824,1.014,34
arson,5.706,0.824,34
art,2.971,1.175,34
artist,3.265,1.22,34
arts,3.0,0.756,35
ascend,4.029,1.055,35
ascent,4.088,1.039,34
ashamed,4.061,1.013,33
ashes,4.257,0.805,35
aspect,3.735,0.885,34
aspirin,3.677,0.962,34
ass,4.353,1.57,34
ass (donkey),5.457,1.155,35
ass (insult),5.455,1.208,33
assassin,5.882,0.932,34
assassinate,5.882,1.323,34
assault,5.364,1.068,33
asshole,5.943,1.068,35
assist,3.441,1.006,34
assistant,3.257,0.873,35
assuring,3.0,1.145,29
asteroid,5.212,0.977,33
asthma,4.177,0.706,34
astonish,3.758,0.954,33
astonished,3.471,1.218,34
astronaut,5.531,1.06,32
astronomer,5.188,1.014,32
astronomy,4.543,1.179,35
athletic,4.879,1.273,33
athletics,4.939,1.099,33
atmosphere,3.758,0.922,33
atom,4.829,1.134,35
atomic,5.0,1.279,33
atoms,4.706,0.956,34
atrocious,4.212,1.225,33
atrocity,4.546,1.281,33
attack,5.5,0.947,34
attacker,5.559,1.063,34
attempt,3.886,0.574,35
attendant,3.857,1.199,35
attention,3.412,1.263,34
attic,4.259,1.142,27
attitude,3.576,1.393,33
attract,2.857,1.073,35
attraction,2.667,1.428,33
attractive,2.485,1.306,33
attribute,3.686,1.115,35
auction,4.75,1.064,36
auctioneer,5.226,0.941,31
audience,4.121,1.2,33
auditorium,4.5,1.091,34
aunt,1.273,0.664,33
authentic,3.667,0.841,33
author,3.912,1.147,34
autopsy,4.5,0.814,34
autumn,3.324,1.049,34
avalanche,4.69,1.021,29
avenge,5.613,1.155,31
avenue,3.71,0.681,31
award,4.0,1.029,34
awarded,4.035,0.49,29
aware,3.353,0.967,34
away,3.938,0.998,32
awe,3.343,1.17,35
awesome,4.152,1.351,33
awful,4.486,0.806,35
awkward,4.121,1.122,33
axe,5.6,0.962,35
axle,5.033,0.948,30
baboon,5.486,1.052,35
baby,2.688,1.074,32
background,3.882,0.529,34
bacon,5.091,1.24,33
bacteria,4.206,0.832,34
bad,4.714,1.161,35
badge,4.765,1.059,34
badger,4.677,1.077,34
bag,2.813,1.13,32
baggage,3.839,0.846,31
bail,4.706,0.859,34
bait,4.379,0.925,29
bake,2.412,1.331,34
baker,4.6,1.377,35
bald,6.455,0.82,33
ball,5.179,0.71,28
ball (dance),2.029,0.845,35
ball (sphere),4.882,1.367,34
balloon,3.844,1.064,32
ballroom,2.571,1.077,35
bamboo,4.083,1.038,36
ban,4.563,0.899,32
banal,4.909,1.041,22
banana,4.029,0.664,34
band,4.813,1.102,32
band (music),4.941,0.873,34
