word,mean,std,n
abattoir,4.391,2.121,23
abbey,5.344,1.881,32
abbreviate,3.177,1.689,34
abdicate,2.516,1.521,31
abdication,2.571,1.294,28
abdomen,6.235,1.165,34
abdominal,5.03,1.527,33
abduct,4.265,1.651,34
abducted,4.212,1.871,33
abduction,4.8,1.802,35
aberration,2.84,1.994,25
abide,2.364,1.367,33
ability,2.515,1.258,33
able,3.057,1.53,35
abode,4.452,2.061,31
abortion,4.303,1.946,33
abroad,4.486,1.73,35
abrupt,2.706,1.425,34
absorb,3.576,1.724,33
abstract,2.171,1.464,35
absurd,2.375,1.556,32
absurdly,2.469,1.436,32
abundance,3.971,1.748,35
abundant,2.829,1.812,35
abuse,3.909,1.712,33
abuser,5.029,1.665,35
abyss,4.235,2.157,34
academic,4.258,1.646,31
accelerate,4.625,1.576,32
accent,3.618,2.029,34
accept,3.031,1.896,32
acceptance,2.559,1.117,34
access,3.25,1.173,32
accident,4.943,1.851,35
accidental,3.177,1.524,34
accordion,6.273,1.483,33
accountant,5.226,1.453,31
accuse,2.452,1.388,31
accused,3.382,1.609,34
ace,3.697,1.992,33
ache,3.063,1.819,32
aches,3.219,1.653,32
achieve,2.677,1.532,31
achieved,3.088,1.772,34
achievement,3.875,1.746,32
acorn,6.517,0.676,29
acquire,2.657,1.62,35
acrobat,6.032,0.822,31
activate,3.294,1.856,34
active,4.75,1.677,32
activity,4.677,1.181,34
actor,5.97,1.141,33
actress,6.576,0.605,33
actual,2.636,1.872,33
actually,2.2,1.283,35
acute,2.824,1.757,34
adage,2.235,1.832,17
adapt,3.029,1.444,35
add,3.943,1.881,35
addict,5.0,1.673,35
addicted,3.121,1.822,33
addition,3.382,1.732,34
address,4.343,1.851,35
address (postal),4.559,1.648,34
address (speak to),4.2,1.67,35
adequate,2.912,1.652,34
adjective,2.844,1.752,32
adjust,3.0,1.688,33
admiral,5.606,1.613,33
admire,3.75,1.92,32
admired,2.853,1.517,34
adopt,3.125,1.536,32
adorable,3.469,1.581,32
adore,3.344,1.651,32
adult,5.433,1.283,30
adultery,4.235,1.956,34
adults,6.257,1.024,35
advanced,3.088,1.616,34
advantage,2.719,1.566,32
adventure,4.743,1.746,35
adverb,2.529,1.538,34
adverse,2.529,1.613,34
adversity,2.567,1.283,30
advice,2.882,1.676,34
advise,2.788,1.273,33
advisor,4.235,1.716,34
advisors,4.625,1.798,32
aeroplane,6.824,0.452,34
afar,3.788,1.61,33
affair,4.424,1.81,33
affect,2.177,1.2,34
affection,4.6,1.727,35
affectionate,4.706,1.807,34
afford,3.364,1.453,33
affordable,3.171,1.576,35
afraid,4.588,1.717,34
after,2.743,1.48,35
afterlife,2.939,1.808,33
age,3.286,1.891,35
aged,4.371,1.623,35
agent,4.349,1.524,63
aggression,4.515,1.94,33
aggressive,4.094,1.684,32
agile,4.5,1.613,34
agility,3.657,2.013,35
agony,4.323,1.924,31
agree,3.333,1.682,33
agreement,3.727,1.895,33
aid,4.097,1.489,31
aim,2.941,1.697,34
aim (objective),2.909,1.583,33
aim (target),5.286,1.614,35
air,2.969,1.723,32
airplane,6.849,0.435,33
airport,6.581,0.61,31
aisle,5.438,1.029,32
albatross,5.576,1.679,59
album,5.633,0.948,30
alcohol,6.294,1.072,34
alcoholic,5.469,1.658,32
alert,3.387,1.559,31
algebra,5.182,1.527,33
alien,5.824,1.855,34
alimony,2.577,1.364,26
alive,4.788,2.011,33
all,2.969,1.468,32
allergy,4.343,1.788,35
alley,6.182,0.999,33
alligator,6.677,0.931,34
allow,2.412,1.353,34
allowed,2.6,1.589,35
allure,2.594,1.32,32
aloft,3.138,1.676,29
alone,4.4,1.66,35
aloof,3.172,1.84,29
aloud,3.486,1.857,35
altar,6.0,1.203,29
alter,4.219,2.103,32
altitude,3.818,1.85,33
amateur,3.086,1.628,35
amaze,2.771,1.742,35
amazing,2.781,1.536,32
ambassador,4.656,1.428,32
amber,5.129,1.54,31
ambition,3.429,1.871,35
ambulance,6.886,0.318,35
ammunition,5.871,1.362,31
amount,3.182,1.507,33
amphibian,6.03,1.446,33
amplifier,5.226,1.601,31
amplify,3.531,1.854,32
amputate,5.629,1.551,35
amuse,3.688,1.379,32
amusement,4.571,1.678,35
amusing,3.765,1.783,34
analogue,3.382,1.732,34
analyst,3.824,1.757,34
anchor,6.618,0.971,34
ancient,4.355,1.752,31
anecdote,3.257,2.047,35
angel,5.546,1.971,33
anger,4.758,1.776,33
angle,4.912,1.56,34
angry,5.394,1.229,33
anguish,3.629,1.742,35
animal,6.647,0.8,34
animals,6.706,0.749,34
animosity,2.677,1.574,31
ankle,6.724,0.69,29
annoy,3.353,1.661,34
annoyance,3.4,1.553,35
annoying,3.677,2.054,34
answer,4.031,1.705,32
ant,6.743,0.498,35
anteater,6.433,0.844,30
