word,mean,std,n
ability,5.1,1.96920739836559,20
abundance,2.7,1.8885620632287057,20
accident,3.5,2.0138409955990952,20
accomplishment,4.2,2.5298221281347035,20
accumulation,3.2,2.2997584414213783,20
acquisition,3.4,2.3664319132398464,20
acre,1.3,0.6749485577105531,20
addition,2.0,1.699673171197595,20
admiration,4.1,2.2335820757001272,20
advantage,2.9,1.9692073983655907,20
adventurer,4.5,2.2213082915965963,20
adversity,2.3,1.888562063228706,20
advice,3.7,2.496664441476534,20
affection,6.1,1.449137674618943,20
alley,1.4,0.9660917830792958,20
alligator,1.2,0.42163702135578385,20
ally,2.8,2.1499353995462798,20
alphabet,1.8,1.2292725943057183,20
ambition,4.3,2.359378449224852,20
ambulance,1.4,0.5163977794943221,20
amount,1.6,0.9660917830792958,20
amplitude,1.9,1.728840330651992,20
anger,4.7,2.263232692902394,20
animal,2.2,1.9321835661585918,20
ankle,3.1,2.4244128727957577,20
announcement,2.5,1.509230856356236,20
annoyance,3.5,2.173067468400883,20
anxiety,5.2,1.4757295747452446,20
apology,3.2,1.9888578520235063,20
appeal,3.2,2.2997584414213783,20
apple,1.8,1.5491933384829668,20
appointment,1.9,0.9944289260117531,20
arc,2.6,2.118699810942761,20
arrangement,3.8,2.043961295567452,20
arrow,2.6,2.270584848790187,20
art,3.9,1.7288403306519922,20
article,1.6,0.9660917830792958,20
artist,3.6,2.118699810942761,20
aspect,3.0,2.160246899469287,20
assault,2.8,2.8982753492378874,20
assistance,4.8,2.2010098692292237,20
assumption,3.1,2.2335820757001272,20
atom,1.5,0.97182531580755,20
atrocity,1.1,0.316227766016838,20
attempt,4.3,1.8287822299126935,20
attention,4.1,2.601281735350223,20
attitude,5.0,2.0548046676563256,20
autumn,2.6,2.270584848790187,20
availability,3.1,2.024845673131659,20
awareness,4.8,2.250925735484551,20
baby,1.8,1.5491933384829668,20
bag,2.2,1.5491933384829668,20
ball,1.7,1.2516655570345725,20
ballot,1.6,1.0749676997731399,20
banana,1.7,1.5670212364724212,20
band,2.3,1.766981104093143,20
bandit,1.9,1.4491376746189437,20
bank,2.3,2.263232692902394,20
beast,1.3,0.4830458915396481,20
beauty,3.0,1.8257418583505538,20
beaver,1.5,0.97182531580755,20
bed,2.3,1.8287822299126937,20
bedroom,1.7,1.3374935098492586,20
beetle,1.4,0.6992058987801009,20
behavior,5.4,1.1737877907772662,20
belief,4.1,2.766867462592951,20
bell,2.1,1.5951314818673865,20
benefactor,2.0,1.699673171197595,20
bet,1.6,0.8432740427115677,20
betrayal,2.3,1.5670212364724212,20
beverage,2.0,1.4907119849998598,20
bird,2.1,1.8529256146249728,20
blade,2.2,1.5491933384829668,20
blood,2.3,1.8287822299126937,20
boat,1.9,1.66332999331662,20
body,4.0,2.3570226039551585,20
bolt,2.0,2.0,20
border,1.4,0.6992058987801009,20
boredom,3.1,2.1832697191750423,20
bottle,1.8,1.3984117975602022,20
boulder,1.6,1.0749676997731399,20
boundary,1.7,1.5670212364724212,20
boy,1.8,1.0327955589886446,20
bracelet,2.3,1.7029386365926402,20
brain,4.0,2.211083193570267,20
branch,2.5,1.8408935028645435,20
brawl,3.0,2.6246692913372702,20
brevity,2.2,1.8135294011647258,20
bridge,2.1,2.1317702607092643,20
brother,3.1,1.9119507199599983,20
brute,1.6,1.577621275493231,20
bubble,2.4,1.837873166945363,20
bullet,2.2,1.5491933384829668,20
burner,1.4,0.6992058987801009,20
butter,1.6,1.3498971154211057,20
butterfly,2.0,1.3333333333333333,20
cake,2.4,2.2211108331943574,20
calculation,2.7,2.0027758514399734,20
calendar,2.1,1.8529256146249728,20
camera,2.7,2.359378449224852,20
candidate,2.4,1.9550504398153572,20
candy,2.1,1.66332999331662,20
capacity,2.8,2.394437999475729,20
car,2.7,2.0575065816014617,20
cat,1.3,0.6749485577105531,20
category,1.9,1.728840330651992,20
caterpillar,1.7,1.2516655570345725,20
cause,5.7,0.6749485577105547,20
ceiling,1.3,0.6749485577105531,20
ceremony,1.6,1.0749676997731399,20
chair,1.8,1.4757295747452437,20
chance,2.9,1.6633299933166201,20
character,3.0,2.8284271247461903,20
charity,1.9,1.3703203194062976,20
charter,1.3,0.4830458915396481,20
chicken,1.5,0.97182531580755,20
chief,1.3,0.4830458915396481,20
child,1.8,1.2292725943057183,20
chipmunk,1.3,0.4830458915396481,20
chlorine,1.5,0.97182531580755,20
chocolate,2.9,2.1832697191750423,20
christmas,2.8,2.2010098692292237,20
church,2.1,2.0789954839350235,20
circuit,1.5,0.97182531580755,20
circumstance,2.4,1.8973665961010275,20
city,2.1,1.66332999331662,20
claim,2.9,2.1832697191750423,20
clean,4.3,2.7100635498903793,20
clearance,2.5,1.8408935028645435,20
cliff,1.7,1.2516655570345725,20
cloth,1.5,0.97182531580755,20
clothing,2.5,2.223610677354389,20
cocktail,1.9,1.66332999331662,20
coffee,2.8,2.250925735484551,20
coffin,1.8,1.8737959096740262,20
cognition,3.7,2.263232692902394,20
coincidence,3.2,2.440400695696417,20
combination,2.6,2.0655911179772892,20
comparison,3.8,2.3475755815545343,20
competence,5.4,2.4129281427805136,20
complication,2.4,1.776388345929897,20
composer,2.1,1.66332999331662,20
comprehension,4.7,2.4517567397911053,20
conclusion,3.4,2.118699810942761,20
conference,1.8,1.0327955589886446,20
confidence,5.2,1.6865480854231363,20
conscience,4.1,2.6436506745197805,20
consequence,3.0,2.449489742783178,20
consideration,4.5,2.5055493963954847,20
consistency,4.2,2.2997584414213783,20
construction,2.1,1.8529256146249728,20
contempt,2.3,2.057506581601462,20
context,3.0,1.9436506316151,20
contract,2.0,1.247219128924647,20
convergence,3.3,2.359378449224852,20
core,2.7,1.946506842754191,20
corn,1.7,1.5670212364724212,20
corporation,1.7,1.0593499054713804,20
corpse,1.8,1.3165611772087666,20
correspondent,2.9,1.6633299933166201,20
costume,2.0,1.5634719199411433,20
cottage,1.9,1.4491376746189437,20
coupon,2.2,1.3165611772087666,20
cow,1.2,0.42163702135578385,20
cowardice,2.6,2.270584848790187,20
cranberry,1.6,1.2649110640673518,20
crime,1.7,1.5670212364724212,20
crisis,2.7,1.8287822299126935,20
criticism,3.5,2.0138409955990952,20
crocodile,1.2,0.42163702135578385,20
crown,1.9,1.5951314818673865,20
cucumber,1.4,0.6992058987801009,20
cup,2.0,1.4907119849998598,20
curfew,1.6,0.9660917830792958,20
dad,2.3,2.263232692902394,20
dagger,1.8,1.6193277068654826,20
damage,2.7,2.1108186931983415,20
danger,3.3,2.496664441476534,20
darkness,2.2,2.0976176963403033,20
debt,1.8,1.4757295747452437,20
deceit,2.8,1.9888578520235063,20
decision,5.0,1.8257418583505538,20
deduction,3.1,2.378141197564929,20
definition,3.2,2.394437999475729,20
degree,2.0,1.699673171197595,20
democracy,1.2,0.42163702135578385,20
denial,2.1,1.8529256146249728,20
dentist,1.6,1.2649110640673518,20
deputy,1.5,0.97182531580755,20
description,2.9,2.282785822435191,20
design,2.4,1.7126976771553504,20
desk,1.6,1.3498971154211057,20
despair,3.3,2.1628170930011112,20
destiny,2.8,2.2997584414213783,20
determination,4.8,2.3475755815545343,20
development,3.7,2.584139659108574,20
diamond,1.3,0.4830458915396481,20
diet,3.4,2.0655911179772892,20
difference,3.2,2.3475755815545343,20
dilemma,3.5,1.9578900207451218,20
dimension,2.3,2.3118054512532935,20
disagreement,3.2,1.9888578520235063,20
disappointment,3.2,1.9888578520235063,20
disaster,2.9,2.4698178070456938,20
disgust,2.1,1.66332999331662,20
distance,2.6,2.118699810942761,20
distraction,2.9,2.0789954839350235,20
distribution,3.1,1.9692073983655907,20
ditch,1.3,0.4830458915396481,20
diversity,3.8,2.2010098692292237,20
division,2.6,1.9550504398153574,20
doctor,1.7,1.3374935098492586,20
donor,2.3,1.9465068427541912,20
door,2.3,1.7029386365926402,20
dove,1.4,0.9660917830792958,20
dozen,1.2,0.42163702135578385,20
drama,2.9,2.1317702607092643,20
drug,1.8,1.0327955589886446,20
drum,2.6,2.270584848790187,20
duck,2.8,2.2997584414213783,20
duel,3.4,2.3664319132398464,20
duration,2.6,2.0655911179772892,20
