word,mean,std,n
ability,4.64,1.4939491483885976,23
abundance,5.91,1.8012676695569996,23
accident,3.1,1.370320319406298,20
accomplishment,4.52,1.1293194051465605,23
accumulation,5.15,1.7646898976258147,23
acquisition,3.94,1.6129008882638514,23
acre,5.93,1.3870146083619739,20
addition,4.76,1.4589801878044124,23
admiration,3.85,1.8012676695569996,23
advantage,4.12,2.0319013727063124,23
adventurer,3.47,1.5676467522593478,20
adversity,2.2,1.8157922373651016,23
advice,2.6,1.6465452046971294,20
affection,2.4,1.3498971154211057,20
alley,3.4,1.6465452046971294,20
alligator,2.58,1.7810394294555534,23
ally,2.6,1.577621275493231,20
alphabet,2.7,1.2516655570345723,20
ambition,4.91,1.7564580631305244,23
ambulance,2.12,1.7693034738587656,23
amount,6.3,0.9486832980505152,20
amplitude,4.76,1.7997584378973221,23
anger,1.9,0.875595035770913,20
animal,3.4,1.9550504398153574,20
ankle,2.06,1.4288690166235205,23
announcement,3.0,1.582856526223617,23
annoyance,2.9,1.9692073983655907,20
anxiety,2.2,1.4757295747452437,20
apology,3.07,1.8322507626258087,20
appeal,3.47,1.8322507626258087,20
apple,2.76,1.7564580631305242,23
appointment,2.88,1.768791448533658,23
arc,3.6,2.118699810942761,20
arrangement,3.36,1.6681153124565982,23
arrow,2.45,1.7810394294555534,23
art,2.2,1.4757295747452437,20
article,4.1,2.2638462845343543,20
artist,2.88,2.1362129568705104,23
aspect,3.73,2.111047545445255,23
assault,3.0,1.5634719199411433,20
assistance,3.45,1.7687914485336587,23
assumption,3.33,1.7564580631305238,23
atom,2.9,2.378141197564929,20
atrocity,3.7,2.3118054512532935,20
attempt,4.3,1.6363916944844767,20
attention,4.33,1.4836060651405207,23
attitude,3.85,1.348643978116592,23
autumn,3.4,2.021174145771767,23
availability,4.3,1.8157922373651016,23
awareness,3.94,1.7687914485336587,23
baby,3.61,1.7932037558919307,23
bag,4.2,1.3984117975602017,20
ball,3.52,2.1463653132612386,23
ballot,2.5,1.5811388300841898,20
banana,2.55,1.8395809226599664,23
band,2.7,1.946506842754191,20
bandit,2.4,1.837873166945363,20
bank,4.3,1.946506842754191,20
beast,3.2,1.8135294011647256,20
beauty,2.54,1.3093073414159542,20
beaver,2.0,1.8157922373651019,23
bed,2.91,1.7440374613713625,23
bedroom,3.1,1.9119507199599983,20
beetle,2.52,1.9219366742195607,23
behavior,3.42,1.1671841502435303,23
belief,4.18,1.6934443076725043,23
bell,2.58,1.7916877315917057,23
benefactor,3.27,1.6100904646471967,23
bet,4.1,2.024845673131659,20
betrayal,1.8,0.42163702135578407,20
beverage,3.18,1.4440030912488493,23
bird,2.58,1.9034674690672027,23
blade,2.91,1.4744195615489712,23
blood,2.55,1.7147062113681013,23
boat,3.97,1.717345440591042,23
body,3.18,1.926173649372307,23
bolt,3.1,1.7919573407620817,20
border,3.2,2.1499353995462798,20
boredom,2.2,1.3165611772087666,20
bottle,3.3,1.3486439781165913,23
boulder,4.67,1.5603789952109879,23
boundary,4.3,1.3374935098492584,20
boy,2.64,1.8761469921708915,23
bracelet,2.73,1.6145847942957394,23
brain,4.52,1.654484463686411,23
branch,3.3,1.70293863659264,20
brawl,2.5,1.6499158227686108,20
brevity,4.33,1.541103500742244,23
bridge,4.12,1.962972457668527,23
brother,2.6,1.264911064067352,20
brute,2.0,0.9428090415820634,20
bubble,2.73,1.6632210760527557,23
bullet,2.64,1.895360468182194,23
burner,2.4,1.2649110640673518,20
butter,2.48,1.8052861188782494,23
butterfly,2.39,1.6010639578422374,23
cake,3.55,1.9067956275430755,23
calculation,4.61,1.4884823513044854,23
calendar,2.88,1.8474424154113356,23
camera,3.9,1.523883926754995,20
candidate,2.0,0.9428090415820634,20
candy,3.33,1.9034674690672027,23
capacity,5.88,1.9615876444748834,23
car,3.76,1.933683126777138,23
cat,2.42,1.9708013524996606,23
category,3.58,1.488482351304485,23
caterpillar,2.61,1.7687914485336584,23
cause,4.1,1.7919573407620817,20
ceiling,2.88,1.4836060651405207,23
ceremony,3.3,1.8287822299126935,20
chair,2.76,1.5269321331121546,23
chance,5.2,1.398411797560203,20
character,2.2,1.7507762253652943,23
charity,4.03,1.9091693314716438,23
charter,3.4,2.011080417199781,20
chicken,2.52,1.7189270330434439,23
chief,2.3,1.636391694484477,20
child,3.67,1.8052861188782492,23
chipmunk,2.27,1.864523873636999,23
chlorine,2.2,1.3165611772087666,20
chocolate,2.67,1.995919750935371,23
christmas,3.06,2.1631800262777383,23
church,3.27,2.203011772452707,23
