word,mean,std,n
ability,4.24,1.7677669529663689,23
abundance,3.3,1.741048534648015,23
accident,2.62,1.6602440351979153,20
accomplishment,3.97,1.670124102014288,23
accumulation,3.3,1.7957723650554305,23
acquisition,3.76,1.954884288300758,23
acre,1.63,1.1160708020048367,20
addition,2.79,2.10605884793558,23
admiration,5.03,1.7479827082631845,23
advantage,3.73,1.8877256327433096,23
adventurer,3.86,1.9199358963657733,20
adversity,3.5,1.6151999776318522,23
advice,5.31,2.015961945102775,20
affection,4.77,2.3506682083273738,20
alley,2.0,1.4142135623730951,20
alligator,1.55,1.016001016001524,23
ally,4.23,2.1273554065179203,20
alphabet,2.0,1.5275252316519468,20
ambition,4.0,1.7247603854149636,23
ambulance,2.39,1.522678031330581,23
amount,1.69,1.031553471276484,20
amplitude,2.15,1.87943024997368,23
anger,4.3,1.702185623672077,20
animal,2.08,1.3821202589704016,20
ankle,2.12,1.3615544958470411,23
announcement,4.03,1.646109783506203,23
annoyance,3.39,1.7097008285302204,20
anxiety,2.62,1.6092680291808414,20
apology,4.37,2.2560460078960243,20
appeal,3.87,2.339734808553947,20
apple,1.67,1.0395408415691625,23
appointment,3.36,1.8024960292560621,23
arc,1.77,0.9268086959962983,20
arrangement,3.76,1.8305208143074754,23
arrow,1.76,1.20315445607008,23
art,3.39,1.980675875320574,20
article,1.94,1.497861723788195,20
artist,4.12,2.096223562935607,23
aspect,2.61,1.7617691804437068,23
assault,3.85,2.0349510168614966,20
assistance,5.12,1.8447834036687378,23
assumption,3.39,1.6335075066229565,23
atom,1.92,1.4411533842457842,20
atrocity,3.08,1.9348358440936904,20
attempt,2.56,1.5041608956491324,20
attention,4.58,1.135479861613156,23
attitude,4.06,0.8224422717264602,23
autumn,1.67,1.6359741105294363,23
availability,3.94,1.6263951827039393,23
awareness,4.15,0.7156093726283553,23
baby,5.12,2.094299097473286,23
bag,1.56,0.963932916061417,20
ball,1.88,0.981687158630159,23
ballot,2.85,1.908147174886057,20
banana,1.58,0.762000762001143,23
band,3.08,1.9774368283857793,20
bandit,2.62,1.9806758753205744,20
bank,2.12,1.5438048235879214,20
beast,1.77,1.2351684199496948,20
beauty,5.04,1.6832508230603465,20
beaver,1.42,1.1807426585867267,23
bed,2.91,0.945596756448779,23
bedroom,2.54,2.0662116951635836,20
beetle,1.48,1.270001270001905,23
behavior,4.76,1.5628628610919912,23
belief,4.15,1.344043010064494,23
bell,1.64,0.9791166196315481,23
benefactor,5.24,1.7734602590198012,23
bet,3.54,1.7614096918559583,20
betrayal,4.93,1.8009968749527974,20
beverage,2.06,0.9837387536759294,23
bird,1.58,1.1976960409267507,23
blade,1.61,1.2664243542988622,23
blood,2.97,1.6263951827039393,23
boat,2.06,1.4312187452567107,23
body,3.39,1.8447834036687378,23
bolt,1.77,1.0919284281983377,20
border,2.69,2.015961945102775,20
boredom,2.46,1.4500221041639683,20
bottle,1.79,0.8418250143816763,23
boulder,1.88,1.0140146973548327,23
boundary,2.84,1.7722938923964167,20
boy,4.45,1.848877165793755,23
bracelet,2.36,1.382129609719912,23
brain,3.79,1.696474047413749,23
branch,2.69,2.056493779875511,20
brawl,4.46,1.8536173919925967,20
brevity,2.61,1.855408397787572,23
bridge,2.24,1.3619246343602935,23
brother,5.75,1.8073922282301278,20
brute,2.61,1.8045526471705549,20
bubble,1.79,1.4167061980569235,23
bullet,1.97,1.7177324700632743,23
burner,2.0,1.5275252316519468,20
butter,1.61,1.073414058942533,23
butterfly,1.85,1.3060035073805594,23
cake,2.3,0.981687158630159,23
calculation,2.39,1.930234817739257,23
calendar,3.06,1.3040724054705235,23
camera,2.31,1.579820664927932,20
candidate,4.07,1.4411533842457847,20
candy,1.97,1.016001016001524,23
capacity,3.0,1.9797360527882695,23
car,2.45,1.281065584682558,23
cat,2.09,1.796053020267749,23
category,2.36,1.8180878824707833,23
caterpillar,1.64,1.0140146973548327,23
cause,3.06,1.8786076404259264,20
ceiling,2.03,1.042929342239073,23
ceremony,4.31,2.015961945102775,20
chair,1.58,0.8793096632421185,23
chance,3.38,1.6683325008322931,20
character,4.0,1.855408397787572,23
charity,4.36,2.1251185925162073,23
charter,1.92,1.1151635501529555,20
chicken,1.85,0.762000762001143,23
chief,3.44,1.9311050377094112,20
child,5.27,2.2638462845343543,23
chipmunk,1.64,0.7975516971817058,23
chlorine,1.77,1.535895295576609,20
chocolate,2.42,1.3781123134153823,23
christmas,4.36,1.8047316841051202,23
church,4.33,1.9362313744704869,23
circuit,2.32,2.015961945102775,20
circumstance,3.45,1.7153834331077833,23
city,3.73,1.650696334004766,23
claim,2.06,1.4818344486930155,20
clean,1.77,1.535895295576609,20
clearance,2.33,1.50134348437142,23
cliff,1.79,1.3615544958470411,23
cloth,1.69,1.138346754435279,20
clothing,2.64,1.281065584682558,23
cocktail,2.42,1.073414058942533,23
coffee,2.7,1.1359236684941296,23
coffin,2.0,1.5960510744515868,23
cognition,4.09,0.856074122506811,23
coincidence,3.27,1.8091947059039741,23
combination,3.12,1.779985048867981,23
comparison,4.0,1.5026857675938214,23
competence,4.24,1.5644745588092157,23
complication,3.94,1.8855883825445832,23
composer,2.77,1.9215378456610455,20
comprehension,3.79,1.7433629903519898,23
conclusion,3.03,1.408499544814245,23
conference,4.61,1.9381460874790264,20
