word,mean,std,n
ability,2.0,1.5634719199411433,20
abundance,1.7,0.6749485577105531,20
accident,1.9,1.1005049346146119,20
accomplishment,1.4,0.5163977794943221,20
accumulation,1.5,0.7071067811865476,20
acquisition,1.6,0.6992058987801009,20
acre,2.4,1.8973665961010275,20
addition,2.0,1.5634719199411433,20
admiration,1.4,0.5163977794943221,20
advantage,1.6,0.6992058987801009,20
adventurer,3.3,2.04939015319192,20
adversity,1.8,1.2292725943057183,20
advice,1.4,0.5163977794943221,20
affection,1.6,0.8432740427115677,20
alley,2.4,1.776388345929897,20
alligator,4.2,2.250925735484551,20
ally,1.9,1.1005049346146119,20
alphabet,2.1,1.7919573407620815,20
ambition,1.8,1.0327955589886446,20
ambulance,3.2,1.751190071541826,20
amount,1.9,1.1972189997378646,20
amplitude,1.8,1.3165611772087666,20
anger,2.3,1.766981104093143,20
animal,4.5,2.1213203435596424,20
ankle,3.3,2.3118054512532935,20
announcement,1.5,0.7071067811865476,20
annoyance,2.5,1.8408935028645435,20
anxiety,2.0,1.4907119849998598,20
apology,1.6,0.6992058987801009,20
appeal,1.5,0.5270462766947299,20
apple,5.1,2.0789954839350226,20
appointment,1.7,1.2516655570345725,20
arc,2.5,2.0138409955990952,20
arrangement,1.5,0.5270462766947299,20
arrow,3.9,2.4244128727957577,20
art,2.7,2.359378449224852,20
article,2.5,2.273030282830976,20
artist,2.7,1.7669811040931427,20
aspect,2.0,1.5634719199411433,20
assault,3.0,1.7638342073763937,20
assistance,1.5,0.7071067811865476,20
assumption,1.9,1.5238839267549946,20
atom,2.1,1.4491376746189437,20
atrocity,1.6,0.6992058987801009,20
attempt,2.2,1.2292725943057183,20
attention,1.8,1.5491933384829668,20
attitude,2.0,1.4142135623730951,20
autumn,3.2,2.2010098692292237,20
availability,1.6,0.9660917830792958,20
awareness,1.9,1.5238839267549946,20
baby,3.6,2.3664319132398464,20
bag,5.5,1.5811388300841898,20
ball,4.7,2.4060109910158114,20
ballot,2.9,2.2335820757001272,20
banana,4.8,2.5298221281347035,20
band,2.5,1.4337208778404378,20
bandit,1.7,0.6749485577105531,20
bank,5.1,1.7288403306519913,20
beast,3.1,2.1832697191750423,20
beauty,2.0,1.247219128924647,20
beaver,3.6,2.3664319132398464,20
bed,5.1,1.791957340762081,20
bedroom,3.9,2.1317702607092643,20
beetle,4.2,2.043961295567452,20
behavior,1.6,0.9660917830792958,20
belief,1.9,1.286683937707919,20
bell,4.5,1.90029237516523,20
benefactor,2.0,1.4907119849998598,20
bet,1.6,0.6992058987801009,20
betrayal,1.5,0.7071067811865476,20
beverage,4.1,2.282785822435191,20
bird,4.6,2.118699810942761,20
blade,5.5,1.7795130420052185,20
blood,5.3,1.4181364924121773,20
boat,4.0,2.260776661041756,20
body,4.6,1.8973665961010278,20
bolt,3.4,2.4129281427805145,20
border,2.6,1.6465452046971294,20
boredom,1.8,1.5491933384829668,20
bottle,4.0,2.0548046676563256,20
boulder,4.1,2.5144029554194813,20
boundary,1.6,0.6992058987801009,20
boy,4.1,1.523883926754995,20
bracelet,4.3,2.1108186931983415,20
brain,2.8,2.1499353995462798,20
branch,5.4,1.4298407059684803,20
brawl,3.1,1.7919573407620817,20
brevity,1.3,0.4830458915396481,20
bridge,4.1,1.9119507199599983,20
brother,4.7,2.1108186931983415,20
brute,2.2,1.5491933384829668,20
bubble,4.5,2.068278940998476,20
bullet,4.5,2.223610677354389,20
burner,2.9,1.7288403306519922,20
butter,4.7,1.946506842754191,20
butterfly,4.8,2.097617696340303,20
cake,4.9,2.2335820757001272,20
calculation,2.0,1.5634719199411433,20
calendar,2.7,1.8885620632287057,20
camera,5.5,1.1785113019775793,20
candidate,2.4,1.6465452046971292,20
candy,4.9,2.330951164939612,20
capacity,1.7,0.9486832980505139,20
car,4.0,2.449489742783178,20
cat,5.2,1.8737959096740269,20
category,1.6,0.6992058987801009,20
caterpillar,4.6,2.118699810942761,20
cause,2.4,1.505545305418162,20
ceiling,3.1,2.1832697191750423,20
ceremony,1.5,0.7071067811865476,20
chair,4.1,2.2335820757001272,20
chance,2.3,1.3374935098492586,20
character,1.9,0.9944289260117531,20
charity,2.1,1.5238839267549946,20
charter,2.0,1.632993161855452,20
chicken,4.4,2.011080417199781,20
chief,3.6,2.3664319132398464,20
child,4.1,2.1317702607092643,20
chipmunk,3.5,2.068278940998476,20
chlorine,4.3,2.0027758514399734,20
chocolate,5.4,1.6465452046971285,20
christmas,3.1,1.7919573407620817,20
church,3.4,1.9550504398153574,20
circuit,2.4,1.8973665961010275,20
circumstance,1.5,0.7071067811865476,20
city,3.0,1.9436506316151,20
claim,2.6,1.5055453054181622,20
clean,3.2,2.394437999475729,20
clearance,1.8,1.2292725943057183,20
cliff,2.4,1.429840705968481,20
cloth,5.2,1.6193277068654834,20
clothing,5.0,2.0548046676563256,20
cocktail,4.7,1.8287822299126935,20
coffee,6.0,0.6666666666666666,20
coffin,4.4,2.2211108331943574,20
cognition,1.8,1.3165611772087666,20
coincidence,1.7,1.2516655570345725,20
combination,1.5,0.5270462766947299,20
comparison,1.7,0.8232726023485647,20
competence,1.6,0.9660917830792958,20
complication,1.6,0.6992058987801009,20
composer,2.1,1.286683937707919,20
comprehension,1.8,1.5491933384829668,20
conclusion,2.2,1.3984117975602022,20
conference,2.0,1.247219128924647,20
confidence,1.6,0.6992058987801009,20
conscience,1.9,1.5951314818673865,20
consequence,1.9,1.5238839267549946,20
consideration,2.0,1.5634719199411433,20
consistency,1.9,1.286683937707919,20
construction,2.6,1.8973665961010278,20
contempt,1.8,1.2292725943057183,20
context,1.5,0.7071067811865476,20
contract,1.3,0.4830458915396481,20
convergence,1.4,0.6992058987801009,20
core,2.6,1.7126976771553508,20
corn,4.2,2.2010098692292237,20
corporation,1.9,0.9944289260117531,20
corpse,3.8,1.8135294011647256,20
correspondent,1.6,0.6992058987801009,20
costume,5.6,1.2649110640673507,20
cottage,3.1,1.852925614624973,20
coupon,3.1,2.1317702607092643,20
cow,4.8,2.043961295567452,20
cowardice,1.8,0.7888106377466155,20
cranberry,5.2,1.3165611772087675,20
crime,1.5,0.7071067811865476,20
crisis,1.5,0.97182531580755,20
criticism,1.4,0.5163977794943221,20
crocodile,3.8,2.097617696340303,20
crown,3.6,2.3190036174568114,20
cucumber,4.1,2.0789954839350235,20
cup,4.8,1.9321835661585915,20
curfew,1.4,0.5163977794943221,20
dad,3.8,1.9321835661585915,20
dagger,5.4,1.71269767715535,20
damage,2.0,1.5634719199411433,20
danger,1.8,1.2292725943057183,20
darkness,2.8,1.9888578520235063,20
debt,1.7,1.2516655570345725,20
deceit,1.5,0.7071067811865476,20
decision,2.1,1.66332999331662,20
deduction,1.6,0.9660917830792958,20
definition,1.4,0.5163977794943221,20
degree,1.9,1.1005049346146119,20
democracy,1.9,0.9944289260117531,20
denial,1.5,0.5270462766947299,20
dentist,4.7,1.6363916944844767,20
deputy,2.0,1.3333333333333333,20
description,1.8,1.2292725943057183,20
design,1.8,1.0327955589886446,20
desk,4.6,2.1705094128132942,20
despair,1.7,0.9486832980505139,20
destiny,1.7,1.2516655570345725,20
determination,1.7,0.9486832980505139,20
development,2.1,1.8529256146249728,20
diamond,4.1,2.1317702607092643,20
diet,2.0,1.4142135623730951,20
difference,1.6,0.8432740427115677,20
dilemma,1.6,0.9660917830792958,20
dimension,1.8,0.9189365834726815,20
disagreement,2.0,1.5634719199411433,20
disappointment,1.9,1.286683937707919,20
disaster,2.0,1.247219128924647,20
disgust,2.9,1.852925614624973,20
