word,mean,std,n
ability,3.16,1.8370601285658523,22
abundance,3.4,1.610365583004173,22
accident,2.9,1.7288403306519922,20
accomplishment,3.68,1.8674568155604545,22
accumulation,3.68,1.6155754496814578,22
acquisition,3.76,1.6515844188042506,22
acre,3.33,2.0930724738891344,20
addition,3.88,1.7671132039657935,22
admiration,2.56,1.8163589028233231,22
advantage,3.2,1.482106155260879,22
adventurer,2.88,1.9571431620413327,20
adversity,3.6,1.4307546342854918,22
advice,3.5,2.0138409955990952,20
affection,4.1,2.024845673131659,20
alley,2.6,1.9550504398153574,20
alligator,1.64,1.7061431269819944,22
ally,3.0,1.7638342073763937,20
alphabet,4.3,1.8885620632287057,20
ambition,3.92,1.8274287396008984,22
ambulance,2.76,2.11119465164699,22
amount,4.4,2.2211108331943574,20
amplitude,4.04,1.7281651026012357,22
anger,3.8,2.3475755815545343,20
animal,2.2,1.8737959096740262,20
ankle,1.76,2.032095412303734,22
announcement,3.64,1.7115524428733941,22
annoyance,3.0,1.8856180831641267,20
anxiety,3.2,1.8135294011647256,20
apology,3.13,1.8333333333333333,20
appeal,3.33,1.8027756377319946,20
apple,1.64,1.5212776585113301,22
appointment,5.32,1.6500572946507805,22
arc,3.8,1.9321835661585915,20
arrangement,5.48,1.61245154965971,22
arrow,1.92,1.9669538792318462,22
art,3.3,2.0575065816014617,20
article,3.18,1.5365907428821477,20
artist,2.4,1.8831405915106172,22
aspect,3.76,1.679335602917681,22
assault,2.4,1.577621275493231,20
assistance,2.96,1.6285271997532418,22
assumption,3.04,1.6357353857213093,22
atom,3.8,2.2997584414213783,20
atrocity,2.3,1.766981104093143,20
attempt,4.7,1.4181364924121764,20
attention,4.0,1.5787453799742108,22
attitude,3.28,1.8356873097452258,22
autumn,6.4,2.0050356772952673,22
availability,4.36,1.610365583004173,22
awareness,4.36,1.9088471596729784,22
baby,2.84,1.723295650536977,22
bag,3.0,1.4142135623730951,20
ball,1.52,1.8000933682600415,22
ballot,3.6,1.8973665961010278,20
banana,1.52,1.7479880391106652,22
band,2.3,0.8232726023485647,20
bandit,1.8,1.2292725943057183,20
bank,4.4,1.6465452046971294,20
beast,1.3,0.4830458915396481,20
beauty,3.1,1.8333333333333333,20
beaver,1.72,1.8205179796655993,22
bed,1.84,1.7174340837228004,22
bedroom,2.6,1.7763883459298973,20
beetle,1.6,1.8402593898276238,22
behavior,3.2,2.069384676945413,22
belief,3.6,1.9454752503128463,22
bell,2.2,1.734474952642597,22
benefactor,2.84,1.8366026363090846,22
