word,dimension,mean,std,n,mean_M,std_M,n_M,mean_F,std_F,n_F,mean_Y,std_Y,n_Y,mean_O,std_O,n_O,mean_L,std_L,n_L,mean_H,std_H,n_H
aardvark,arousal,2.41,1.4,22,3.0,1.41,8,2.07,1.33,14,2.56,1.74,9,2.31,1.18,13,2.27,1.56,11,2.55,1.29,11
abalone,arousal,2.65,1.9,20,2.56,1.94,9,2.73,1.95,11,2.75,1.91,8,2.58,1.98,12,2.83,1.95,12,2.38,1.92,8
abandon,arousal,3.73,2.43,22,4.5,2.83,8,3.29,2.16,14,3.78,2.28,9,3.69,2.63,13,3.64,2.8,11,3.82,2.14,11
abandonment,arousal,4.95,2.64,21,4.3,2.5,10,5.55,2.73,11,4.55,2.66,11,5.4,2.67,10,4.79,2.72,14,5.29,2.63,7
abbey,arousal,2.2,1.7,20,4.0,1.83,4,1.75,1.39,16,2.44,1.67,9,2.0,1.79,11,1.78,1.39,9,2.55,1.92,11
abdomen,arousal,3.68,2.23,22,3.0,2.0,7,4.0,2.33,15,3.4,3.36,5,3.76,1.92,17,3.1,2.73,10,4.17,1.7,12
abdominal,arousal,3.5,1.82,22,2.6,2.07,5,3.88,1.71,16,3.75,1.91,12,3.33,1.8,9,3.17,1.99,12,3.9,1.6,10
abduct,arousal,5.9,2.57,20,5.0,2.74,5,6.2,2.54,15,6.0,2.65,7,5.85,2.64,13,5.4,2.67,10,6.4,2.5,10
abduction,arousal,5.33,2.2,21,5.25,2.43,8,5.38,2.14,13,5.78,1.3,9,5.0,2.7,12,5.7,1.49,10,5.0,2.72,11
abide,arousal,3.26,2.22,23,4.45,2.3,11,2.17,1.53,12,4.09,2.3,11,2.5,1.93,12,2.82,2.04,11,3.67,2.39,12
abiding,arousal,3.59,2.26,22,3.8,2.04,10,3.42,2.5,12,3.45,2.02,11,3.73,2.57,11,3.6,2.37,10,3.58,2.27,12
ability,arousal,4.85,2.74,20,5.62,3.16,8,4.33,2.42,12,4.78,2.86,9,4.91,2.77,11,4.54,2.67,13,5.43,2.99,7
abject,arousal,3.94,2.41,17,4.75,2.87,4,3.69,2.32,13,3.83,2.23,6,4.0,2.61,11,3.18,2.14,11,5.33,2.42,6
ablaze,arousal,6.75,2.12,20,6.8,1.92,5,6.73,2.25,15,6.58,2.23,12,7.0,2.07,8,6.82,1.99,11,6.67,2.4,9
able,arousal,3.38,2.25,21,2.71,1.89,7,3.71,2.4,14,2.78,1.64,9,3.83,2.59,12,3.67,2.8,6,3.27,2.09,15
abnormal,arousal,4.48,2.29,21,4.88,2.3,8,4.23,2.35,13,4.56,2.19,9,4.42,2.47,12,5.4,1.84,10,3.64,2.42,11
abnormality,arousal,5.0,2.62,22,6.5,2.39,8,4.14,2.41,14,5.44,2.96,9,4.69,2.43,13,4.0,2.86,11,6.0,2.0,11
abode,arousal,2.9,1.89,21,2.67,1.51,6,3.0,2.07,15,3.29,2.36,7,2.71,1.68,14,2.56,2.07,9,3.17,1.8,12
abolish,arousal,4.18,2.07,17,5.0,2.83,4,3.92,1.85,13,4.57,1.99,7,3.9,2.18,10,3.6,2.07,10,5.0,1.91,7
abominable,arousal,5.45,2.44,22,6.0,2.21,10,5.0,2.63,12,5.0,2.56,8,5.71,2.43,14,4.75,2.53,12,6.3,2.16,10
abomination,arousal,5.9,2.59,20,6.64,2.5,11,5.0,2.55,9,4.56,3.0,9,7.0,1.61,11,5.64,3.17,11,6.22,1.79,9
abort,arousal,5.8,2.44,20,5.71,2.06,7,5.85,2.7,13,6.36,2.25,11,5.11,2.62,9,6.0,2.56,12,5.5,2.39,8
abortion,arousal,5.43,2.38,47,4.93,2.16,14,5.64,2.47,33,5.61,2.44,23,5.25,2.36,24,5.12,2.39,25,5.77,2.39,22
abracadabra,arousal,5.27,2.64,22,5.75,2.53,12,4.7,2.79,10,5.89,2.26,9,4.85,2.88,13,6.33,2.18,9,4.54,2.76,13
abrasive,arousal,6.1,1.89,21,5.62,1.6,8,6.38,2.06,13,6.0,2.2,13,6.25,1.39,8,6.0,2.11,14,6.29,1.5,7
abreast,arousal,4.61,2.33,23,4.92,2.61,12,4.27,2.05,11,5.0,2.22,16,3.71,2.5,7,4.89,2.33,19,3.25,2.06,4
abrupt,arousal,5.23,2.0,22,6.0,1.71,12,4.3,2.0,10,6.11,1.54,9,4.62,2.1,13,4.22,1.3,9,5.92,2.14,13
abscess,arousal,4.0,2.38,20,3.4,2.27,10,4.6,2.46,10,3.57,2.64,7,4.23,2.31,13,4.1,2.69,10,3.9,2.18,10
absence,arousal,4.3,2.13,20,4.38,2.26,8,4.25,2.14,12,4.6,2.46,10,4.0,1.83,10,4.43,2.34,14,4.0,1.67,6
absent,arousal,3.72,2.48,25,2.83,2.04,6,4.06,2.65,18,3.14,2.6,14,4.6,2.27,10,4.31,2.52,16,2.67,2.12,9
absinthe,arousal,3.7,2.34,20,4.67,2.66,6,3.29,2.16,14,2.86,2.04,7,4.15,2.44,13,3.22,2.05,9,4.09,2.59,11
absolute,arousal,3.48,2.27,23,4.09,2.63,11,2.92,1.83,12,4.36,2.77,11,2.67,1.37,12,3.53,2.33,15,3.38,2.33,8
absolution,arousal,3.38,2.11,21,3.57,2.07,7,3.46,2.18,13,4.57,1.81,7,2.92,2.06,13,3.0,1.95,11,3.8,2.3,10
absolve,arousal,3.53,1.94,17,3.75,2.75,4,3.46,1.76,13,3.0,1.63,7,3.9,2.13,10,3.1,2.02,10,4.14,1.77,7
absorb,arousal,4.27,1.91,22,5.08,1.98,12,3.3,1.34,10,5.11,1.9,9,3.69,1.75,13,3.67,1.87,9,4.69,1.89,13
abstain,arousal,3.1,1.81,21,3.43,2.3,7,3.0,1.63,13,3.43,1.51,7,3.0,2.04,13,3.09,1.7,11,3.1,2.02,10
abstinence,arousal,3.15,2.37,20,3.12,2.17,8,3.17,2.59,12,3.11,2.03,9,3.18,2.71,11,3.23,2.2,13,3.0,2.83,7
abstract,arousal,3.96,2.9,24,5.33,2.88,6,3.5,2.83,18,4.8,3.12,10,3.36,2.68,14,5.25,2.65,16,1.38,1.06,8
absurd,arousal,4.02,2.06,43,4.3,2.03,20,3.78,2.11,23,3.42,2.32,19,4.5,1.74,24,4.11,2.08,27,3.88,2.09,16
absurdity,arousal,4.7,2.36,23,4.29,2.69,7,5.07,2.22,15,4.5,3.03,10,5.08,1.68,12,4.55,2.46,20,5.67,1.53,3
abundance,arousal,4.72,2.7,18,4.33,2.5,6,4.92,2.87,12,4.6,2.72,10,4.88,2.85,8,4.11,3.02,9,5.33,2.35,9
abundant,arousal,4.21,2.7,19,4.0,2.45,7,4.33,2.93,12,4.7,2.95,10,3.67,2.45,9,4.92,2.91,12,3.0,1.91,7
abuse,arousal,6.21,2.17,42,5.6,2.47,15,6.56,1.95,27,5.67,2.47,15,6.52,1.97,27,5.91,2.31,22,6.55,2.01,20
abusive,arousal,5.27,2.43,22,4.0,2.55,5,5.56,2.39,16,4.83,2.92,12,5.67,1.73,9,4.33,2.67,12,6.4,1.58,10
abysmal,arousal,3.91,1.98,23,4.0,2.19,11,3.83,1.85,12,3.56,2.46,9,4.14,1.66,14,3.62,1.76,13,4.3,2.26,10
abyss,arousal,4.85,2.41,20,5.12,2.8,8,4.67,2.23,12,4.8,2.82,10,4.9,2.08,10,4.57,2.82,14,5.5,0.84,6
academic,arousal,3.32,2.23,22,2.91,2.07,11,3.73,2.41,11,3.09,1.87,11,3.55,2.62,11,3.5,2.44,14,3.0,1.93,8
academy,arousal,3.77,2.16,22,4.33,2.46,12,3.1,1.6,10,4.89,2.2,9,3.0,1.83,13,3.67,2.55,9,3.85,1.95,13
