word,mean,std,n
aardvark,2.41,1.4,22
abalone,2.65,1.9,20
abandon,3.73,2.43,22
abandonment,4.95,2.64,21
abbey,2.2,1.7,20
abdomen,3.68,2.23,22
abdominal,3.5,1.82,22
abduct,5.9,2.57,20
abduction,5.33,2.2,21
abide,3.26,2.22,23
abiding,3.59,2.26,22
ability,4.85,2.74,20
abject,3.94,2.41,17
ablaze,6.75,2.12,20
able,3.38,2.25,21
abnormal,4.48,2.29,21
abnormality,5.0,2.62,22
abode,2.9,1.89,21
abolish,4.18,2.07,17
abominable,5.45,2.44,22
abomination,5.9,2.59,20
abort,5.8,2.44,20
abortion,5.43,2.38,47
abracadabra,5.27,2.64,22
abrasive,6.1,1.89,21
abreast,4.61,2.33,23
abrupt,5.23,2.0,22
abscess,4.0,2.38,20
absence,4.3,2.13,20
absent,3.72,2.48,25
absinthe,3.7,2.34,20
absolute,3.48,2.27,23
absolution,3.38,2.11,21
absolve,3.53,1.94,17
absorb,4.27,1.91,22
abstain,3.1,1.81,21
abstinence,3.15,2.37,20
abstract,3.96,2.9,24
absurd,4.02,2.06,43
absurdity,4.7,2.36,23
abundance,4.72,2.7,18
abundant,4.21,2.7,19
abuse,6.21,2.17,42
abusive,5.27,2.43,22
abysmal,3.91,1.98,23
abyss,4.85,2.41,20
academic,3.32,2.23,22
academy,3.77,2.16,22
accelerant,4.81,2.14,26
accelerate,6.04,1.77,23
accelerated,4.75,2.67,24
acceleration,6.73,2.1,22
accelerator,5.0,2.45,18
accent,4.95,2.67,20
accept,2.8,2.26,20
acceptable,3.65,2.33,23
acceptance,4.3,2.82,46
access,5.3,2.32,20
accessible,3.2,2.42,25
accessory,4.22,2.69,18
accident,4.93,2.56,43
accidental,4.0,2.47,20
acclaim,3.95,2.01,22
accommodate,3.0,1.61,18
accommodation,4.72,2.07,25
accompany,3.85,1.84,20
accomplice,4.5,2.61,20
accomplish,5.16,2.81,19
accomplishment,4.96,2.3,25
accord,2.85,1.9,20
accordion,2.94,2.21,18
account,3.76,2.49,21
accountability,3.7,2.27,20
accountable,4.2,1.96,20
accountant,3.81,2.18,21
accounting,3.68,2.4,22
accumulate,2.73,2.27,22
accuracy,3.33,2.18,21
accurate,4.35,2.25,23
accursed,5.33,2.13,21
accusation,5.48,2.23,23
accuse,5.32,2.08,22
ace,4.64,2.38,22
acetylene,3.67,2.06,21
ache,4.3,2.26,47
achieve,4.7,2.96,23
achievement,5.57,2.17,23
achy,4.48,1.89,21
acid,4.77,2.37,22
acknowledge,3.26,2.18,23
acknowledgement,3.3,2.3,23
acne,4.47,2.5,19
acorn,4.42,2.32,24
acoustic,4.0,2.43,22
acoustics,3.19,1.83,21
acquaintance,3.24,1.64,21
acquire,4.86,2.01,22
acquisition,4.36,2.44,22
acquit,4.56,2.71,18
acquittal,4.95,2.31,20
acre,2.73,1.7,22
acreage,3.74,2.0,23
acrobat,4.9,2.14,21
acrylic,3.73,2.31,26
act,4.19,2.29,21
action,6.19,2.56,21
action figure,4.65,2.39,20
activate,3.78,2.54,23
activation,3.52,2.33,23
active,5.62,2.09,21
activist,5.26,2.33,19
activity,4.86,2.48,21
actor,4.35,2.28,20
actress,5.43,2.18,21
actual,2.75,1.94,20
actuality,5.55,2.28,20
acupuncture,4.9,2.63,20
acute,5.09,1.95,22
ad,3.33,2.17,18
adage,3.38,1.88,21
adamant,5.74,2.4,19
adapt,3.9,2.36,20
adaptation,3.55,1.92,22
add,4.0,2.38,20
adder,3.24,2.36,17
addict,5.33,2.44,45
addicted,4.77,2.33,22
addiction,4.48,2.87,23
addictive,4.82,2.7,22
additional,3.61,2.17,18
address,3.05,2.06,20
adept,4.17,2.35,23
adequate,3.64,2.13,22
adhere,3.52,2.18,21
adhesive,3.2,1.99,20
Adidas,4.18,2.74,22
adjacent,2.78,1.96,18
adjective,3.64,2.1,25
adjoining,3.52,2.04,21
adjourn,3.15,1.93,20
adjust,3.0,2.07,23
adjuster,3.5,1.74,22
adjustment,4.59,2.36,22
admin,3.64,2.5,22
administer,3.86,2.23,22
administration,3.23,2.0,22
administrative,3.21,2.2,19
administrator,4.74,2.35,19
admirable,4.57,2.63,23
admiral,4.05,2.44,21
admiralty,4.27,2.33,22
admiration,5.52,2.19,23
admire,5.0,2.27,22
admired,5.95,2.16,21
admirer,6.0,2.25,22
admissible,2.9,1.71,20
admission,3.69,2.02,26
admit,3.35,2.43,20
admittance,3.6,1.5,20
ado,3.33,2.24,21
adobe,3.89,2.32,18
adolescence,5.1,2.53,21
adolescent,4.2,2.67,20
adopt,4.71,2.18,24
adoption,4.82,2.44,22
adoptive,4.4,2.14,25
adorable,4.66,2.79,38
adoration,4.36,2.28,22
adore,5.96,2.33,23
adoring,4.86,2.65,21
adrenalin,5.05,3.03,22
