unit,mean,std,n,individual_ratings
A,2.4285714285714284,2.408775166385979,14,"[0, 5, 5, 1, 0, 5, 5, 0, 0, 4, 0, 4, 0, 5]"
A CAPPELLA,1.6666666666666667,1.909727421264462,18,"[0, 0, 0, 5, 0, 3, 5, 0, 3, 2, 4, 0, 0, 4, 2, 2, 0, 0]"
AARDVARK,4.125,1.2583057392117913,16,"[4, 4, 3, 5, 5, 5, 5, 5, 2, 5, 3, 1, 5, 4, 5, 5]"
ABACK,2.823529411764706,2.007339474206065,17,"[4, 5, 0, 4, 5, 2, 5, 3, 0, 4, 2, 3, 5, 1, 0, 0, 5]"
ABACUS,3.9444444444444446,1.3048426644944466,18,"[5, 2, 5, 5, 5, 5, 3, 4, 0, 3, 4, 5, 4, 4, 5, 4, 4, 4]"
ABANDON,2.176470588235294,1.9759584420492964,17,"[0, 2, 3, 0, 5, 0, 0, 3, 2, 1, 5, 3, 0, 0, 4, 5, 4]"
ABANDONED,2.7777777777777777,1.986885104453867,18,"[1, 2, 1, 4, 0, 5, 0, 2, 5, 5, 2, 0, 1, 5, 5, 3, 5, 4]"
ABANDONEE,3.9375,1.3889444433333775,16,"[4, 5, 4, 4, 5, 5, 5, 4, 4, 5, 2, 3, 3, 5, 5, 0]"
ABANDONER,2.2142857142857144,1.8471837786446457,14,"[4, 0, 0, 2, 2, 3, 2, 5, 5, 3, 0, 0, 4, 1]"
ABANDONMENT,3.0,1.9639610121239315,15,"[4, 1, 2, 3, 5, 0, 0, 4, 5, 5, 5, 5, 1, 1, 4]"
ABASEMENT,3.0,1.5954480704349314,12,"[1, 5, 3, 5, 2, 3, 2, 5, 3, 4, 3, 0]"
ABATEMENT,1.2666666666666666,1.7511900715418265,15,"[0, 0, 5, 2, 4, 2, 0, 3, 0, 0, 0, 0, 0, 0, 3]"
ABBREVIATE,2.65,1.8431951662948316,20,"[0, 0, 4, 1, 5, 0, 5, 5, 4, 1, 3, 0, 4, 2, 3, 2, 4, 2, 3, 5]"
ABBREVIATED,3.111111111111111,2.0832352918107335,18,"[1, 4, 2, 0, 0, 4, 2, 4, 5, 0, 5, 0, 5, 5, 4, 5, 5, 5]"
ABBREVIATION,3.9473684210526314,1.4327007988227578,19,"[5, 5, 5, 3, 2, 5, 5, 3, 4, 2, 4, 0, 5, 5, 5, 5, 5, 3, 4]"
ABDICATE,3.25,1.6583123951777,12,"[4, 4, 5, 3, 0, 3, 4, 3, 5, 4, 4, 0]"
ABDOMEN,3.6470588235294117,2.0291986247835694,17,"[5, 4, 5, 5, 5, 0, 5, 5, 3, 4, 0, 1, 5, 5, 0, 5, 5]"
ABDOMINAL,3.8,1.2649110640673518,15,"[4, 5, 4, 2, 2, 3, 4, 1, 5, 5, 5, 4, 4, 4, 5]"
ABDOMINALLY,1.3529411764705883,1.6934128435864448,17,"[3, 0, 0, 0, 5, 0, 0, 0, 0, 2, 3, 4, 3, 0, 2, 1, 0]"
ABDUCT,2.8947368421052633,1.9690589078176761,19,"[3, 3, 0, 5, 3, 0, 2, 4, 5, 5, 4, 3, 4, 0, 0, 5, 0, 5, 4]"
ABDUCTEE,2.9,1.9166857359844665,20,"[5, 0, 1, 4, 1, 2, 4, 5, 3, 0, 0, 3, 4, 4, 5, 0, 5, 5, 4, 3]"
ABDUCTION,4.0,1.1726039399558572,17,"[5, 3, 4, 5, 2, 4, 4, 5, 5, 3, 4, 5, 5, 4, 5, 4, 1]"
ABDUCTOR,3.0588235294117645,1.983386883442503,17,"[0, 5, 3, 5, 0, 5, 1, 1, 5, 5, 1, 4, 5, 5, 3, 3, 1]"
ABHOR,1.7826086956521738,1.650248514043496,23,"[0, 5, 0, 2, 0, 4, 2, 3, 2, 0, 2, 3, 1, 1, 0, 1, 5, 4, 0, 2, 3, 0, 1]"
