unit,mean,std,n,individual_ratings
.22 caliber,4.1,1.100504934614612,10.0,"[5,4,5,3,2,5,5,3,4,5]"
.38 caliber,4.2727272727272725,1.009049958219026,11.0,"[3,4,5,5,5,4,2,4,5,5,5]"
‘tis the season,2.1481481481481484,1.292097391652684,27.0,"[3,2,2,1,3,2,2,1,2,4,5,1,1,2,4,3,5,1,1,1,1,2,4,1,2,1,1]"
1 kgs,4.6,0.699205898780101,10.0,"[5,3,5,5,5,5,4,5,5,4]"
1 samuel,3.090909090909091,1.7002673586554236,11.0,"[5,5,1,3,5,3,1,5,1,2,3]"
1 timothy,4.75,0.5,4.0,"[4,5,5,5]"
10-undecenoic acid,3.8181818181818175,1.4012980994907414,11.0,"[5,3,3,4,1,5,2,4,5,5,5]"
15 minutes of fame,2.3,1.2516655570345725,10.0,"[3,1,1,1,2,3,3,2,5,2]"
18-karat gold,4.090909090909091,1.2210278829367869,11.0,"[4,2,5,2,5,3,5,5,4,5,5]"
1st class,2.5,1.35400640077266,10.0,"[3,1,5,2,3,3,2,4,1,1]"
1st-class mail,3.363636363636364,1.433368568981982,11.0,"[4,4,5,5,4,3,5,2,2,1,2]"
20/20 vision,3.5454545454545454,1.2135597524338355,11.0,"[3,5,4,2,4,5,4,4,1,3,4]"
22-karat gold,4.2,0.9189365834726816,10.0,"[5,5,4,3,3,5,3,5,5,4]"
30 minutes,3.2,1.7511900715418265,10.0,"[4,5,5,5,2,2,2,5,1,1]"
365 days,3.7,1.2516655570345725,10.0,"[5,3,3,5,4,2,5,5,3,2]"
3D printer,4.727272727272728,0.6466697906828632,11.0,"[4,5,5,5,5,3,5,5,5,5,5]"
3D scanner,4.4,1.2649110640673518,10.0,"[1,4,5,5,5,5,4,5,5,5]"
4-3 suspension,2.8,0.8366600265340756,5.0,"[4,2,3,3,2]"
4-H Club,3.9,1.3703203194062976,10.0,"[5,4,5,4,4,4,5,5,2,1]"
8 ball,4.7,0.4830458915396479,10.0,"[5,5,5,5,4,4,5,5,5,4]"
8 ball pool,4.5,0.5270462766947299,10.0,"[5,5,4,5,5,4,5,4,4,4]"
800 number,3.8181818181818175,1.1677484162422844,11.0,"[4,5,5,3,4,4,5,5,2,2,3]"
a bad break,2.909090909090909,1.3751033019046572,11.0,"[5,4,2,1,2,4,4,2,4,1,3]"
a bad hair day,3.0,1.563471919941143,10.0,"[2,4,2,1,5,4,2,5,4,1]"
a bad penny always turns up,2.3,1.3374935098492586,10.0,"[1,2,2,3,5,1,1,2,4,2]"
a bad workman always blames his tools,1.6666666666666667,1.1547005383792517,12.0,"[1,1,1,1,2,4,2,1,1,1,4,1]"
a bad workman blames his tools,1.6363636363636365,1.2862913567871994,11.0,"[3,1,1,1,1,5,1,1,1,1,2]"
a barking dog never bites,1.3,0.9486832980505138,10.0,"[1,1,4,1,1,1,1,1,1,1]"
a battery,4.2,1.3165611772087666,10.0,"[4,1,4,5,5,5,5,5,5,3]"
a big ask,1.9090909090909087,1.5782614139961386,11.0,"[1,1,2,2,5,1,5,1,1,1,1]"
a big deal,2.4,1.429840705968481,10.0,"[2,5,2,1,4,2,1,2,1,4]"
a big spender,1.8,0.9189365834726816,10.0,"[2,1,2,1,2,1,2,2,4,1]"
a bigger bang for your buck,2.0,1.0540925533894598,10.0,"[4,1,3,3,1,1,2,1,2,2]"
a bird in the hand is worth two in the bush,1.4,1.2649110640673518,10.0,"[1,1,1,1,5,1,1,1,1,1]"
a bit,1.6,0.966091783079296,10.0,"[2,1,1,2,1,1,4,1,1,2]"
a bit much,2.5,1.4337208778404378,10.0,"[4,1,1,2,1,1,4,4,3,4]"
a bit of,2.727272727272727,1.2720777563426766,11.0,"[2,1,1,4,3,3,4,2,3,5,2]"
