unit,mean,std,n,individual_ratings
ability,1.9,1.5238839267549946,20,
abundance,1.5,0.7071067811865476,20,
accident,3.7,2.5407785333546005,20,
accomplishment,1.8,1.5491933384829668,20,
accumulation,1.9,1.8529256146249728,20,
acquisition,1.7,1.2516655570345725,20,
acre,1.8,1.2292725943057183,20,
addition,1.3,0.4830458915396481,20,
admiration,2.0,1.4142135623730951,20,
advantage,1.7,1.2516655570345725,20,
adventurer,3.8,2.3457688673327066,20,
adversity,1.7,1.2516655570345725,20,
advice,4.1,2.330951164939612,20,
affection,2.0,1.8257418583505538,20,
alley,2.7,2.359378449224852,20,
alligator,4.0,2.449489742783178,20,
ally,2.1,1.66332999331662,20,
alphabet,3.5,2.3213980461973533,20,
ambition,1.9,1.5238839267549946,20,
ambulance,6.9,0.3162277660168379,20,
amount,1.7,1.2516655570345725,20,
amplitude,2.5,1.9578900207451218,20,
anger,4.1,2.024845673131659,20,
animal,5.4,2.221110833194357,20,
ankle,1.6,0.9660917830792958,20,
announcement,5.7,1.8885620632287066,20,
annoyance,3.1,2.0789954839350235,20,
anxiety,2.2,1.8135294011647258,20,
apology,3.4,2.547329756605707,20,
appeal,2.2,1.8135294011647258,20,
apple,2.7,1.946506842754191,20,
appointment,2.0,1.632993161855452,20,
arc,2.2,1.8135294011647258,20,
arrangement,1.8,1.2292725943057183,20,
arrow,3.7,2.1628170930011112,20,
art,2.6,1.9550504398153574,20,
article,1.5,0.7071067811865476,20,
artist,2.7,2.0575065816014617,20,
aspect,1.5,0.7071067811865476,20,
assault,4.0,2.449489742783178,20,
assistance,2.3,1.7029386365926402,20,
assumption,1.8,1.2292725943057183,20,
atom,1.4,0.6992058987801009,20,
atrocity,2.4,2.1186998109427604,20,
attempt,2.42,1.781640374554423,20,
attention,2.0,1.4142135623730951,20,
attitude,2.1,1.5951314818673865,20,
autumn,2.9,1.9119507199599983,20,
availability,1.9,1.286683937707919,20,
awareness,2.0,1.3333333333333333,20,
baby,6.2,1.8737959096740269,20,
bag,3.17,2.081665999466133,20,
ball,4.7,2.4060109910158114,20,
ballot,2.2,1.8135294011647258,20,
banana,3.0,2.0,20,
band,6.4,1.8973665961010269,20,
bandit,3.6,2.270584848790187,20,
bank,3.0,2.449489742783178,20,
beast,4.4,2.1705094128132942,20,
beauty,1.5,0.7071067811865476,20,
beaver,3.5,2.0138409955990952,20,
bed,3.0,2.581988897471611,20,
bedroom,2.4,1.505545305418162,20,
beetle,3.1,2.1317702607092643,20,
behavior,2.5,1.7795130420052185,20,
belief,2.6,1.9550504398153574,20,
bell,6.8,0.6324555320336759,20,
benefactor,1.4,0.5163977794943221,20,
bet,2.7,1.8287822299126935,20,
betrayal,2.4,1.776388345929897,20,
beverage,3.6,2.4129281427805145,20,
bird,6.0,2.0,20,
blade,2.4,1.776388345929897,20,
blood,1.7,1.2516655570345725,20,
boat,4.0,2.449489742783178,20,
body,2.4,1.6465452046971292,20,
bolt,2.6,2.1705094128132942,20,
border,1.4,0.5163977794943221,20,
boredom,2.0,1.4142135623730951,20,
bottle,2.9,2.282785822435191,20,
boulder,2.8,1.9888578520235063,20,
boundary,1.4,0.5163977794943221,20,
boy,4.3,2.359378449224852,20,
bracelet,3.0,2.0,20,
brain,1.6,0.6992058987801009,20,
branch,2.58,1.8319554050414564,20,
brawl,4.6,1.9550504398153574,20,
brevity,1.8,1.5491933384829668,20,
bridge,3.1,2.1317702607092643,20,
brother,3.0,2.174229226018436,20,
brute,1.6,1.2649110640673518,20,
bubble,2.8,1.9888578520235063,20,
bullet,5.3,2.1108186931983424,20,
burner,3.3,2.0575065816014617,20,
butter,1.3,0.4830458915396481,20,
butterfly,2.3,1.4944341180973264,20,
cake,2.0,1.4142135623730951,20,
calculation,1.9,1.5238839267549946,20,
calendar,1.7,1.2516655570345725,20,
camera,5.17,1.5859229221975186,20,
candidate,2.0,1.632993161855452,20,
candy,2.5,2.173067468400883,20,
capacity,1.3,0.4830458915396481,20,
car,5.6,2.5033311140691445,20,
cat,6.0,1.9436506316151,20,
category,1.6,1.2649110640673518,20,
caterpillar,2.0,1.247219128924647,20,
cause,2.0,1.7056057308448835,20,
