unit,mean,std,n,individual_ratings
aardvark,6.26,2.21,19,
abalone,5.3,1.59,20,
abandon,2.84,1.54,19,
abandonment,2.63,1.74,19,
abbey,5.85,1.69,20,
abdomen,5.43,1.75,21,
abdominal,4.48,1.59,23,
abduct,2.42,1.61,19,
abduction,2.05,1.31,19,
abide,5.52,1.75,21,
abiding,5.57,1.75,23,
ability,7.0,1.59,20,
abject,4.0,1.29,19,
ablaze,5.15,1.79,20,
able,6.64,1.79,22,
abnormal,3.53,1.22,19,
abnormality,3.05,1.81,19,
abode,5.28,1.27,18,
abolish,3.84,1.54,19,
abominable,4.05,1.23,20,
abomination,2.5,1.65,18,
abort,3.1,1.37,20,
abortion,2.58,1.84,19,
abracadabra,5.11,2.52,18,
abrasive,4.26,1.69,19,
abreast,4.62,1.94,21,
abrupt,3.28,1.64,18,
abscess,2.79,1.58,19,
absence,3.86,2.08,21,
absent,4.1,1.55,21,
absinthe,3.53,1.98,19,
absolute,5.43,1.4,21,
absolution,6.58,1.68,19,
absolve,4.58,1.54,19,
absorb,5.5,1.6,22,
abstain,4.4,0.94,20,
abstinence,3.43,1.63,21,
abstract,5.25,1.59,20,
absurd,4.45,1.92,40,
absurdity,4.06,2.18,18,
abundance,6.67,1.5,18,
abundant,7.55,1.39,20,
abuse,1.53,1.07,19,
abusive,2.05,1.7,20,
abysmal,3.45,1.39,20,
abyss,3.9,1.51,21,
academic,6.61,1.54,18,
academy,5.32,1.89,19,
accelerant,4.59,1.59,22,
accelerate,6.1,1.48,21,
accelerated,6.21,1.55,19,
acceleration,6.19,1.54,21,
accelerator,5.63,1.16,19,
accent,6.48,1.54,21,
accept,6.39,1.65,18,
acceptable,6.59,1.53,22,
acceptance,6.84,1.31,38,
access,6.68,1.39,22,
accessible,6.68,1.38,19,
accessory,5.35,1.9,20,
accident,2.55,1.25,42,
accidental,3.46,1.25,24,
acclaim,6.1,1.61,21,
accommodate,6.35,1.73,20,
accommodation,6.76,1.7,21,
accompany,5.47,1.22,19,
accomplice,4.6,1.39,20,
accomplish,7.45,1.15,20,
accomplishment,8.05,0.86,21,
accord,6.38,1.56,21,
accordion,5.26,2.08,19,
account,5.39,1.61,18,
accountability,4.89,1.94,19,
accountable,5.7,1.69,20,
accountant,5.19,1.69,21,
accounting,4.42,2.09,19,
accumulate,6.33,2.0,18,
accuracy,6.32,1.7,19,
accurate,7.42,1.57,19,
accursed,3.21,1.36,19,
accusation,3.38,1.75,21,
accuse,2.68,1.63,19,
ace,6.37,1.34,19,
acetylene,4.11,1.63,19,
ache,3.27,2.01,40,
achieve,7.75,1.16,20,
achievement,7.28,2.15,40,
achy,3.15,1.46,20,
acid,3.26,2.02,19,
acknowledge,6.43,1.86,21,
acknowledgement,6.53,1.5,19,
acne,2.18,1.47,17,
acorn,5.85,1.76,20,
acoustic,7.1,1.62,20,
acoustics,6.33,1.2,21,
acquaintance,5.58,1.35,24,
acquire,5.5,1.76,20,
acquisition,5.0,1.95,20,
acquit,5.6,1.6,20,
acquittal,6.19,1.72,21,
acre,5.53,1.71,19,
acreage,5.25,1.74,20,
acrobat,6.0,1.3,20,
acrylic,5.52,1.81,25,
act,5.64,1.71,22,
action,6.0,1.64,18,
action figure,6.18,1.85,17,
activate,5.7,1.77,40,
activation,6.14,1.53,21,
active,6.47,1.35,19,
activist,6.24,1.84,21,
activity,6.21,1.75,19,
actor,6.15,1.27,20,
actress,5.42,1.22,19,
actual,6.22,1.48,18,
actuality,5.4,1.47,20,
acupuncture,4.81,2.23,21,
acute,5.1,1.94,20,
ad,4.11,1.45,19,
adage,5.55,0.83,20,
adamant,5.45,1.92,22,
adapt,5.84,1.3,19,
adaptation,5.82,1.84,22,
add,6.23,1.77,22,
adder,4.45,1.47,20,
addict,2.86,1.93,21,
addicted,2.89,2.11,19,
addiction,3.52,1.81,21,
addictive,3.52,1.72,21,
additional,6.15,1.76,20,
address,6.11,1.64,18,
adept,6.14,1.56,21,
adequate,4.7,1.56,20,
adhere,5.17,2.12,18,
adhesive,5.84,1.5,19,
Adidas,5.77,1.38,22,
adjacent,5.15,1.27,20,
adjective,5.95,1.28,21,
adjoining,5.06,1.26,18,
adjourn,5.5,1.62,18,
adjust,5.76,1.67,21,
adjuster,4.25,1.41,20,
adjustment,5.53,1.22,19,
admin,4.37,1.71,19,
administer,4.4,1.79,20,
administration,4.45,1.36,20,
administrative,4.79,1.62,19,
administrator,5.32,1.59,22,
admirable,7.0,1.97,21,
admiral,4.8,1.32,20,
admiralty,6.16,2.12,19,
admiration,7.58,1.98,19,
admire,7.35,1.27,20,
admired,7.25,1.37,20,
admirer,7.05,1.43,21,
admissible,5.16,1.61,19,
admission,5.91,1.34,22,
admit,5.56,1.79,18,
admittance,6.29,1.23,21,
ado,4.82,0.96,22,
adobe,5.25,1.83,20,
adolescence,6.0,1.65,20,
adolescent,5.38,1.91,21,
adopt,6.9,1.61,21,
adoption,6.68,1.92,19,
adoptive,5.67,1.39,21,
adorable,7.4,1.6,20,
adoration,6.47,2.06,19,
adore,7.37,1.38,19,
adoring,7.38,1.32,21,
adrenalin,6.33,1.91,21,
adrenaline,6.61,2.03,18,
adrift,4.36,1.6,25,
adult,5.9,2.1,42,
adulterer,2.77,1.97,22,
adultery,2.81,2.06,21,
adulthood,5.05,2.09,21,
advance,6.11,2.0,18,
advanced,6.14,1.42,21,
advancement,7.47,1.54,19,
advantage,6.71,1.62,21,
advantageous,6.79,1.4,19,
adventure,7.4,1.78,42,
adventurer,7.0,1.76,21,
adventurous,7.37,1.01,19,
adversary,4.55,2.11,20,
adverse,3.68,1.0,19,
adversity,4.26,2.47,19,
advertise,5.16,1.68,19,
advertisement,4.3,1.49,20,
advertising,4.68,2.19,19,
advice,5.78,1.99,18,
advisable,5.62,1.66,21,
advise,5.44,1.39,25,
advisement,4.55,1.53,22,
adviser,5.68,2.11,19,
advisor,4.74,1.45,19,
advisory,4.95,1.5,21,
advocate,5.25,1.48,20,
aerial,6.04,1.4,23,
aerobics,6.0,1.11,19,
aerodynamic,6.16,1.38,19,
aerospace,5.79,1.69,19,
aesthetic,5.43,1.54,21,
affair,3.1,2.53,21,
affect,5.65,1.23,20,
affection,7.89,1.05,19,
affectionate,7.23,1.77,22,
affidavit,4.38,1.2,21,
affiliation,5.32,0.99,22,
affinity,5.86,1.32,22,
affirmation,5.95,2.37,20,
affirmative,5.94,2.04,18,
affliction,3.76,1.92,21,
afford,6.56,2.09,18,
affordable,7.52,1.44,21,
affront,4.53,1.17,19,
afire,6.05,1.36,20,
afloat,5.57,1.33,21,
aforementioned,5.21,1.96,19,
afraid,2.25,1.16,20,
african,6.42,1.74,19,
afterlife,5.53,2.52,19,
aftermath,4.29,1.82,21,
afternoon,6.68,1.43,22,
aftershave,5.55,1.57,20,
age,5.78,1.93,18,
agency,5.14,1.46,21,
agenda,5.05,2.01,21,
agent,5.23,1.95,22,
aggravate,2.55,1.19,20,
aggravation,2.48,1.12,21,
aggression,3.18,2.02,22,
aggressive,3.08,1.5,37,
aggressiveness,3.58,2.12,19,
aggressor,2.8,1.01,20,
agile,5.95,2.2,19,
agility,6.55,1.19,20,
aging,3.0,1.41,18,
agitate,3.36,1.68,22,
agitation,2.84,1.42,19,
aglow,5.84,1.5,19,
agonizing,2.68,1.49,19,
agony,2.46,1.64,41,
agree,7.17,1.58,18,
agreeable,6.9,1.94,20,
agreement,6.75,2.51,20,
agricultural,5.5,2.41,18,
agriculture,6.1,0.91,20,
ahoy,5.58,1.64,19,
aid,6.29,2.05,21,
aide,5.6,1.19,20,
aids,3.52,2.2,21,
AIDS,1.33,0.8,21,
ailing,2.95,1.43,22,
ailment,3.0,1.37,18,
aim,5.95,1.76,22,
air,6.71,1.85,21,
airbag,5.4,1.93,20,
airborne,5.25,1.86,20,
aircraft,6.3,1.42,20,
aircraft carrier,5.25,1.8,20,
airfield,5.74,1.48,19,
airhead,4.1,2.0,21,
airline,5.36,1.87,22,
airliner,6.05,1.72,19,
airlock,4.85,1.09,20,
airplane,5.25,1.62,20,
airport,6.0,2.14,21,
airship,5.63,1.34,19,
airspace,5.5,1.29,18,
airspeed,4.95,1.51,19,
airstrip,4.76,1.48,21,
airtight,5.1,1.86,20,
airway,4.95,1.81,19,
aisle,5.17,1.65,18,
ajar,5.0,1.55,21,
aka,4.63,1.46,19,
alabaster,5.5,1.43,20,
alarm,3.86,1.98,21,
alarm clock,3.47,1.47,19,
alarming,3.52,2.04,21,
albatross,5.68,2.31,19,
albino,4.9,1.51,21,
album,6.19,1.78,21,
alcohol,4.11,2.08,19,
alcoholic,2.49,1.54,39,
alcoholism,2.0,1.61,21,
alcove,5.5,1.91,20,
alderman,4.44,2.12,18,
ale,5.95,1.31,19,
alert,5.38,1.72,40,
alfalfa,4.79,1.9,19,
algebra,5.4,2.28,20,
algorithm,5.3,1.59,20,
alias,5.0,1.03,20,
alibi,4.16,1.89,19,
alien,4.45,1.82,20,
alienate,2.79,1.62,19,
alienation,2.53,1.17,19,
alight,5.67,1.43,21,
align,5.95,1.75,19,
alignment,6.0,1.48,21,
alimony,3.86,1.74,21,
alive,6.57,2.33,23,
allegation,3.26,1.24,19,
alleged,3.62,1.86,21,
allegiance,5.8,1.67,20,
allegro,5.0,1.65,20,
allergic,3.0,1.86,20,
allergy,2.9,1.55,41,
alleviate,6.25,1.41,20,
alley,4.17,1.63,41,
alleyway,3.46,1.72,24,
alliance,6.14,1.77,21,
allied,5.95,1.36,20,
alligator,4.23,1.88,22,
allow,6.39,1.75,18,
allowance,6.74,1.37,19,
alloy,5.2,1.85,20,
allure,6.9,0.97,20,
alluring,6.74,1.41,19,
ally,6.05,2.4,22,
almanac,5.55,1.19,20,
almighty,6.15,2.16,20,
almond,6.05,1.85,20,
aloha,7.1,1.26,21,
alone,3.85,2.23,20,
aloof,4.59,2.16,41,
alpha,5.5,2.24,20,
alphabet,5.95,1.94,21,
alphabetical,6.32,1.42,19,
alpine,5.84,0.76,19,
altar,5.59,2.15,22,
altar boy,4.76,1.41,21,
alter,4.57,1.29,21,
alteration,5.05,1.84,19,
altercation,3.61,1.64,23,
alternate,5.15,0.81,20,
alternating,5.37,1.54,19,
alternative,5.33,1.43,21,
altimeter,4.5,0.96,22,
altitude,5.27,1.72,22,
aluminum,5.1,1.68,20,
alumnus,4.95,1.5,21,
alzheimers,2.26,1.82,19,
amaretto,6.0,1.9,21,
amateur,4.58,1.17,19,
amaze,7.24,2.0,21,
amazed,7.55,0.89,20,
amazement,7.29,1.9,24,
amazing,7.72,1.32,18,
ambassador,5.5,1.54,22,
amber,6.15,1.79,20,
ambience,6.35,1.87,20,
ambient,6.33,1.8,21,
ambiguous,5.16,1.64,19,
ambition,7.28,1.62,40,
ambitious,6.33,1.74,21,
ambrosia,5.95,1.94,21,
ambulance,3.71,2.11,41,
ambush,3.17,1.89,18,
amend,5.85,1.87,20,
amendment,5.6,1.19,20,
amends,6.68,1.8,19,
amiable,6.7,1.42,20,
amino,4.45,1.88,20,
ammo,4.18,2.24,22,
ammonia,3.74,1.69,19,
ammonium,4.06,1.63,18,
ammunition,4.59,2.5,22,
amnesia,3.43,1.69,21,
amnesty,5.38,2.22,21,
amorous,5.95,1.88,21,
amount,5.42,0.61,19,
amour,6.43,1.89,21,
amp,5.79,1.44,19,
amphibian,5.4,1.88,20,
amphibious,5.75,1.71,20,
ample,5.89,2.21,19,
amputate,2.1,1.45,20,
amputation,1.84,1.26,19,
amuck,4.0,2.08,19,
amulet,5.75,1.8,20,
amuse,7.1,1.37,20,
amused,7.05,1.28,21,
amusement,7.0,1.56,19,
amusing,7.6,1.31,20,
anaconda,4.43,2.66,21,
anagram,4.37,1.89,19,
anal,4.0,2.51,21,
analogy,5.24,2.07,21,
analysis,5.25,1.59,20,
analyst,5.0,0.79,20,
analytical,6.0,1.91,19,
analyze,5.65,1.39,20,
analyzer,4.62,1.56,21,
anaphylactic,4.0,1.89,19,
anarchist,2.76,1.87,21,
anarchy,3.68,2.0,19,
anatomy,6.29,1.01,21,
ancestor,6.37,1.16,19,
ancestral,6.6,1.6,20,
ancestry,6.29,1.82,21,
anchor,5.16,2.17,19,
anchorage,5.09,1.72,22,
ancient,7.24,1.18,21,
android,5.62,2.33,21,
anecdote,5.62,1.36,21,
anemia,3.05,2.04,21,
anemic,3.45,1.19,20,
anesthesia,4.84,2.06,19,
anesthesiologist,4.95,2.11,20,
anesthetic,5.48,2.27,21,
aneurysm,2.5,1.79,20,
angel,7.71,1.85,41,
angelic,6.68,2.52,19,
anger,2.5,1.36,20,
angina,2.85,1.69,20,
angiogram,4.19,1.83,21,
angle,4.55,1.28,20,
angora,5.63,2.24,19,
angry,2.53,1.74,19,
angst,3.5,1.7,20,
anguish,3.14,1.77,21,
anguished,2.78,1.46,41,
animal,7.06,1.95,18,
