unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.14,0.872,50,"[3, 5, 2, 4, 4, 4, 4, 4, 4, 3, 4, 5, 4, 5, 3, 5, 3, 5, 5, 5, 4, 5, 4, 4, 4, 5, 4, 5, 5, 2, 4, 5, 5, 2, 4, 4, 4, 5, 4, 4, 2, 4, 5, 4, 4, 5, 5, 5, 5, 4]"
I like the way an American accent sounds.,3.62,0.8459,50,"[3, 5, 4, 3, 3, 5, 3, 3, 5, 3, 4, 4, 3, 3, 3, 2, 3, 2, 4, 3, 3, 2, 4, 5, 4, 4, 3, 4, 4, 3, 4, 4, 3, 5, 4, 4, 5, 4, 4, 3, 5, 4, 3, 2, 4, 4, 3, 5, 4, 3]"
I think having a British accent is prestigious.,3.62,0.9978,50,"[2, 4, 2, 4, 3, 5, 4, 3, 4, 3, 4, 4, 3, 5, 3, 4, 3, 4, 5, 4, 3, 3, 3, 5, 4, 4, 1, 3, 1, 3, 4, 5, 4, 2, 3, 3, 4, 5, 4, 4, 2, 3, 4, 5, 4, 4, 5, 5, 4, 4]"
I think having an American accent is prestigious.,2.74,0.9552,50,"[2, 5, 2, 3, 3, 4, 3, 3, 5, 1, 3, 3, 3, 3, 3, 2, 3, 1, 3, 3, 3, 1, 3, 4, 2, 2, 1, 3, 1, 3, 3, 1, 3, 3, 3, 2, 3, 2, 2, 2, 4, 3, 2, 4, 3, 2, 3, 4, 4, 3]"
I've enjoyed listening to this speaker talk.,3.34,1.2587,50,"[4, 4, 2, 4, 4, 5, 2, 4, 1, 3, 2, 5, 2, 1, 4, 3, 2, 4, 5, 5, 4, 5, 4, 4, 4, 4, 2, 4, 3, 4, 2, 5, 4, 2, 4, 1, 2, 5, 4, 2, 1, 2, 3, 4, 4, 4, 5, 5, 2, 2]"
The audio recordings were clear.,4.16,1.0461,50,"[4, 4, 4, 4, 4, 5, 3, 5, 4, 5, 2, 5, 2, 1, 5, 5, 3, 5, 5, 5, 4, 4, 4, 5, 4, 5, 2, 5, 5, 5, 4, 5, 5, 5, 4, 4, 3, 5, 5, 4, 2, 2, 4, 5, 5, 5, 5, 5, 4, 4]"
The speaker graduated from a prestigious university.,3.02,0.7871,50,"[3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 1, 4, 3, 2, 4, 3, 3, 3, 4, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 3, 2, 4, 3, 3, 3, 2, 3, 5, 2, 3, 4, 3, 1, 4, 3, 3, 2, 4, 2, 2]"
The speaker has a successful career.,3.34,0.8393,50,"[3, 4, 4, 4, 3, 5, 4, 4, 3, 3, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 1, 4, 3, 5, 3, 4, 4, 3, 3, 3, 3, 5, 2, 3, 3, 3, 3, 5, 4, 3, 4, 5, 2, 3]"
The speaker is good at what they do.,3.54,1.0993,50,"[5, 4, 4, 4, 3, 5, 3, 4, 4, 5, 2, 5, 2, 2, 5, 3, 3, 4, 4, 4, 3, 2, 4, 5, 3, 3, 1, 4, 3, 5, 3, 5, 5, 2, 4, 3, 3, 5, 2, 2, 3, 2, 3, 5, 4, 4, 4, 5, 2, 3]"
The speaker is wealthy.,3.0625,0.6894,48,"[3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 2, 4, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 5, 3, 4, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 4, 2, 3, 4, 3, 1, 3, 4, 4, 2, 3]"
The speaker strongly enunciated the words.,3.7,1.1705,50,"[4, 5, 4, 4, 4, 5, 2, 4, 4, 5, 1, 5, 4, 2, 5, 5, 3, 4, 4, 5, 4, 3, 4, 5, 4, 2, 2, 5, 5, 3, 2, 5, 4, 2, 4, 4, 3, 5, 5, 4, 1, 3, 4, 4, 4, 4, 2, 5, 2, 2]"
The speaker talks in a way that I like.,3.38,1.2311,50,"[3, 4, 3, 4, 4, 5, 2, 4, 1, 3, 2, 5, 2, 1, 3, 3, 2, 5, 4, 5, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 2, 5, 4, 2, 4, 1, 3, 5, 5, 2, 1, 2, 3, 5, 4, 5, 5, 5, 3, 2]"
The speaker was easy to understand.,3.7347,1.1914,49,"[5, 4, 5, 4, 4, 5, 2, 5, 3, 5, 2, 4, 2, 1, 5, 4, 2, 5, 5, 5, 4, 3, 4, 5, 3, 3, 5, 5, 5, 2, 4, 3, 3, 4, 2, 4, 5, 5, 2, 2, 2, 4, 5, 4, 4, 2, 5, 4, 3]"
The speaker's delivery was well-paced.,4.08,1.0167,50,"[4, 5, 4, 4, 4, 4, 2, 5, 4, 5, 2, 5, 4, 3, 4, 5, 4, 5, 5, 5, 3, 4, 5, 5, 4, 2, 2, 5, 5, 5, 3, 5, 5, 4, 4, 4, 4, 5, 5, 4, 3, 3, 3, 5, 4, 5, 5, 5, 1, 4]"
