unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.02,0.86,50,"[4, 4, 5, 4, 3, 4, 4, 5, 5, 4, 4, 5, 4, 4, 3, 4, 5, 4, 3, 3, 5, 5, 4, 3, 3, 4, 4, 5, 4, 4, 4, 3, 5, 4, 4, 5, 5, 5, 5, 2, 3, 4, 4, 3, 5, 2, 5, 2, 5, 4]"
I like the way an American accent sounds.,3.7347,0.7498,49,"[3, 4, 4, 5, 3, 4, 3, 3, 4, 5, 4, 3, 3, 4, 5, 4, 4, 4, 4, 4, 3, 5, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 5, 4, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5]"
I think having a British accent is prestigious.,3.4,0.9381,50,"[4, 1, 4, 4, 2, 4, 2, 5, 4, 3, 3, 4, 4, 2, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 2, 3, 4, 4, 3, 4, 4, 5, 5, 4, 4, 2, 2, 1, 4, 3, 5, 3, 4, 3, 3, 3]"
I think having an American accent is prestigious.,2.56,0.898,50,"[3, 1, 2, 4, 2, 3, 2, 1, 2, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 1, 3, 3, 5, 3, 3, 3, 3, 4, 2, 3, 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 2, 1, 4, 3, 4, 1, 3, 3, 3, 3]"
I've enjoyed listening to this speaker talk.,3.6,0.8718,50,"[4, 3, 4, 4, 3, 3, 2, 4, 5, 4, 4, 3, 4, 3, 3, 5, 4, 4, 3, 3, 1, 4, 5, 3, 3, 5, 3, 3, 3, 4, 3, 4, 2, 3, 4, 5, 4, 4, 3, 5, 4, 4, 4, 3, 4, 2, 4, 5, 3, 4]"
The audio recordings were clear.,4.58,0.7236,50,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 2, 4, 5, 5, 4, 5, 4, 4, 4, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 3, 5, 5, 5, 4]"
The speaker graduated from a prestigious university.,3.1,0.728,50,"[3, 1, 3, 5, 1, 3, 3, 3, 4, 4, 3, 2, 3, 3, 3, 4, 3, 3, 3, 1, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3]"
The speaker has a successful career.,3.3,0.9,50,"[3, 3, 3, 4, 1, 3, 3, 3, 4, 4, 3, 2, 3, 3, 3, 5, 3, 3, 1, 3, 1, 4, 5, 3, 4, 5, 3, 3, 3, 3, 3, 4, 5, 3, 4, 5, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3]"
The speaker is good at what they do.,3.9184,0.7782,49,"[3, 4, 3, 4, 3, 4, 3, 4, 5, 5, 2, 3, 5, 3, 4, 5, 4, 4, 3, 3, 4, 5, 5, 3, 5, 5, 4, 4, 3, 4, 3, 5, 4, 3, 4, 4, 5, 4, 3, 5, 4, 4, 4, 4, 4, 3, 5, 4, 4]"
The speaker is wealthy.,2.9388,0.7398,49,"[4, 2, 3, 4, 1, 2, 3, 3, 4, 3, 3, 2, 3, 3, 3, 4, 3, 3, 1, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 1, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3]"
The speaker strongly enunciated the words.,4.0,0.9165,50,"[4, 4, 4, 3, 4, 4, 4, 2, 5, 5, 2, 3, 5, 4, 4, 5, 4, 4, 2, 4, 5, 4, 5, 3, 5, 5, 4, 5, 3, 4, 4, 4, 5, 3, 4, 3, 5, 4, 5, 5, 4, 4, 5, 4, 4, 2, 5, 5, 2, 4]"
The speaker talks in a way that I like.,3.7143,0.9258,49,"[4, 3, 3, 4, 4, 3, 2, 5, 5, 4, 4, 3, 4, 4, 3, 5, 3, 3, 3, 5, 5, 5, 3, 3, 5, 4, 3, 2, 4, 3, 3, 2, 3, 4, 4, 4, 5, 3, 5, 4, 5, 4, 2, 4, 2, 4, 5, 4, 4]"
The speaker was easy to understand.,4.44,0.804,50,"[5, 4, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4, 2, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 3, 5, 5, 4, 5, 5, 2, 2, 5, 5, 5, 4]"
The speaker's delivery was well-paced.,4.38,0.6896,50,"[5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4, 2, 4, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 4, 5, 4, 4, 4, 5, 4, 4, 3, 5, 5, 5, 5, 4, 4, 3, 5, 5, 4, 5]"
