unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.36,0.889,50,"[4, 5, 5, 4, 4, 5, 2, 4, 4, 4, 3, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 3, 5, 4, 4, 4, 2, 4, 1]"
I like the way an American accent sounds.,3.62,1.0371,50,"[5, 5, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 5, 3, 3, 4, 3, 3, 5, 5, 4, 2, 4, 4, 4, 3, 3, 1, 2, 3, 4, 5, 1, 3, 3, 4, 3, 4, 5, 5, 2, 3, 3, 5, 4, 4, 4, 5, 4, 5]"
I think having a British accent is prestigious.,3.5294,0.9971,51,"[3, 5, 4, 4, 4, 4, 1, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 2, 4, 3, 3, 5, 4, 4, 3, 3, 4, 4, 5, 4, 4, 4, 4, 2, 5, 5, 4, 4, 5, 4, 4, 3, 4, 4, 3, 1, 2, 4, 1]"
I think having an American accent is prestigious.,2.6863,0.9598,51,"[3, 5, 2, 4, 4, 2, 3, 2, 3, 3, 3, 2, 2, 3, 3, 2, 3, 3, 1, 2, 2, 3, 1, 3, 2, 3, 1, 2, 1, 2, 2, 4, 3, 1, 2, 3, 4, 2, 3, 3, 4, 3, 3, 3, 4, 3, 4, 1, 4, 4, 2]"
I've enjoyed listening to this speaker talk.,4.2549,0.8127,51,"[4, 5, 5, 4, 4, 5, 2, 4, 3, 4, 4, 4, 5, 5, 5, 4, 5, 3, 4, 4, 5, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 4, 4, 4, 3, 5, 4, 4, 4, 3, 4, 2]"
The audio recordings were clear.,4.5294,0.7759,51,"[5, 5, 5, 4, 4, 5, 2, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 2, 5, 4, 5, 4, 5, 5, 2]"
The speaker graduated from a prestigious university.,3.4118,0.7715,51,"[4, 3, 3, 5, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 5, 4, 4, 4, 4, 3, 5, 3, 3, 2, 4, 3, 3, 4, 5, 3, 4, 2, 1, 4, 3]"
The speaker has a successful career.,3.74,0.7697,50,"[3, 4, 4, 5, 4, 5, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 5, 3, 3, 3, 3, 5, 4, 4, 4, 4, 3, 5, 4, 4, 3, 5, 3, 3, 5, 4, 4, 4, 1, 4, 3]"
The speaker is good at what they do.,4.098,0.7477,51,"[4, 5, 4, 4, 5, 5, 2, 4, 3, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 3, 5, 5, 3, 3, 4, 4, 5, 5, 4, 5, 3, 5, 5, 4, 4, 5, 4, 4, 3, 5, 4, 4, 3, 3, 4, 3]"
The speaker is wealthy.,3.16,0.8333,50,"[3, 3, 3, 5, 4, 4, 2, 3, 3, 4, 2, 3, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 5, 3, 3, 2, 3, 3, 3, 1, 5, 3, 3, 3, 1, 4, 3]"
The speaker strongly enunciated the words.,4.3725,0.7399,51,"[5, 5, 5, 4, 4, 5, 4, 5, 2, 5, 5, 5, 5, 4, 5, 2, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 4, 4, 5, 5, 4, 3, 5, 5, 4]"
The speaker talks in a way that I like.,4.08,1.0167,50,"[4, 5, 5, 4, 4, 5, 2, 4, 3, 4, 3, 5, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 1, 3, 3, 5, 5, 5, 3, 5, 5, 5, 4, 5, 3, 3, 5, 3, 4, 4, 3, 4, 1]"
The speaker was easy to understand.,4.3529,0.9866,51,"[5, 5, 5, 4, 2, 5, 2, 5, 2, 5, 5, 5, 5, 5, 3, 4, 5, 3, 4, 5, 5, 3, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 4, 4, 4, 5, 2]"
The speaker's delivery was well-paced.,4.6667,0.5113,51,"[5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 3, 4, 5, 5, 5, 4, 4, 5, 5, 4]"
